Gene,TCGA-CA-6717-01A-11R-1839-07,TCGA-CK-4951-01A-01R-1410-07,TCGA-WS-AB45-01A-11R-A41B-07,TCGA-A6-6781-01B-06R-A277-07,TCGA-A6-6781-01A-22R-A278-07,TCGA-A6-6781-01A-22R-1928-07,TCGA-D5-6928-01A-11R-1928-07,TCGA-AD-5900-01A-11R-1653-07,TCGA-A6-6780-01A-11R-A278-07,TCGA-A6-6780-01B-04R-A277-07,TCGA-A6-6780-01A-11R-1839-07,MAX,AVG,MED,MIN
CYP21A2,23.1427,5.0782,8.2228,9.0634,0,5.7771,9.0588,11.8205,0,4.6142,2.5309,23.1427,7.20987272727273,5.7771,0
EEF1A2,22.9626,1.7781,3.2183,183.5347,2058.2189,4085.1267,8.5179,4.668,0,0,0.9886,4085.1267,579.001254545454,4.668,0
EGFR,630.3467,333.5704,742.2192,1068.7311,780.5532,331.4204,504.2334,304.4606,478.9389,884.273,111.216,1068.7311,560.905718181818,504.2334,111.216
FGFR1,1622.2422,650.0711,2677.6357,1432.0242,1152.1239,2057.867,1213.3731,1226.1411,238.6676,351.632,480.4745,2677.6357,1191.11385454546,1213.3731,238.6676
FGFR3,221.5218,16.3585,49.4816,98.9426,331.7083,368.2449,379.4719,187.7593,248.283,215.1335,709.8369,709.8369,256.976572727273,221.5218,16.3585
FGFR2,354.3449,80.7255,392.6341,735.6495,1295.7206,780.0096,764.9063,702.2822,220.1236,360.5341,148.7889,1295.7206,530.519936363636,392.6341,80.7255
FGFR4,1183.2508,1543.7411,50.6884,37.7644,466.2105,889.5265,1847.1039,2105.2905,363.3242,130.5638,1905.0914,2105.2905,956.595954545455,889.5265,37.7644
FOXE1,0,0,0,51.3595,80.8928,94.2133,0.4259,0,0,5.9347,0,94.2133,21.1660181818182,0,0
FLT1,1292.2107,550.8535,2791.8858,3209.2145,1932.3325,1222.3816,633.3049,281.639,1724.5879,2086.0534,778.5467,3209.2145,1500.27368181818,1292.2107,281.639
FLT3,22.5124,4.9787,57.5273,31.7221,15.317,3.8259,33.2198,6.7427,4.4643,4.451,2.9659,57.5273,17.0661,6.7427,2.9659
FLT4,350.7429,124.111,1346.0591,54.3807,421.2169,546.1502,405.4514,115.1452,36.7445,45.9941,117.6471,1346.0591,323.967554545455,124.111,36.7445
FOLH1,18.9104,57.6102,69.9983,444.864,1892.1254,1470.11,89.4378,22.8216,49.794,7.4184,76.6189,1892.1254,381.791727272727,69.9983,7.4184
