Gene,TCGA-B8-4143-01A-01R-1188-07,TCGA-KN-8428-01A-11R-2315-07,TCGA-KN-8428-11A-01R-2315-07,TCGA-B0-5098-01A-01R-1420-07,TCGA-UZ-A9PS-01A-11R-A42S-07,TCGA-UZ-A9PS-05A-11R-A42S-07,TCGA-P4-A5EB-01A-11R-A28H-07,TCGA-SX-A71S-01A-11R-A33Z-07,TCGA-HE-7130-01A-11R-1965-07,TCGA-A3-A8OV-01A-11R-A37O-07,TCGA-B9-A44B-01A-11R-A24Z-07,TCGA-IA-A83S-01A-11R-A355-07,MAX,AVG,MED,MIN
UEVLD,221.8362,287.6133,315.9563,211.7086,233.7858,241.7914,273.6206,214.7372,304.7859,140.5183,89.2857,124.0841,315.9563,221.6436167,227.811,89.2857
BLOC1S4,221.8362,187.3112,276.5058,179.0334,232.6546,175.4264,400.6047,344.1834,357.1788,457.1181,511.6995,284.5376,511.6995,302.3408083,280.5217,175.4264
DEPDC1,141.4392,767.9758,7.7492,189.5848,38.8386,35.735,1.5117,3.7739,428.7154,19.0827,74.5074,15.6888,767.9758,143.716875,37.2868,1.5117
RNF126,575.1861,730.2115,580.8383,345.8135,288.8386,521.6382,522.6757,563.4494,1126.4484,742.4916,747.5369,590.4691,1126.4484,611.299775,578.0122,288.8386
SLC30A6,259.0571,174.6224,281.0849,391.0824,225.1131,263.1396,243.3862,260.7793,480.6045,156.9988,75.7389,130.5022,480.6045,245.1757833,251.22165,75.7389
NECAP2,1832.7543,960.1208,1460.0211,798.8428,1257.1644,927.7178,1414.966,1170.6765,2117.8841,1481.0799,2420.5665,1661.5856,2420.5665,1458.614983,1437.49355,798.8428
PCDHGA7,59.5533,3.9275,84.0366,657.3724,31.6742,35.2709,19.6523,25.2854,4.0403,8.4224,148.6515,23.6045,657.3724,91.79094167,28.4798,3.9275
CTNNBL1,799.5037,633.2326,737.9359,1333.5602,659.5023,879.9165,886.6213,720.8227,996.4736,1094.6547,706.2808,857.1785,1333.5602,858.8069,828.3411,633.2326
PRDM9,0,112.9909,0.7045,4.0844,0,0,1.5117,0,0,0,0,0,112.9909,9.940958333,0,0
SLURP1,0,16.9184,0,0,0,0,0,0,4.534,0,0,0,16.9184,1.7877,0,0
ADAMTSL3,84.8635,35.0453,543.8535,169.8434,282.0513,122.9841,4.1572,1221.6247,1.0076,38.1655,92.3645,71.3127,1221.6247,222.272775,88.614,1.0076
LRFN2,1.4888,34.139,2.1134,0.6807,0,0,0.3779,0,64.9874,0.4337,0.6158,0,64.9874,8.736391667,0.52475,0
SLAMF7,1784.1191,150.7553,128.9186,40.8441,133.8612,376.8419,32.5019,70.9501,144.5844,245.907,5.5419,104.1165,1784.1191,268.2451667,131.3899,5.5419
HIVEP3,277.9156,154.9849,117.9993,61.6065,42.2323,95.6027,49.5087,96.2355,390.4282,41.635,99.7537,62.7552,390.4282,124.2214667,95.9191,41.635
CACNG8,0,0,0,4.0844,0,0,0,0.3774,0.5038,0,0,0,4.0844,0.4138,0,0
CACNG6,0.4963,2.1148,2.8179,250.8509,0,0,0,0.3774,0.5038,0,0,0,250.8509,21.43009167,0.1887,0
TMBIM1,3880.397,1346.2236,4116.2381,2723.6215,2645.5505,9606.2188,8849.2063,3441.0793,13216.1209,4584.6254,9587.4384,8909.0942,13216.1209,6075.4845,4350.43175,1346.2236
HS1BP3,1077.9156,540.1813,1034.5192,1060.2451,1357.089,3328.9245,3243.3862,945.3722,793.9547,3058.4409,7758.6207,1655.1675,7758.6207,2154.484742,1217.5023,540.1813
GREM2,0.4963,35.9517,13.7372,6.1266,0,0,0.3779,4.5287,3.5264,2.6022,1.8473,1.4263,35.9517,5.88505,2.22475,0
ISL2,4.9628,0.6042,0.3522,9.5303,0.3771,0,3.7793,0,11.0831,1.3011,0.6158,0,11.0831,2.717158333,0.61,0
MARCKSL1,2807.9404,4213.5952,960.9017,3449.966,3367.27,660.8655,331.0658,1622.4172,3343.5768,1199.176,376.2315,1170.9543,4213.5952,1958.663367,1410.7966,331.0658
NOC4L,400.4963,265.5589,325.819,614.3635,491.3273,397.2619,512.0937,262.2889,365.2393,329.1771,564.0394,730.9551,730.9551,438.2183667,398.8791,262.2889
KREMEN2,8.933,19.6375,0,20.4221,3.7707,2.3205,0.7559,1.5096,147.1033,2.1685,33.867,0,147.1033,20.040675,3.0456,0
LRRC2,20.3474,19.6375,496.6538,4.0844,25.264,3.2486,36.2812,10.9444,2.0151,5.2044,0.6158,33.517,496.6538,54.8178,15.29095,0.6158
MAP7D3,281.8859,2038.9728,200.7749,301.5657,1576.9231,562.9423,648.904,497.028,102.267,268.0256,496.9212,584.764,2038.9728,630.0812083,496.9746,102.267
LRRC31,0.9926,16.0121,10.5671,1.0211,0.7541,10.21,0,38.8716,0.5038,2.1685,13.5468,4.9919,38.8716,8.3033,3.5802,0
TLE6,12.9032,136.5559,28.1789,27.9101,1.5083,1.3923,1.5117,0.3774,7.5567,4.7707,19.0887,2.1394,136.5559,20.32444167,6.1637,0.3774
NEK11,331.5136,48.3384,319.8309,170.8645,719.457,179.1391,405.8957,393.622,89.6725,190.3936,410.0985,462.8193,719.457,310.1370917,325.67225,48.3384
MYO15B,7723.0769,171.2991,1314.5474,995.5752,1411.3876,7276.4822,3575.5858,4037.7394,243.3249,6167.6244,3315.2709,2299.8342,7723.0769,3210.979,2807.55255,171.2991
NDEL1,819.3548,472.2054,659.7393,1189.2444,613.8763,253.3937,704.4596,1132.5597,824.6851,627.9952,692.734,485.6394,1189.2444,706.3239083,676.23665,253.3937
SLIRP,294.2928,1054.6828,481.5076,648.7406,612.368,1008.4697,635.2986,339.6547,369.7733,614.5506,546.798,899.9661,1054.6828,625.5085667,613.4593,294.2928
NUF2,148.8834,221.4502,7.0447,179.0334,36.5762,18.0995,3.0234,7.1705,300.2519,13.8783,54.803,14.2625,300.2519,83.70641667,27.33785,3.0234
DNAL1,288.3375,408.4592,762.2402,454.0504,1041.1011,369.8805,769.0854,1155.2033,335.5164,589.8298,562.8079,661.7817,1155.2033,616.52445,576.31885,288.3375
RTBDN,0.4963,262.5378,0.7045,11.2321,0,0,0,0,20.1511,0,0,2.8525,262.5378,24.83119167,0.24815,0
RBP5,3112.6551,47.432,4507.5731,92.9204,372.549,9253.9738,5974.3008,47.1743,40.3023,3701.1818,9695.197,10313.241,10313.241,3929.87505,3406.91845,40.3023
ACSS1,892.3077,6541.6918,2434.3079,134.4452,2182.1267,1991.8784,846.9388,1135.5788,115.3652,1323.6474,2033.2512,1416.27,6541.6918,1753.984092,1369.9587,115.3652
HES7,9.4293,11.1782,0,7.8285,2.6395,0,0,1.887,1.5113,2.6022,11.0837,0,11.1782,4.013308333,2.2446,0
SLC7A3,0.9926,0,1.4089,37.1001,0,0,0.3779,0,0,0,0,0.7131,37.1001,3.382716667,0,0
RGS8,0,3.0211,0.3522,0,0,0,0.3779,0,0.5038,0,0.6158,0,3.0211,0.4059,0,0
KIAA2013,989.0819,2318.1269,1548.7848,1026.2083,870.2866,1135.1665,1404.7619,1418.6244,2994.4584,1907.4054,1908.867,1596.6911,2994.4584,1593.205267,1483.7046,870.2866
TMEM67,274.4417,103.9275,243.7478,372.3622,392.911,102.5641,201.8141,315.5015,79.597,244.6059,182.266,159.0273,392.911,222.7305083,222.78095,79.597
TTC5,207.4442,173.4139,244.4523,346.1538,269.6078,168.0009,205.2154,241.9096,167.7582,274.5311,479.064,223.9218,479.064,250.12275,232.9157,167.7582
RP1L1,2.4814,1345.6193,4.9313,11.2321,0.3771,1.3923,1.8896,0.3774,24.6851,3.9033,1.8473,0.7131,1345.6193,116.620775,2.1855,0.3771
IZUMO4,147.3945,12.3867,38.746,30.6331,26.7722,4.1768,5.6689,19.6245,64.9874,29.4915,32.0197,19.2544,147.3945,35.92964167,28.13185,4.1768
LACTB,461.5385,399.3958,386.7559,282.1647,418.175,551.8042,442.5548,249.8349,266.4987,332.2129,173.6453,556.9521,556.9521,376.7944,393.07585,173.6453
TMEM132B,8.933,589.7281,6.6925,26.889,0.7541,43.1605,2.6455,4.1513,40.3023,9.1077,3.6946,2.8525,589.7281,61.575925,7.81275,0.7541
PHACTR3,2162.2829,3.0211,72.913,90.8781,0.3771,23.2045,2.2676,6.0383,1.5113,0,1.2315,0,2162.2829,196.9771167,2.64435,0
C10orf71,0,92.145,13.385,0,0,0,0,0,0,0,0,0,92.145,8.794166667,0,0
C10orf90,0,54.3807,1.7612,0.3404,1.5083,0,1.1338,1.1322,0.5038,0,1.8473,29.9513,54.3807,7.71325,1.133,0
OR52R1,0,0,0,0.3404,0,0,0,0,0,0,0,0,0.3404,0.028366667,0,0
LRIG3,635.732,426.8882,228.2494,189.9251,584.8416,558.3014,379.0627,525.71,1019.6474,781.5244,229.064,493.4838,1019.6474,504.3691667,509.5969,189.9251
ANKS3,505.7072,280.6647,456.851,846.1538,820.8899,450.6323,738.8511,782.338,140.5542,842.6759,1806.0345,867.8754,1806.0345,711.6023333,760.59455,140.5542
RPTN,1.4888,0,0.3522,0,1.1312,0,0.3779,0,5.5416,0,0,0,5.5416,0.740975,0,0
PODN,81.8859,176.1329,131.3843,312.7978,64.8567,30.63,12.4717,74.724,21.1587,53.3449,193.9655,79.8702,312.7978,102.76855,77.2971,12.4717
ADAD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTCHD1,2.9777,19.0332,4.9313,361.8108,5.6561,2.3205,40.0605,19.2471,49.8741,1.3011,1.2315,3.5656,361.8108,42.66745833,5.2937,1.2315
MAGEE2,0,85.1964,10.2149,0,4.1478,0,0,0.7548,0,0,0,2.1394,85.1964,8.537775,0,0
TCEAL2,0,979.4562,496.3015,2.0422,2.2624,0.4641,23.8095,7.5479,0.5038,2.1685,1.8473,7.1313,979.4562,126.961225,2.21545,0
STK35,1326.5509,1217.2205,618.8799,1347.5153,875.9427,836.756,561.9803,855.9298,2626.7003,841.3748,926.1084,533.4189,2626.7003,1047.364817,865.93625,533.4189
R3HDML,0,0,0,15.9973,0.3771,0,0,0,0,0,0,0.7131,15.9973,1.423958333,0,0
GSG1L,0,3.9275,4.5791,71.8176,0,0,0,0,0,0,0.6158,0,71.8176,6.745,0,0
KIF18B,271.9603,596.6767,7.0447,410.4833,30.9201,22.2764,5.6689,17.7375,384.3829,9.5414,92.9803,10.6969,596.6767,155.0307833,26.59825,5.6689
CILP2,58.5608,27.1903,4.9313,15.6569,4.1478,1.8564,3.4014,5.2835,37.2796,0.8674,4.3103,4.2788,58.5608,13.980375,4.6208,0.8674
SIK1,7202.4814,4375.2266,2224.727,1424.7788,967.9487,268.2446,441.0431,1576.3751,4109.8237,983.6279,772.1675,967.7132,7202.4814,2109.513133,1204.20335,268.2446
AIFM3,37.6824,182.9335,25.516,97.631,89.3439,60.1183,2.6455,32.9201,75.7179,28.1427,103.4483,34.0447,182.9335,64.17869167,48.90035,2.6455
TTC23L,11.9107,26.284,27.4745,18.3799,13.9517,0.4641,9.4482,15.0958,10.5793,11.7099,21.5517,2.1394,27.4745,14.08243333,12.9312,0.4641
RBM33,3464.5161,1090.3323,491.018,1901.9741,2103.3183,1258.6147,616.0242,1943.2022,1259.9496,1121.544,1983.3744,763.0458,3464.5161,1499.742808,1259.28215,491.018
LINGO2,6.9479,276.435,21.4864,0,0,0,0,24.5306,0,0.8674,9.8522,1.4263,276.435,28.46215,1.14685,0
SLC16A11,7.4442,639.2749,108.4889,3.4037,4.1478,3.7127,6.8027,1.887,16.6247,47.2731,46.798,17.115,639.2749,75.247725,12.03445,1.887
SPATA5,159.8015,143.8066,162.0289,139.2103,199.095,86.3209,126.9841,182.6587,116.3728,133.5791,132.3892,172.5767,199.095,146.2353167,141.50845,86.3209
GKN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC16A13,72.9529,130.5136,127.5097,235.194,86.3499,657.6169,253.5903,44.9099,363.728,357.3675,525.2463,144.7648,657.6169,249.97865,189.9794,44.9099
RDM1,11.4144,70.997,1.0567,48.6726,17.3454,1.3923,2.6455,0.7548,4.534,2.6022,9.2365,8.5575,70.997,14.934075,6.54575,0.7548
C8orf74,0,6.0423,0,0,0,0,0,0,1.0076,0,0,0,6.0423,0.587491667,0,0
NLRP11,8.933,58.6103,11.2716,2.3826,18.4766,3.7127,29.1005,9.4349,0,72.8613,0.6158,43.5007,72.8613,21.575,10.35325,0
OR5A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDY1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPM,407.9404,1273.716,11.2716,734.8536,56.184,58.0114,6.0469,15.4732,649.3703,20.8175,63.4236,10.6969,1273.716,275.65045,57.0977,6.0469
WFDC10B,68.4864,0.6042,0,0,0,0,0,0,0,0.4337,0,0,68.4864,5.793691667,0,0
C10orf53,25.3102,0.3021,0,3.744,0,0.4641,0,0,0,0,0,0.7131,25.3102,2.544458333,0,0
EPHA10,256.5757,245.6193,14.7939,29.612,1.5083,38.5195,4.9131,14.341,73.0479,3.0359,3.0788,12.8363,256.5757,58.15680833,14.56745,1.5083
CNPY1,0,0,0.3522,6.8074,0,0,0,0,0,0.8674,57.8818,0,57.8818,5.4924,0,0
ZNF789,215.3846,67.0695,70.4473,97.0048,113.8763,83.5364,44.9735,231.72,45.8438,249.3766,322.6601,65.6077,322.6601,133.9583833,90.2706,44.9735
C9orf47,40.9876,0.6073,9.5773,3.0803,0,6.0796,3.4089,3.4494,2.0252,4.8401,3.0911,1.4263,40.9876,6.547758333,3.25,0
FAM133A,0,22.0544,1.4089,4.0844,1.1312,0,5.291,0.3774,0,1.3011,6.7734,2.8525,22.0544,3.772858333,1.355,0
TMSB15A,91.464,169.9275,21.7964,47.8387,107.4774,4.1768,38.2313,71.0482,44.8363,27.9605,16.5394,71.2129,169.9275,59.37578333,46.3375,4.1768
TMEM52,1.9851,147.7341,14.7939,9.8707,4.1478,7.8895,3.0234,9.4349,85.1385,11.7099,24.0148,5.705,147.7341,27.12063333,9.6528,1.9851
LRRIQ4,0.4963,0.3021,1.0567,0.3404,1.5083,3.2486,0.7559,3.0192,7.0529,0,0,0,7.0529,1.4817,0.6261,0
CENPW,93.7965,353.1722,9.1582,190.9462,61.8401,44.0886,18.5185,29.0593,53.4005,17.7816,35.0985,72.7389,353.1722,81.63325833,48.74455,9.1582
RPRML,0.4963,27.7946,1.0567,0.3404,0,0,0,0.3774,0,0.4337,0,0,27.7946,2.541591667,0.1702,0
ZNF808,604.4665,254.6828,170.8348,267.8693,441.1765,226.9405,156.4626,329.465,198.4887,196.0317,266.0099,191.118,604.4665,275.295525,240.81165,156.4626
GBP7,0.4963,14.0725,5.0264,0,0,20.123,0.393,0.7661,0.5088,1.7782,1.8781,2.6742,20.123,3.976383333,1.27215,0
CAPN8,20.8437,102.719,42.9729,1.0211,0,0.4641,0,0,18.136,0.4337,0.6158,6.4181,102.719,16.13536667,0.81845,0
OR6C70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBAP1L,18.8586,12.6888,9.1582,12.934,6.7873,4.6409,4.5351,18.8697,3.5264,23.4197,43.1034,6.4181,43.1034,13.74501667,10.9235,3.5264
SULT6B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10orf62,3.4739,0.9063,3.8746,2.0422,7.5415,1.8564,5.291,0.3774,0,0.4337,15.3941,2.1394,15.3941,3.610875,2.0908,0
ODF3B,781.6377,30.5136,76.4354,87.4745,99.9246,82.1441,105.0642,325.6911,120.9068,496.1509,393.4729,293.0951,781.6377,241.042575,112.9855,30.5136
PRR5-ARHGAP8,0,185.6798,43.223,8.921,17.9751,6.9706,24.7884,47.0422,10.2418,26.7505,126.8103,60.6728,185.6798,46.589625,25.76945,0
RNF222,1.9851,0,0.3522,1.7018,1.5083,0.4641,0,1.5096,4.534,0.4337,4.9261,1.4263,4.9261,1.5701,1.4673,0
AQP12B,0.9926,14.8036,0,0,0.3771,0,0,0,2.0151,0,0,0,14.8036,1.5157,0,0
FAM72A,39.7022,38.0665,2.1134,41.8652,4.1478,1.3923,0.7559,1.887,20.1511,2.1685,6.7734,2.8525,41.8652,13.48965,3.50015,0.7559
