Gene,TCGA-B8-4143-01A-01R-1188-07,TCGA-KN-8428-01A-11R-2315-07,TCGA-KN-8428-11A-01R-2315-07,TCGA-B0-5098-01A-01R-1420-07,TCGA-UZ-A9PS-01A-11R-A42S-07,TCGA-UZ-A9PS-05A-11R-A42S-07,TCGA-P4-A5EB-01A-11R-A28H-07,TCGA-SX-A71S-01A-11R-A33Z-07,TCGA-HE-7130-01A-11R-1965-07,TCGA-A3-A8OV-01A-11R-A37O-07,TCGA-B9-A44B-01A-11R-A24Z-07,TCGA-IA-A83S-01A-11R-A355-07,MAX,AVG,MED,MIN
HMGB2,1994.0447,2531.4199,875.3082,1379.5099,1221.3424,594.5005,282.3129,1247.6649,1006.0453,1286.3493,1043.7192,1349.9492,2531.4199,1234.3472,1234.50365,282.3129
HOXD8,299.7519,273.1118,2561.4653,238.2573,266.9683,152.6859,380.9524,218.5112,304.2821,250.6777,116.9951,393.646,2561.4653,454.7754167,270.04005,116.9951
PDX1,0,11.4804,0,6.8074,1.1312,0,0.3779,0,144.5844,0,0,0,144.5844,13.69844167,0,0
JAK1,4747.8908,3163.7462,4562.1698,3588.1552,6892.5339,8384.7314,7345.805,6446.2685,4670.0252,4390.7622,3778.9409,6260.5409,8384.7314,5352.630833,4708.958,3163.7462
JAK2,549.3797,434.139,418.105,110.9598,305.8069,370.3446,207.8609,399.283,129.9748,309.2269,144.0887,181.8474,549.3797,296.7513917,307.5169,110.9598
KCNQ2,0,0,0.3522,30.2927,0,0,0,0.7548,0,0,0,0,30.2927,2.616641667,0,0
KDR,2051.6129,359.5166,2053.1877,154.5269,68.6275,638.1251,118.2918,133.2201,961.2091,4951.9679,381.7734,166.1586,4951.9679,1003.1848,370.645,68.6275
KIT,296.2779,7430.5136,1294.4699,17.6991,40.3469,53.3705,41.9501,123.4079,227.204,51.1764,36.9458,92.7065,7430.5136,808.83905,73.0385,17.6991
LDHB,5355.8313,20427.1903,22184.572,28456.7733,26996.6063,26555.7489,40055.9335,10505.5194,2495.2141,9613.3579,15440.2709,35766.8788,40055.9335,20321.15806,21305.88115,2495.2141
LIF,1800.7494,7.2508,432.5009,542.5459,778.5294,273.7812,198.0348,490.9897,219.1436,140.952,473.5222,407.9086,1800.7494,480.492375,420.20475,7.2508
LIMK1,749.8759,1052.2659,564.6354,2013.2743,676.4706,1421.5106,694.6334,910.2746,2031.738,455.817,1995.0739,986.9676,2031.738,1129.3781,948.6211,455.817
LRP2,1821.8362,2.4169,3436.4213,51.7359,12659.5023,42022.9725,18756.6138,4034.7203,17.6322,11617.0443,11378.0788,10313.9541,42022.9725,9676.077383,7174.3372,2.4169
MAP6,25.8065,12.0846,692.4974,95.3029,27.1493,7.4255,244.1421,186.4327,51.8892,16.0468,11.6995,54.9108,692.4974,118.782275,39.51925,7.4255
MET,7296.2779,10331.7221,3301.5146,6009.5303,11717.5716,7941.0604,5315.5707,18987.829,1023.1738,4176.9489,6134.8522,9822.6097,18987.829,7671.5551,6715.56505,1023.1738
