Gene,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-E9-A5FL-01A-11R-A27Q-07,TCGA-BH-A0WA-01A-11R-A109-07,TCGA-AR-A5QQ-01A-11R-A28M-07,TCGA-A2-A4S1-01A-21R-A266-07,TCGA-AR-A2LR-01A-12R-A18M-07,TCGA-A7-A26G-01A-21R-A169-07,TCGA-BH-A0DL-11A-13R-A115-07,TCGA-BH-A0DL-01A-11R-A115-07,MAX,AVG,MED,MIN
CHRNA5,3.6458,227.3902,441.2832,252.8564,5.1051,394.2389,87.0668,47.574,116.7387,441.2832,175.0999,116.7387,3.6458
COL9A1,0.6076,9.0439,59.1798,0,0,11828.1371,0.2738,1.8904,0,11828.1371,1322.125844,0.6076,0
CPN2,0,0.646,2.3946,0.9935,1819.11,2.4276,15.0587,2.5205,1.853,1819.11,205.0004333,2.3946,0
CSF3R,656.8434,88.5013,108.4394,423.7457,393.942,117.9804,119.3746,225.2678,256.6399,656.8434,265.6371667,225.2678,88.5013
EDNRA,201.1241,193.7984,783.0212,600.0994,1879.5201,860.3341,2654.9902,810.334,148.2397,2654.9902,903.4956889,783.0212,148.2397
EGFR,315.9532,465.1163,2382.2317,642.3199,98.6982,880.6723,1094.6297,1760.523,25887.5324,25887.5324,3725.297411,880.6723,98.6982
FANCA,703.2964,460.5749,612.4259,721.1128,173.7599,427.7977,229.0843,90.9389,890.1112,890.1112,478.7891111,460.5749,90.9389
FARSA,1107.7017,2452.1964,778.9162,2110.2832,1228.6225,1750.7701,1074.0978,696.5974,1405.8061,2452.1964,1400.5546,1228.6225,696.5974
FGF3,0,0,0,0,0,1.4565,0,0,0,1.4565,0.161833333,0,0
FGFR1,1618.1072,650.5168,1777.7899,648.7829,44138.5178,1841.0761,1641.9487,4172.0227,375.8493,44138.5178,6318.290156,1641.9487,375.8493
FGFR3,1444.3263,2675.0646,646.1892,278.1918,1572.3645,677.7801,74.4722,58.9162,6336.9364,6336.9364,1529.360144,677.7801,58.9162
FGFR2,40.7109,451.5504,1375.5038,245.4049,251.8506,1096.2948,1310.6567,1591.3674,527.4861,1591.3674,765.6472889,527.4861,40.7109
FGFR4,1129.5762,254.522,379.0247,105.8122,69.7694,247.6131,141.8258,45.6837,15.7505,1129.5762,265.5086222,141.8258,15.7505
FLT1,423.5151,219.6382,1527.0453,1032.2901,1162.2564,926.8498,1526.681,1803.0876,1091.1056,1803.0876,1079.163233,1091.1056,219.6382
FLT3,15.7983,4.522,0.6842,19.8708,1.7017,45.6385,49.8307,52.615,19.1476,52.615,23.31208889,19.1476,0.6842
FLT4,154.3369,118.2171,253.8234,136.612,433.9318,538.4371,148.1231,668.557,83.3848,668.557,281.7136889,154.3369,83.3848
NR5A2,52.2558,32.2997,51.312,38.2514,36.5864,66.5157,58.3183,290.4852,30.8833,290.4852,72.98975556,51.312,30.8833
GAST,0.6076,16.7959,2.0525,1.4903,0,0,0,0,0,16.7959,2.327366667,0,0
GAGE12J,0,2249.9806,0,1.4903,16.3448,0,0,0,0,2249.9806,251.9795222,0,0
GALNT3,2300.4709,512.9199,2029.9029,1037.2578,273.1218,459.298,2708.1065,1035.2867,1094.1939,2708.1065,1272.284267,1037.2578,273.1218
GCG,0,0.646,0,0,0,0,0,0,0,0.646,0.071777778,0,0
GPD1,176.2115,3531.6537,3.0787,5.4645,28.9288,654.4754,95.0069,7772.5268,25.6331,7772.5268,1365.8866,95.0069,3.0787
GPX2,1.2153,28124.677,0.6842,74.5156,1.7017,136.43,1.0952,146.5028,1577.517,28124.677,3340.482089,74.5156,0.6842
GPX7,105.7269,970.9302,293.5047,312.9657,872.1178,1047.7432,638.7638,196.5974,109.3267,1047.7432,505.2973778,312.9657,105.7269
GRIK5,23.0898,24.5478,6.1574,16.8902,1.7017,9.2248,6.2973,71.2035,4.9413,71.2035,18.2282,9.2248,1.7017
HBG2,0,0,0.3421,0,0,0,0.2738,0.6301,0,0.6301,0.138444444,0,0
