Gene,TCGA-18-3409-01A-01R-0980-07,TCGA-90-A4ED-01A-31R-A24Z-07,TCGA-21-1079-01A-01R-0692-07,TCGA-55-8506-01A-11R-2403-07,TCGA-05-4382-01A-01R-1206-07,TCGA-L9-A7SV-01A-11R-A39D-07,TCGA-MN-A4N4-01A-12R-A24X-07,TCGA-86-A4JF-01A-11R-A24X-07,TCGA-55-7994-01A-11R-2187-07,TCGA-49-AARE-01A-11R-A41B-07,MAX,AVG,MED,MIN
MT1B,0,0,0.4274,0,0,0,1.4414,0,0,0,1.4414,0.18688,0,0
MUC4,114.8718,8.6418,3.4192,6787.7252,2329.8652,500.5658,4256.9292,439.8359,14808.5412,14776.0583,14808.5412,4402.64536,1415.2155,3.4192
NPPB,499.4872,2.8806,0,0,0,0,0,0,0,0,499.4872,50.23678,0,0
NRAP,0.5128,0,0,0,0.9883,0,0.4805,0.4562,0.6332,0.4552,0.9883,0.35262,0.4557,0
NRTN,523.5897,1274.9532,0.4274,83.3333,5.9826,35.8355,64.8629,10.6305,15.514,10.924,1274.9532,202.60531,25.67475,0.4274
NTRK1,4.6154,8.0657,11.5397,21.3964,9.5722,2.2633,8.6484,7.5299,7.9153,12.7447,21.3964,9.4291,8.35705,2.2633
NTRK3,1308.2051,1632.1475,2.5644,2.2523,24.6483,3.3949,14.8944,2.2147,0.3166,6.3723,1632.1475,299.70105,4.8836,0.3166
OAZ1,10034.359,7521.8205,10883.214,19876.1261,10577.2435,6459.4493,9140.8666,13956.9289,8913.2398,8747.838,19876.1261,10611.10857,9587.6128,6459.4493
OCA2,44.1026,6.3373,3.4192,0,0.4786,0,0.9609,1.7717,0,1.3655,44.1026,5.84358,1.1632,0
OR3A2,0,0,0,0,57.1937,0,21.621,0,0.6332,0,57.1937,7.94479,0,0
PDGFRA,1980.2667,977.4219,1331.8517,578.3277,3014.6197,252.3576,1975.2872,228.976,352.5846,629.736,3014.6197,1132.14291,803.57895,228.976
PDGFRB,8019.4872,3599.5967,7779.0362,1425.6757,4792.0656,1359.1098,4375.6043,1806.295,969.7802,2372.7811,8019.4872,3649.94318,2986.1889,969.7802
