Gene,TCGA-GS-A9TZ-01A-11R-A39D-07,TCGA-GS-A9TW-01A-11R-A38C-07,TCGA-FF-8042-01A-11R-2213-07,TCGA-FA-A6HN-01A-11R-A31O-07,TCGA-FA-A7Q1-01A-11R-A38C-07,TCGA-FF-A7CR-01A-11R-A38C-07,TCGA-GS-A9TY-01A-11R-A39D-07,TCGA-GS-A9TQ-01A-11R-A38C-07,TCGA-FF-A7CQ-01A-11R-A38C-07,TCGA-FA-A4BB-01A-11R-A31O-07,MAX,AVG,MED,MIN
LRRC36,0,1.6454,11.3065,1.4742,1.3941,8.8564,48.5364,1.1249,3.9286,6.5741,48.5364,8.48406,2.787,0
ACER3,306.2848,185.9317,104.0197,191.1548,176.5799,396.6115,293.1219,232.4709,261.4286,333.8203,396.6115,248.14241,246.94975,104.0197
TMEM176A,2336.5155,1536.4048,3449.0459,2075.6757,772.3048,2391.6057,3000.6924,958.7552,1310.3571,6105.1863,6105.1863,2393.65434,2206.0956,772.3048
PPP1R9A,1.5911,1.6454,0.5653,709.0909,384.2937,1.5402,0.9517,0.7499,0.7143,12.4178,709.0909,111.35603,1.56565,0.5653
PCDHB6,1.5911,2.8795,0,2.457,1.3941,0.3851,1.9034,0.7499,1.0714,3.6523,3.6523,1.60838,1.4926,0
PCDHAC2,24.3079,31.4233,0,91.0811,8.1691,12.7878,0,4.5482,20.9714,26.5668,91.0811,21.98556,16.8796,0
TEX14,499.2045,4.1135,3.9573,9.3366,6.5056,4.6207,5.7102,3.3746,4.2857,22.6443,499.2045,56.3753,5.16545,3.3746
DHX33,187.7486,333.1962,53.7058,234.398,592.9368,592.9919,19.0339,534.3082,858.5714,70.8546,858.5714,347.77454,283.7971,19.0339
ZNF695,0.7955,18.9469,3.9573,2.9484,73.5967,23.1151,0,2.6284,1.8286,2.1914,73.5967,13.00083,2.7884,0
SLC4A10,0.3978,2.0568,1.696,1.9656,0.9294,0,0,294.7132,1.0714,0,294.7132,30.28302,1.0004,0
GPR158,10.7677,47.3056,0,1.4742,420.9061,92.4143,55.1983,0.375,42.8571,95.6903,420.9061,76.69886,45.08135,0
IGSF9,602.2275,1.6454,0,85.0123,2.7881,18.4829,251.2473,0,55.7143,29.9489,602.2275,104.70667,24.2159,0
SLC46A2,9.1488,2.8795,12.4371,6.8796,19.5167,14.6323,0,5.2493,8.5714,21.1833,21.1833,10.0498,8.8601,0
PRDM16,6086.3166,0,3.9573,11.7936,1.3941,2.3104,3.8068,2.2497,0.3571,16.8006,6086.3166,612.89862,3.0586,0
ANO3,453.8584,127.9309,0,20.6388,0,0.3851,0,0,0.7143,1.4609,453.8584,60.49884,0.5497,0
LRRC4,3.58,6.993,1.696,7.8624,14.4052,50.4428,28.5508,18.3727,122.1429,52.5931,122.1429,30.66389,16.38895,1.696
PLA2G2F,0.7955,8.2271,1.696,0.4914,0.9294,0.3851,3467.9743,0,2.1429,1.4609,3467.9743,348.41026,1.19515,0
MTHFSD,347.6531,350.0617,369.7223,690.9091,652.881,370.0424,411.132,448.8189,364.2857,384.2221,690.9091,438.97283,377.13225,347.6531
IL25,0,0.4114,0,0.4914,0,0,0,0,0,0,0.4914,0.09028,0,0
LRRC19,0.7955,0.4114,88.1907,0.9828,0.4647,1.9253,0,0,0.7143,2.9218,88.1907,9.64065,0.7549,0
MRPS34,1143.5959,1614.1506,3279.4485,1489.9263,1894.9814,1198.6908,3022.5813,2524.5594,1720.3571,2763.3309,3279.4485,2065.16222,1807.66925,1143.5959
TRAK2,1032.6173,835.87,505.4003,1606.8796,832.7138,900.2695,439.6828,707.1616,1021.0714,907.962,1606.8796,878.96283,868.06975,439.6828
CDC73,1083.1344,970.3826,474.8727,819.656,1111.9888,1219.8691,612.8912,1113.2358,1016.7857,742.878,1219.8691,916.56943,993.58415,474.8727
ROGDI,141.2092,145.2077,832.1579,324.8157,475.8364,685.4062,261.716,140.6074,430,292.1841,832.1579,372.91406,308.4999,140.6074
PIP4K2C,1157.5179,617.03,248.7429,818.6732,682.6208,843.2807,788.9546,400.4499,632.1429,508.4003,1157.5179,669.78132,657.38185,248.7429
NEK11,12.3309,13.986,4.5226,8.3538,27.881,20.0231,56.15,5.6243,17.8571,16.0701,56.15,18.27989,15.02805,4.5226
PYROXD1,376.6428,433.4718,379.0163,416.4963,572.1654,493.0112,239.3797,375.5493,385.625,591.9065,591.9065,426.32643,401.06065,239.3797
ZNF556,0,0,0,0,23.6989,0,2.8551,0,0,0,23.6989,2.6554,0,0
PREX2,14.7176,382.5586,1.696,3.9312,1.3941,11.9369,0,5.6243,6.0714,0,382.5586,42.79301,4.77775,0
ZSCAN16,130.4256,56.5734,149.0761,225.0516,133.3411,81.5325,216.6723,252.9771,84.525,82.5201,252.9771,141.26948,131.88335,56.5734
CRISPLD1,3.1822,11.5179,4.5226,103.1941,8.3643,11.5518,11.4203,1.1249,6.0714,15.3397,103.1941,17.62892,9.8923,1.1249
KRTAP17-1,0,0,0,0,0,0,209.3728,0,0,0,209.3728,20.93728,0,0
RAB6C,19.4909,17.6882,22.0477,10.8108,22.2584,20.4082,11.4203,27.7465,15.7071,33.6012,33.6012,20.11793,19.94955,10.8108
POLDIP3,2431.1854,2407.2398,2629.8904,2208.8452,1322.026,2495.5718,2460.13,2554.9306,2535.3571,1485.756,2629.8904,2253.09323,2445.6577,1322.026
SLC7A3,0,0,0,1.4742,0.4647,0,483.4607,0,1.7857,0.7305,483.4607,48.79158,0.23235,0
ATCAY,45.3461,0.8227,0.5653,0.4914,0,0,1.9034,0,1.7857,0,45.3461,5.09146,0.52835,0
LGALS12,0,0.4114,0,0,0,0,0,0,0,2.9218,2.9218,0.33332,0,0
UMODL1,3.1822,1.2341,0.5653,1.4496,0.9294,0,19.0339,1840.6449,0.3571,3.6523,1840.6449,187.10488,1.34185,0
GGT1,58.0748,151.7894,111.9343,347.4201,68.7732,54.6785,334.9964,38.2452,59.6429,227.9036,347.4201,145.34584,90.35375,38.2452
ACBD5,630.0716,515.8371,203.5169,428.5012,381.9703,912.5915,179.8702,728.5339,680.7143,505.4785,912.5915,516.70855,510.6578,179.8702
TDRD12,1.5911,0.8227,1.1306,0,282.2955,0.7701,0,0,0.7143,0,282.2955,28.73243,0.7422,0
ZNF300,21.8775,19.3336,9.6105,15.2334,12.0818,26.9542,6.6619,8.6239,7.5,44.5581,44.5581,17.24349,13.6576,6.6619
LMBRD2,263.3254,70.3414,25.4396,58.9681,87.3606,168.6561,57.1017,131.9835,121.0714,46.7495,263.3254,103.09973,78.851,25.4396
ERI2,153.2458,173.5747,132.9474,108.5111,235.4926,184.0008,257.9853,198.8226,211.3536,171.6581,257.9853,182.7592,178.78775,108.5111
FAM71E1,501.3763,8.7125,6.2525,31.2088,25.8411,11.6866,87.7082,8.3052,7.9464,16.0701,501.3763,70.51077,13.87835,6.2525
HOGA1,0.3978,0.8227,0,4.0934,3.2528,0.3851,0,1.1249,1.7643,2.9218,4.0934,1.47628,0.9738,0
KIR3DL3,0,0,0,44.226,0,0,0,0,0,7.3046,44.226,5.15306,0,0
CYB5D1,183.7709,221.7195,110.8036,170.0246,475.8364,246.7771,154.1745,352.8309,299.6429,372.5347,475.8364,258.81151,234.2483,110.8036
SPNS2,148.6874,209.6503,158.1778,275.887,170.8411,167.2776,330.4283,87.0679,142.4464,258.8459,330.4283,194.93097,169.05935,87.0679
VSTM2L,20.6842,118.4698,3.9573,101.2285,8.829,2.6954,77.0872,2.9996,346.7857,29.9489,346.7857,71.26856,25.31655,2.6954
DUSP15,5.9666,1.2341,525.1866,14.742,4.1822,78.1671,808.9402,2.9996,799.6429,208.9116,808.9402,244.99729,46.45455,1.2341
TMEM150A,118.5362,132.4558,200.1249,263.8821,169.6097,167.886,75.1839,195.7255,127.5,314.8283,314.8283,176.57324,168.74785,75.1839
ADAT2,192.1241,273.9613,407.0338,648.1572,291.3569,375.4332,152.2711,238.0952,516.0714,789.6275,789.6275,388.41317,333.39505,152.2711
ASZ1,0,0,248.1775,0,0,0,0,0,0,0,248.1775,24.81775,0,0
C9orf57,0,2.8795,0,0.4914,19.9814,0.7701,1.9034,0,0,24.1052,24.1052,5.0131,0.63075,0
OR13C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTCFL,33.8544,38.8318,9.7349,22.2998,43.3411,28.4713,41.9412,64.7319,800.0429,11.103,800.0429,109.43523,36.3431,9.7349
TLDC2,42.0565,55.4011,5.8002,426.457,21.6961,44.4975,30.7588,8.8939,29.5393,16.7275,426.457,68.18279,30.14905,5.8002
RPL10L,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG10B,265.712,341.4233,63.8817,178.3784,373.6059,162.1101,191.2906,248.5939,159.2857,174.58,373.6059,215.88616,184.8345,63.8817
LACC1,329.3556,243.1098,224.4339,227.5184,353.6245,681.5556,67.5703,459.6925,236.7857,282.6881,681.5556,310.63344,262.89895,67.5703
BROX,277.4741,186.269,94.2679,177.371,335.1162,312.5992,61.8125,256.2655,235.95,54.7334,335.1162,199.18588,211.1095,54.7334
BNIPL,5.9666,5.7589,9.6105,8.3538,10.6877,7.7012,5.7102,8.6239,6.4286,21.9138,21.9138,9.07552,8.0275,5.7102
LIPI,0.3978,0.4114,0,0.4914,81.3197,0.3851,0,0,0,0,81.3197,8.30054,0.19255,0
SIK1,1506.7621,1208.1448,241.959,642.2604,841.5428,938.0054,843.2012,413.9483,1551.0714,1225.7122,1551.0714,941.26076,890.6033,241.959
CREBRF,725.537,282.1884,41.834,270.2703,250.9294,440.1232,34.261,178.4777,195.3571,121.2564,725.537,254.02345,223.14325,34.261
ZMAT2,1220.7637,1789.3871,3460.9177,2131.6953,1715.1487,1623.0266,2178.4284,959.1301,1521.7857,1612.8561,3460.9177,1821.31394,1669.08765,959.1301
FAM171B,1721.5593,173.1798,11.3065,51.1057,16.7286,16.9426,17.1305,19.4976,20,50.4018,1721.5593,209.78524,19.7488,11.3065
FOXD4L1,1.9889,21.3904,11.3065,6.8796,46.9331,6.9311,32.3576,4.8744,10.3571,85.4638,85.4638,22.84825,10.8318,1.9889
SLC16A9,3.9777,9.0498,0,8.8452,10.6877,71.6211,1.9034,0.7499,210,50.4018,210,36.72366,8.9475,0
PRSS54,0,0,0,0,0,0,28.646,0,0,11.8408,28.646,4.04868,0,0
SP8,0.7955,0,0,0,0,0,0,0,0,0,0.7955,0.07955,0,0
NPAS4,0,2.4681,0,17.6904,0,0,3.8068,0,0.3571,0.7305,17.6904,2.50529,0.17855,0
BRICD5,21.3524,23.1551,56.7586,64.7273,61.0037,29.8999,46.928,18.6389,31.5536,126.618,126.618,48.06355,39.2408,18.6389
SIGLECL1,0,0.4114,0,0,0,0.3851,0,0,0,0,0.4114,0.07965,0,0
THEM5,4.7733,16.4541,0.5653,8.3538,1.8587,11.1667,0,0.375,6.4286,0.7305,16.4541,5.0706,3.316,0
ZNF707,363.1663,400.2468,691.3921,473.7101,425.6506,251.444,285.5083,503.5621,347.1429,143.1702,691.3921,388.49934,381.70655,143.1702
CHSY3,13.5243,23.4471,3.9573,8.3538,17.1933,16.1725,17.1305,7.4991,9.6429,8.7655,23.4471,12.56863,11.5836,3.9573
NANOS2,39.3795,2.4681,0,0,0.9294,0,0,0,0.3571,0.7305,39.3795,4.38646,0.17855,0
SATL1,21.8775,25.0926,11.8718,14.2506,33.4572,14.6323,7.6136,17.6228,15,19.7224,33.4572,18.11408,16.3114,7.6136
TUBB2B,11407.7168,39.9013,0.5653,54.5455,45.0743,0.8818,8.5652,322.0847,15.9857,118.3346,11407.7168,1201.36552,42.4878,0.5653
BPIFB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRN,486.4757,1148.4986,797.6731,296.8059,611.0595,499.0374,293.1219,479.94,521.0714,522.279,1148.4986,565.59625,510.0544,293.1219
CT45A2,0,0,0,0,0,248.7486,4.7585,0,0,6.6545,248.7486,26.01616,0,0
CT45A2,0,0,0,0.4914,0,457.0658,1006.8926,0,0.3571,374.7261,1006.8926,183.9533,0.17855,0
FRG2B,40.5728,4.5249,0,0,0,0,0,0,0.3571,0,40.5728,4.54548,0,0
FRG2,48.926,0,0,0,0,0,0,0,0.3571,0,48.926,4.92831,0,0
LRRC37A,178.8186,144.5043,97.1624,140.3882,214.4424,119.8575,54.2371,66.3817,61.3679,40.2557,214.4424,111.74158,108.50995,40.2557
KHDC1L,0,0,1.696,0.4914,5.1115,0,4.7585,0,1.4286,1.4609,5.1115,1.49469,0.96,0
