Gene,TCGA-GS-A9TZ-01A-11R-A39D-07,TCGA-GS-A9TW-01A-11R-A38C-07,TCGA-FF-8042-01A-11R-2213-07,TCGA-FA-A6HN-01A-11R-A31O-07,TCGA-FA-A7Q1-01A-11R-A38C-07,TCGA-FF-A7CR-01A-11R-A38C-07,TCGA-GS-A9TY-01A-11R-A39D-07,TCGA-GS-A9TQ-01A-11R-A38C-07,TCGA-FF-A7CQ-01A-11R-A38C-07,TCGA-FA-A4BB-01A-11R-A31O-07,MAX,AVG,MED,MIN
MAP2K2,2906.5235,4879.0621,4910.9755,4932.1867,1969.7955,1804.7747,6617.131,4007.1241,2715.7143,3555.1497,6617.131,3829.84371,3781.1369,1804.7747
PRPSAP1,496.8178,564.3768,812.9369,573.9558,1102.2305,693.4925,1061.1392,704.162,1049.6429,491.5997,1102.2305,755.03541,698.82725,491.5997
PTK6,54.0971,15.6314,15.2638,148.8943,151.487,39.2761,24.7441,13.4983,26.0714,10.9569,151.487,49.99204,25.40775,10.9569
RAF1,1538.1862,2027.1493,1648.4868,1961.6708,1731.8773,2140.5468,1159.1637,1514.4357,1937.5,1857.5603,2140.5468,1751.65769,1794.7188,1159.1637
RET,17.1042,17.6882,5.6532,26.0442,3.2528,14.2472,17.1305,4.4994,27.1429,13.8787,27.1429,14.66413,15.6757,3.2528
RGS10,1713.206,1276.8408,3480.1387,2406.8796,1630.1115,1625.3369,2949.3009,2477.6903,1841.4286,4536.1578,4536.1578,2393.70911,2124.1541,1276.8408
RGS13,3.58,6403.949,1701.6273,13.2678,2025.0929,2756.6423,1162.0188,2620.1725,315.7143,5821.7677,6403.949,2282.38326,1863.3601,3.58
S100A11,3175.8154,3187.5771,3603.9448,3714.9877,3042.7509,4005.3908,5141.053,2313.0859,2455,6714.3901,6714.3901,3735.39957,3395.76095,2313.0859
SCD,3457.0406,1290.0041,4390.3115,705.6511,856.8773,6830.1887,929.8054,5138.7327,1640.7143,1768.4441,6830.1887,2700.77698,1704.5792,705.6511
CCL17,25003.1822,3013.986,3.9573,819.656,19.052,3.0805,64.7152,6.3742,10.3571,109.569,25003.1822,2905.39295,41.8836,3.0805
SH3GL2,0.3978,8.6384,24.8743,1090.9091,0.4647,1.5402,0,0.375,1.0714,0,1090.9091,112.82709,0.76805,0
SIM1,0.3978,103.2497,26.5703,0,0,0,0,0,0.7143,0,103.2497,13.09321,0,0
SLC9A2,1.9889,2.8795,0,7.371,1.8587,7.7012,0.9517,0,12.5,1.4609,12.5,3.67119,1.9238,0
SLC12A3,907.319,341.0119,300.1874,45.2088,380.5762,96.65,320.721,32.246,203.5714,50.4018,907.319,267.78935,251.8794,32.246
SLCO1A2,1.5911,0,0.5653,196.0688,52.974,0.3851,0.9517,0,0,11.6874,196.0688,26.42234,0.7585,0
ST14,4361.5752,1808.3093,9245.8851,140.5405,11051.1152,1982.6723,8533.8434,8957.2553,445.7143,731.9211,11051.1152,4725.88317,3172.12375,140.5405
SURF2,394.5903,359.1115,798.2384,441.769,340.6134,231.0358,1767.2965,321.3348,507.8571,598.2469,1767.2965,576.00937,418.17965,231.0358
TEK,48.5282,62.9371,13.0025,57.0025,59.0149,41.2014,15.2271,51.3686,63.9286,56.9759,63.9286,46.91868,54.17225,13.0025
TERT,12.3309,31.6742,295.6648,11.7936,217.9368,45.437,11.4203,450.6937,52.5,36.523,450.6937,116.59743,40.98,11.4203
TOP2A,3763.7232,4631.4274,1422.3569,3373.9558,7963.29,5167.1159,5120.1157,8813.2733,8803.5714,1904.3097,8813.2733,5096.31393,4875.77155,1422.3569
TOP2B,2428.7987,3508.0214,2525.8707,2850.6143,4689.1264,2872.5452,1512.2424,3870.6412,2486.7857,1944.485,4689.1264,2868.9131,2688.2425,1512.2424
TP53,2322.9912,2499.7943,2290.1303,1877.1499,7425.1859,2007.3161,3338.5439,4671.1661,3482.1429,2718.7728,7425.1859,3263.31934,2609.28355,1877.1499
TRPC1,15.1154,74.8663,5.6532,83.0467,24.6283,128.6099,57.1017,72.7409,7.5,54.7845,128.6099,52.40469,55.9431,5.6532
TTR,0,0,0,0,0.4647,0,0,0,221.0714,0,221.0714,22.15361,0,0
VEGFA,307.8759,1555.327,300.7527,554.2998,168.2156,544.0893,350.2235,754.4057,745.7143,657.4142,1555.327,593.8318,549.19455,168.2156
ZNF43,170.2466,154.2575,22.0477,338.5749,354.5539,326.5306,154.1745,158.2302,68.5714,138.7874,354.5539,188.59747,156.24385,22.0477
ZNF217,1723.5481,1789.3871,188.8184,2063.8821,1294.6097,1318.4444,572.92,817.0229,1452.5,1271.7312,2063.8821,1249.28639,1306.52705,188.8184
SLC25A16,190.1352,192.102,136.2432,343.9803,267.658,229.8806,97.0728,244.0945,183.9286,317.0197,343.9803,220.21149,210.9913,97.0728
TRRAP,3960.3819,2014.0518,1148.5702,2967.8428,3099.0567,2584.7208,838.1287,3580.225,2938.3536,2023.5793,3960.3819,2515.49108,2761.5372,838.1287
ANXA9,8.3532,7.8157,4.5226,84.5209,7.8996,5.3908,6.6619,13.1234,2.5,22.6443,84.5209,16.34324,7.85765,2.5
OFD1,2118.934,1208.5561,496.9204,841.769,1776.0223,780.901,784.1962,622.0472,531.0714,699.7809,2118.934,986.01985,782.5486,496.9204
MARCO,607.3986,1185.109,978.0117,23.0958,0.9294,6497.8822,73.2805,1175.1031,3329.6429,183.3455,6497.8822,1405.37987,792.70515,0.9294
TNFRSF14,4658.2299,3634.0313,5910.4413,7779.43,690.0046,2694.8055,3123.2896,1112.5609,2127.525,4869.8466,7779.43,3660.01647,3378.66045,690.0046
FADD,899.7613,793.5006,956.5294,789.6806,607.342,649.2106,846.0563,925.7593,715.3571,783.0533,956.5294,796.62505,791.5906,607.342
MTMR1,1834.5267,1035.7877,810.6756,1904.6683,1546.4684,1613.4001,340.7066,1134.9831,992.8571,970.7816,1904.6683,1218.48552,1085.3854,340.7066
SUCLG1,1531.8218,1519.9506,1594.7809,1410.3194,1744.4238,1168.6561,3580.2742,1586.0517,1301.0714,1382.0307,3580.2742,1681.93806,1525.8862,1168.6561
IL1RL1,0.3978,0.8227,3.9573,0.9828,0,0.7701,0,0.375,1.7857,0,3.9573,0.90914,0.58395,0
NOLC1,2694.9085,3402.3036,2954.9521,2108.5995,4539.0335,4522.1409,1396.1356,7027.7465,7690,3487.9474,7690,3982.37676,3445.1255,1396.1356
AIM2,3093.8743,2481.6948,589.6336,1908.5995,3956.3197,1154.0239,3605.0183,6253.8433,1181.4286,2699.0504,6253.8433,2692.34864,2590.3726,589.6336
TMEM59,2635.2426,1983.5459,3225.1773,2035.3808,1091.0781,2479.3993,3093.9584,1557.5553,1598.2143,2815.1936,3225.1773,2251.47456,2257.39005,1091.0781
EI24,859.5863,1447.1411,2175.9347,1711.0565,2170.539,1415.8645,1468.4644,2212.5984,1407.1429,2037.2535,2212.5984,1690.55813,1589.76045,859.5863
GDA,0.3978,10.2838,0,72.2359,9.7584,1.5402,0,0,1.0714,49.6713,72.2359,14.49588,1.3058,0
ARHGAP32,86.7144,79.8026,16.9597,143.9803,269.9814,213.3231,138.9474,237.7203,28.2143,149.7443,269.9814,136.53878,141.46385,16.9597
LRRC37A,369.1329,541.7524,425.1242,343.9803,907.0632,431.6519,180.8219,346.4567,211.7857,403.214,907.0632,416.09832,386.17345,180.8219
ATP2C2,3.58,6.1703,1.696,17.199,12.0818,16.1725,7.6136,1.1249,7.8571,2.1914,17.199,7.56866,6.89195,1.1249
SCO2,643.1981,963.8009,1441.0126,828.5012,329.9257,557.9515,712.8191,747.6565,747.5,1764.0614,1764.0614,873.6427,747.57825,329.9257
CLEC3A,0,0,0,0,0,0,0,0,0,16.8006,16.8006,1.68006,0,0
SLC25A15,119.0493,207.8322,305.6654,243.7002,573.3736,396.573,322.9289,1658.6127,649.9964,288.8678,1658.6127,476.65995,314.29715,119.0493
DHRS2,7.5577,6.5817,5.6532,1.4742,5.1115,0.3851,25.6957,0.7499,2.5,10.9569,25.6957,6.66659,5.38235,0.3851
MSLN,2.7844,0.4114,4.5226,7.371,6.0409,2.3104,339.7549,1.1249,1.7857,139.5179,339.7549,50.56241,3.6535,0.4114
PRMT5,885.0438,2207.7334,3530.4526,908.1081,1642.658,2086.2534,1950.0218,2219.7225,2815.3571,1184.076,3530.4526,1942.94267,2018.1376,885.0438
HOXB13,6.7621,32.4969,13.5678,1.9656,0,0.3851,298.832,0,0,0,298.832,35.40095,1.17535,0
SCGN,0,0,0,0.4914,0,0,0,0,0.7143,0,0.7143,0.12057,0,0
SCGB1D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVIL,87.5099,56.7668,13.0025,53.0713,276.9517,38.891,0,9.3738,16.4286,32.8707,276.9517,58.48663,35.88085,0
CFHR3,0,0,2.8266,82.5553,0.4647,1.1552,3.8068,0,1.7857,0,82.5553,9.25943,0.80995,0
