Gene,TCGA-AB-2828-03A-01T-0734-13,TCGA-AB-2808-03A-01T-0734-13,TCGA-AB-2826-03A-01T-0734-13,TCGA-AB-2833-03A-01T-0734-13,TCGA-AB-2806-03A-01T-0734-13,TCGA-AB-2854-03A-01T-0734-13,TCGA-AB-2807-03A-01T-0734-13,TCGA-AB-2805-03A-01T-0734-13,TCGA-AB-2950-03A-01T-0735-13,TCGA-AB-2810-03A-01T-0736-13,MAX,AVG,MED,MIN
DAZ3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAZ3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD177,0,2737.6277,0.9718,16.4051,1.2731,0.8319,0.993,2.6774,0.7788,25.0166,2737.6277,278.65754,1.13305,0
NCEH1,723.9193,580.5185,1021.38,245.3638,347.5493,1086.5225,729.8908,387.5502,361.3707,96.1165,1086.5225,558.01816,484.03435,96.1165
USP35,252.0653,113.1186,196.3071,296.719,168.6824,355.2413,252.2344,399.5984,461.0592,315.9994,461.0592,281.10251,274.4767,113.1186
SH3RF1,419.5965,456.4022,292.517,258.2026,862.508,440.0998,427.0109,544.8461,526.4798,359.4494,862.508,458.71123,433.55535,258.2026
ZSWIM5,0,3.1422,13.6054,2.8531,12.0942,25.7903,28.7984,7.3628,13.2399,3.95,28.7984,11.08363,9.7285,0
ZDBF2,21.5178,87.1956,12.6336,6.4194,20.3692,60.7321,85.4022,12.7175,27.2586,2.6333,87.1956,33.68793,20.9435,2.6333
TP53INP2,192.123,402.9851,8987.3664,298.1455,197.3265,1644.7587,775.571,212.8514,637.0717,3595.8104,8987.3664,1694.40097,520.0284,192.123
JAM2,0,4.7133,0,7.1327,2.5461,4.1597,189.6723,0.6693,3.8941,0,189.6723,21.27875,3.2201,0
RTP4,69.1643,65.2003,106.8999,76.3195,76.3845,44.9251,20.854,158.6345,80.9969,11.85,158.6345,71.1229,72.7419,11.85
TSPY2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQCH,9.2219,25.1375,41.7881,9.2725,31.1903,6.6556,36.7428,24.0964,18.6916,31.5999,41.7881,23.43966,24.61695,6.6556
VWA1,7.6849,8.641,9.7182,0.7133,14.0038,11.6473,46.6733,2.6774,17.134,32.9166,46.6733,15.18098,10.68275,0.7133
WNK3,0.7685,0,0,0,4.4558,0.8319,0.993,6.0241,52.1807,1.3167,52.1807,6.65707,0.91245,0
ZNF655,2944.8607,3660.6441,3187.5607,2108.4165,3940.1655,3619.8003,3316.7825,3805.2209,4077.1028,1943.3966,4077.1028,3260.39506,3468.2914,1943.3966
PRR15L,15.3698,10.2121,15.5491,8.5592,7.0019,17.4709,16.8818,10.7095,9.3458,11.85,17.4709,12.29501,11.27975,7.0019
ULBP3,5.3794,0,5.8309,7.1327,4.4558,6.6556,8.9374,3.3467,0.7788,5.2667,8.9374,4.7784,5.32305,0
C3orf52,6.1479,31.4218,3.8873,15.6919,17.823,29.9501,19.861,46.8541,21.028,0,46.8541,19.26651,18.842,0
SUV39H2,603.2661,850.7463,581.1467,319.5435,700.191,415.1414,522.3436,394.913,630.0623,273.8662,850.7463,529.12201,551.74515,273.8662
ISOC2,311.2392,263.1579,171.0398,253.2097,186.5054,342.7621,178.7488,127.8447,478.972,455.5659,478.972,276.90455,258.1838,127.8447
GSDMD,537.9443,915.9466,437.3178,859.4864,1054.7422,1245.4243,805.3625,690.0937,1676.7913,1237.6645,1676.7913,946.07736,887.7165,437.3178
VASH2,22.2863,34.564,17.4927,17.1184,40.7384,24.1265,809.3347,39.4913,31.1526,19.75,809.3347,105.60549,27.63955,17.1184
EHMT1,1590.0096,1503.535,1098.1535,1283.1669,2523.2336,1591.5141,1716.9811,1268.407,2751.5576,1798.5635,2751.5576,1712.51219,1590.76185,1098.1535
NEK11,9.2219,18.0676,15.5491,16.4051,57.2884,28.2862,17.8749,73.6278,140.9657,39.4999,140.9657,41.67866,23.1769,9.2219
SETD6,242.8357,414.2969,382.1477,219.9572,415.3596,257.5707,265.5809,296.4926,292.7648,353.577,415.3596,314.05831,294.6287,219.9572
CNTNAP3,0,93.48,13.6054,10.699,84.0229,2.4958,6.9513,0,0.7788,93.4832,93.4832,30.55164,8.82515,0
LY6G6C,2.3055,0,4.8591,6.4194,5.0923,0,9.9305,0,2.3364,148.7831,148.7831,17.97263,3.59775,0
PDRG1,89.9135,172.8201,114.6744,157.632,155.9516,140.599,160.8739,97.7242,250,592.499,592.499,193.26877,156.7918,89.9135
TSSK3,97.6753,156.2765,120.2332,114.5649,125.6588,235.8569,260.0695,189.9799,198.2243,416.1713,416.1713,191.47106,173.1282,97.6753
GPR101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC10A7,421.902,419.4815,339.1642,261.0556,448.7588,388.5191,300.8937,364.1232,429.9065,177.7497,448.7588,355.15543,376.32115,177.7497
WDR24,239.7695,164.1791,216.7153,334.5221,227.8803,266.223,454.8163,234.2704,369.1589,595.1323,595.1323,310.26672,252.99625,164.1791
TRAF7,1824.2459,1126.4179,1133.8387,2384.8146,1827.352,1413.3111,1029.5035,1002.5837,3322.8894,1911.981,3322.8894,1697.69378,1618.7785,1002.5837
DDI2,290.7128,353.2522,103.2459,196.8688,238.7206,167.6539,409.146,253.2062,228.6059,10.4148,409.146,225.18271,233.66325,10.4148
FAXC,0,0,0,0.7133,0,4.1597,3.9722,0,0,0,4.1597,0.88452,0,0
COX4I2,0,0,0,0.7133,1.9096,1.6639,0,0,0,3.95,3.95,0.82368,0,0
FCRLA,19.2123,13.3543,55.3936,79.8859,25.4615,73.2113,2549.1559,72.2892,32.7103,23.7,2549.1559,294.43743,44.05195,13.3543
AIFM2,23.0548,9.4266,73.8581,19.2582,70.6556,127.2879,50.6455,47.5234,37.3832,23.7,127.2879,48.27933,42.4533,9.4266
MYLK2,2.3055,1.5711,1.9436,2.1398,23.5519,8.3195,3.9722,2.008,0.7788,48.7166,48.7166,9.5307,2.22265,0.7788
ZIC5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIXDC1,66.8588,84.0534,88.4354,25.6776,140.6747,54.9085,139.0268,161.9813,254.6729,35.5499,254.6729,105.18393,86.2444,25.6776
NAV1,1593.8521,161.8225,101.069,979.3153,3465.3087,2011.6473,1640.5164,1720.2142,2933.8006,135.6164,3465.3087,1474.31625,1617.18425,101.069
STPG1,32.2767,68.3425,93.2945,24.2511,1.2731,72.3794,87.3883,58.2329,193.9252,105.3331,193.9252,73.66968,70.36095,1.2731
PCED1B,117.5793,70.6991,102.0408,135.5207,55.3787,385.1913,214.4985,86.3454,105.1402,44.7666,385.1913,131.71606,103.5905,44.7666
MVB12A,169.0682,101.3354,172.9835,272.4679,156.5882,256.2396,184.7071,161.3119,245.3271,184.333,272.4679,190.43619,178.65825,101.3354
TTYH2,927.6465,168.9159,140.5637,717.0827,283.1127,749.8752,906.6931,826.4726,303.3489,188.8492,927.6465,521.25605,510.2158,140.5637
GTF3C6,501.0567,714.0613,638.484,714.6933,502.2279,758.7354,459.7815,439.759,515.5763,799.2153,799.2153,604.35907,577.03015,439.759
GLCCI1,193.6599,798.9002,597.6676,393.01,412.4761,483.3611,1191.6584,677.3762,864.486,930.8817,1191.6584,654.34772,637.5219,193.6599
PNMA5,12.2959,14.9254,0,9.2725,9517.5048,2.4958,9.9305,17.4029,321.6511,1.3167,9517.5048,990.67956,11.1132,0
FCHO2,708.5495,213.6685,85.5199,253.2097,912.1579,563.228,666.3357,38.822,669.7819,147.4664,912.1579,425.87395,408.21885,38.822
DNTTIP1,357.3487,298.5075,543.2459,841.6548,294.0802,463.3943,242.3039,364.1232,439.2523,467.4158,841.6548,431.13266,401.68775,242.3039
TSEN15,558.6936,692.066,717.2012,604.1369,619.3507,454.2429,801.3903,684.739,486.7601,221.1996,801.3903,583.97803,611.7438,221.1996
RLN3,0.7685,0,0,2.1398,0,0.8319,0,0.6693,0,0,2.1398,0.44095,0,0
CANT1,1070.5091,681.0683,932.9446,1109.8431,890.5156,924.2928,633.565,807.8983,1140.1869,858.4652,1140.1869,904.92889,907.4042,633.565
TMEM132E,0,0.7855,0,0,0,0,21.8471,0,0,5.2667,21.8471,2.78993,0,0
OR6K6,0,6.2844,0,0,0,0,0,0,0,0,6.2844,0.62844,0,0
DUSP15,0,0,0,0,0,2.4958,16.8818,0,2.3364,11.85,16.8818,3.3564,0,0
LYPD6,0,1.5711,28.1827,0,0,1.6639,1.9861,0,0,26.3333,28.1827,5.97371,0.78555,0
CD200R1,179.0586,95.8366,428.5714,15.6919,11.4577,19.1348,12.9096,40.1606,10.9034,1.3167,428.5714,81.50413,17.41335,1.3167
SYNPR,0,0,0,0,0,0,0,0.6693,0,0,0.6693,0.06693,0,0
SETD9,123.7272,139.8272,49.5627,93.4379,67.4729,53.2446,113.2075,103.079,130.8411,196.183,196.183,107.05831,108.14325,49.5627
ABRA,7.6849,10.9976,28.1827,10.699,19.0961,1.6639,17.8749,34.1365,15.5763,6.5833,34.1365,15.24952,13.28695,1.6639
FRMPD2,0,0,0,0,0,0,0,0,0,10.5333,10.5333,1.05333,0,0
FGFBP3,53.0259,24.3519,112.7308,74.893,64.2903,38.2696,102.284,86.3454,49.8442,89.5332,112.7308,69.55683,69.59165,24.3519
TMC8,3100.0961,3193.2443,2490.7677,2454.3509,2534.6913,6677.2047,4079.4439,2044.1767,1558.4112,5103.3911,6677.2047,3323.57779,2817.3937,1558.4112
LYPD4,0,1.5711,0,0,0,0,0,0,0,1.3167,1.5711,0.28878,0,0
TICAM1,616.3305,218.3818,435.3741,788.1598,173.1381,455.0749,220.4568,593.7082,187.6947,426.5993,788.1598,411.49182,430.9867,173.1381
C1orf52,363.4966,369.9921,417.8814,405.1355,499.6817,393.5108,331.6783,344.0428,423.676,329.1661,499.6817,387.82613,381.75145,329.1661
SLC35F3,3.8425,3.9277,17.4927,2.1398,0.6365,4.1597,526.3158,4.0161,0,2.6333,526.3158,56.51641,3.8851,0
SIK1,1214.2171,841.3197,370.2624,261.7689,401.0185,5014.1431,8784.5084,91.7001,803.7383,639.8989,8784.5084,1842.25754,721.8186,91.7001
C11orf42,3.074,0.7855,2.9155,0.7133,0.6365,0,3.9722,3.3467,1.5576,1.3167,3.9722,1.8318,1.43715,0
ZNF610,23.8232,174.3912,18.4645,23.5378,225.9707,54.0765,66.5343,44.1767,250.7788,39.4999,250.7788,92.12536,49.1266,18.4645
ZNF567,210.5668,356.6379,166.1808,114.1227,472.3106,235.4409,142.006,212.8514,309.9688,85.5832,472.3106,230.56691,211.7091,85.5832
EID2,139.097,179.89,191.448,262.4822,189.6881,171.381,126.1172,194.1098,149.5327,408.166,408.166,201.1912,184.78905,126.1172
TTLL9,3.074,3.1422,11.6618,3.5663,5.0923,5.8236,8.9374,10.7095,35.0467,17.1166,35.0467,10.41704,7.3805,3.074
TMEM252,3.8655,0,2.4393,4.0228,0,0.8319,0.993,2.7845,0,0,4.0228,1.4937,0.91245,0
SPTSSA,1078.9625,926.9442,1165.2089,1137.6605,504.774,2282.03,413.1082,742.3025,408.8785,362.0827,2282.03,902.1952,834.62335,362.0827
TRIML2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC37A2,1331.0279,65.2003,610.3013,1425.8203,119.0325,494.1764,28.7984,894.913,53.7383,30.2833,1425.8203,505.32917,306.60445,28.7984
FAM13C,2.3055,1.5711,0,0,1.2731,4.1597,18.8679,0,3.8941,0,18.8679,3.20714,1.4221,0
FAM162B,0,0,0,0,0,0,10.9235,0,3.1153,1.3167,10.9235,1.53555,0,0
FGD2,2324.6878,432.0503,1528.6686,2353.7803,24.1884,2637.2712,877.855,3431.7269,161.9938,61.8832,3431.7269,1383.41055,1203.2618,24.1884
VSTM2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATXN7L1,1112.0077,791.8303,1456.7541,1218.9729,959.8982,643.0948,815.2929,1151.2718,1159.6573,1058.5981,1456.7541,1036.73781,1085.3029,643.0948
DEFB119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CXorf58,0,2.3566,0,5.7061,1.2731,0,0,0,1.5576,2.6333,5.7061,1.35267,0.63655,0
TMEM211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNEP1R1,356.5802,317.3606,454.8105,286.02,295.9898,287.8536,234.3595,471.8876,249.2212,138.2498,471.8876,309.23328,291.9217,138.2498
GCSAM,68.3958,194.0299,63.1681,115.5492,137.492,94.8419,142.006,297.1888,91.9003,23.7,297.1888,122.8272,105.19555,23.7
MKX,3.8425,7.8555,6.8027,0,0.6365,24.9584,3.9722,4.6854,1.5576,0,24.9584,5.43108,3.90735,0
PGM2L1,365.8021,509.8193,311.9534,211.127,842.7753,500.8319,699.1063,702.1419,889.4081,634.6322,889.4081,566.75975,572.22575,211.127
TTC9C,248.9914,201.8853,213.7998,191.8688,305.5379,228.7854,201.5889,312.5837,285.8255,123.7665,312.5837,231.46332,221.2926,123.7665
THEM5,0,0,0,0,0,9.1514,80.4369,0,0.7788,0,80.4369,9.03671,0,0
OR2L13,0,30.6363,0,6.4194,10.1846,19.1348,25.8193,19.411,14.0187,13.1666,30.6363,13.87907,13.59265,0
ZNF619,230.5476,191.6732,179.7862,134.0942,295.9898,139.7671,312.8103,325.3012,237.5389,69.7832,325.3012,211.72917,211.1104,69.7832
PPM1J,15.3698,6.2844,0.9718,4.9929,0,0.8319,300.8937,6.0241,2.3364,6.5833,300.8937,34.42883,5.5085,0
ENPP7,2.3055,0,0,2.1398,0.6365,0,0,0,0.7788,1.3167,2.3055,0.71773,0.31825,0
SOWAHB,0,1.5711,0,0,1.9096,0,2.9791,0,0.7788,0,2.9791,0.72386,0,0
ZNF391,10.7589,36.9207,0,0,195.4169,20.7987,64.5482,7.3628,88.785,7.9,195.4169,43.24912,15.7788,0
OR13H1,0,0,0,0,10.1846,0,0,0,3.1153,0,10.1846,1.32999,0,0
LNP1,38.4553,56.6614,14.6744,29.6006,73.9656,18.411,26.0179,17.4364,32.7882,19.8158,73.9656,32.78266,27.80925,14.6744
GALNT18,1.537,3.1422,0,0.7133,33.0999,2.4958,5.9583,0,1.5576,0,33.0999,4.85041,1.5473,0
FAM111B,157.5408,308.7196,240.0389,236.0913,289.6244,113.1448,311.8173,564.9264,62.3053,56.6166,564.9264,234.08254,238.0651,56.6166
KRTAP10-2,0,2.3566,0,0,21.6423,0,0,0.6693,0.7788,0,21.6423,2.5447,0,0
C16orf87,192.123,238.0204,215.7434,166.9044,203.6919,215.4742,296.9215,224.8996,154.2056,233.0496,296.9215,214.10336,215.6088,154.2056
OR11G2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR6K3,0.7685,10.2121,0,0,0,0,0.993,0,0,0,10.2121,1.19736,0,0
KRTAP5-7,4.611,3.9277,4.8591,0,15.9134,4.9917,0,0.6693,4.6729,0,15.9134,3.96451,4.26935,0
OR4Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXO48,69.1643,58.1304,53.45,23.5378,67.4729,54.0765,25.8193,114.4578,58.4112,10.5333,114.4578,53.50535,56.10345,10.5333
ELMOD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSPY10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFA1,7.6849,31947.3684,3585.034,184.7361,28.0076,963.3943,9.9305,80.3213,28.8162,1628.7138,31947.3684,3846.40071,132.5287,7.6849
PRCD,7.6849,9.4266,0,1.4265,65.8307,8.3195,28.7984,8.0321,9.3458,1.3167,65.8307,14.01812,8.1758,0
