Gene,TCGA-AB-2828-03A-01T-0734-13,TCGA-AB-2808-03A-01T-0734-13,TCGA-AB-2826-03A-01T-0734-13,TCGA-AB-2833-03A-01T-0734-13,TCGA-AB-2806-03A-01T-0734-13,TCGA-AB-2854-03A-01T-0734-13,TCGA-AB-2807-03A-01T-0734-13,TCGA-AB-2805-03A-01T-0734-13,TCGA-AB-2950-03A-01T-0735-13,TCGA-AB-2810-03A-01T-0736-13,MAX,AVG,MED,MIN
ELAVL2,0,0,0,2.8531,0,0,0,0,0,0,2.8531,0.28531,0,0
ENO3,29.9712,63.6292,62.1963,79.8859,39.4653,75.7072,115.1936,50.2008,73.2087,96.1165,115.1936,68.55747,68.41895,29.9712
EPB41L1,4.611,15.7109,0,4.2796,8.275,31.614,108.2423,6.6934,11.6822,3.95,108.2423,19.50584,7.4842,0
ACSL4,3585.0144,3588.3739,3273.0807,3681.1698,2764.4812,2593.178,2586.8918,3538.1526,2336.4486,563.5323,3681.1698,2851.03233,3018.78095,563.5323
FCAR,889.9135,1326.7871,1097.1817,1247.5036,110.7575,2300.3328,10.9235,150.6024,38.162,312.0495,2300.3328,748.42136,600.9815,10.9235
FGF12,0,0,0,1.4265,0,0,0.993,0,0,0,1.4265,0.24195,0,0
FGFR1,793.8521,241.9482,199.2225,815.9772,3442.3934,368.5524,81.43,657.2959,1820.8723,32.9166,3442.3934,845.44606,512.92415,32.9166
FGFR3,9.9904,23.5664,21.38,0,2.5461,51.5807,23.8332,8.7015,12.4611,44.7666,51.5807,19.8826,16.92055,0
FGFR2,1.537,0,0,1.4265,11.4577,12.4792,0.993,0,10.1246,0,12.4792,3.8018,1.20975,0
FGFR4,1.537,3.9277,3.8873,1.4265,1.2731,11.6473,2.9791,0.6693,3.1153,30.2833,30.2833,6.07459,3.0472,0.6693
FLT1,16.1383,30.6363,2.9155,10.699,3.8192,38.2696,89.3744,12.7175,66.9782,3.95,89.3744,27.5498,14.4279,2.9155
FLT3,2841.8828,2181.4611,3303.207,3623.3951,21212.6034,3838.6023,15618.6693,11809.2369,7266.3551,7662.9866,21212.6034,7935.83996,5552.4787,2181.4611
FLT4,277.4256,47.1328,2.9155,6.4194,356.4609,33.2779,85.4022,2.6774,874.6106,5.2667,874.6106,169.1589,40.20535,2.6774
GLRB,0,7.8555,1.9436,0,5.0923,0,4.9652,0,26.4798,0,26.4798,4.63364,0.9718,0
GNL1,322.8972,262.5295,301.4772,477.8745,523.6537,614.8752,1138.3813,390.0736,597.4455,927.9192,1138.3813,555.71269,500.7641,262.5295
GPD2,1865.1297,1849.1752,1962.0991,1291.7261,859.3253,1699.6672,1351.5392,2423.0254,720.405,716.2654,2423.0254,1473.83576,1525.6032,716.2654
HBD,16.9068,1273.37,28.1827,251.7832,110.1209,9714.6423,2185.7001,155.2878,818.5358,317.3161,9714.6423,1487.18457,284.54965,16.9068
HNF4A,0,0,25.2672,0,0,0,1.9861,0,0,0,25.2672,2.72533,0,0
HOXA6,0.7685,0,240.3693,0,0,13.1864,15.3923,27.3628,0,647.5355,647.5355,94.46148,6.97745,0
ERAS,1.537,0,0,0,152.1324,3.3278,4.9652,0,48.2866,6.5833,152.1324,21.68323,2.4324,0
JAK1,5458.5975,4326.0016,4443.1487,5377.3181,5045.8307,3707.1547,6553.1281,6883.5341,5926.0125,3394.3607,6883.5341,5111.50867,5211.5744,3394.3607
JAK2,3203.8425,2307.1485,2379.9806,2273.8944,1619.3507,2110.6489,2105.2632,4704.8193,1836.4486,510.8658,4704.8193,2305.22625,2192.27165,510.8658
KDR,12.2959,50.2749,1.9436,17.8317,2.5461,27.4542,46.6733,0,102.8037,1.3167,102.8037,26.31401,15.0638,0
KIT,2496.0615,6722.7023,835.7629,530.6705,15588.1604,1081.5308,4910.6256,827.3092,8014.7975,2534.5789,15588.1604,4354.21996,2515.3202,530.6705
KIF25,0,0,0,4.2796,0,0,0,0,0.7788,0,4.2796,0.50584,0,0
KRT85,0,0,0,0,0,2.4958,0,0,0,0,2.4958,0.24958,0,0
LAD1,0,0,0,0,0,0,9.9305,0,0,0,9.9305,0.99305,0,0
LBP,3.8425,4.7133,0,2.1398,0.6365,60.7321,284.0119,0,49.0654,0,284.0119,40.51415,2.99115,0
LCN2,8.4534,2870.3849,181.7298,5.7061,2.5461,103.1614,5.9583,20.0803,0.7788,152.7331,2870.3849,335.15322,14.26685,0.7788
LIMK1,668.5879,478.3975,449.9514,1101.9971,356.4609,599.0017,387.289,609.1031,492.9907,562.2157,1101.9971,570.5995,527.6032,356.4609
LMX1A,0,0,0,0,0,0,2.9791,0,0,0,2.9791,0.29791,0,0
MAGEB2,0,0,0,7.1327,0.6365,2.4958,0,0,0,1.3167,7.1327,1.15817,0,0
MAGOH,196.7339,354.2812,354.7133,443.6519,282.6225,450.9151,422.0457,301.2048,282.7103,470.0492,470.0492,355.89279,354.49725,196.7339
MET,3.074,10.9976,4.8591,4.2796,1.9096,0.8319,7.9444,0,5.4517,1.3167,10.9976,4.06646,3.6768,0
MMP2,517.195,25.923,264.3343,20.6847,218.9688,123.1281,503.4757,1.3387,185.3583,3803.8433,3803.8433,566.42499,202.16355,1.3387
MSH4,3.074,142.9694,1.9436,0,3.8192,3.3278,6.9513,2.008,12.4611,6.5833,142.9694,18.31377,3.5735,0
