Gene,TCGA-UB-A7MB-01A-11R-A33R-07,TCGA-4R-AA8I-01A-11R-A38B-07,TCGA-W5-AA39-01A-11R-A41I-07,TCGA-CC-A7IH-01A-11R-A33J-07,TCGA-WQ-A9G7-01A-11R-A37K-07,TCGA-DD-AAC8-01A-11R-A41C-07,TCGA-DD-A1EE-11A-11R-A131-07,TCGA-DD-A1EE-01A-11R-A131-07,TCGA-DD-AACI-01A-11R-A41C-07,TCGA-DD-A3A9-01A-11R-A266-07,MAX,AVG,MED,MIN
NEK11,2.3408,39.1484,36.0885,43.1944,12.4301,107.1856,45.5209,61.8863,6.6934,11.0117,107.1856,36.55001,37.61845,2.3408
MORN1,80.0562,101.6484,69.8487,32.1447,15.7448,105.4752,66.5305,79.3415,5.3548,81.2113,105.4752,63.73561,74.5951,5.3548
KIAA0319L,1830.9925,2789.2308,2557.6251,2180.3114,1480.837,1422.4893,2905.1649,2448.0809,4472.5569,3219.5458,4472.5569,2530.68346,2502.853,1422.4893
PIF1,134.8315,69.3681,124.5634,17.0768,221.2554,6.2715,16.3408,11.9012,22.7577,48.8644,221.2554,67.32308,35.81105,6.2715
UPK3B,4.2135,8.2418,12.8056,4.5203,507.1473,1.7104,15.1736,1.5868,0,2.0647,507.1473,55.7464,4.3669,0
B9D2,34.1011,109.2033,152.5029,59.2667,52.2063,99.7738,54.8585,40.8609,73.6278,162.4226,162.4226,83.88239,66.44725,34.1011
TRMT1L,882.9588,951.9231,349.2433,1086.3887,330.6401,1120.3172,758.6811,1682.4358,717.5368,364.7626,1682.4358,824.48875,820.81995,330.6401
TEX101,0,6.8681,0,0,0,0,0,0,0,0,6.8681,0.68681,0,0
OBSCN,7.9588,52.1978,4645.553,16.5746,2906.3683,10.2624,86.3729,120.1825,194.1098,1679.9381,4645.553,971.95182,103.2777,7.9588
LCE3D,0,0.6868,0,0,0,0,0,0,0,4.8176,4.8176,0.55044,0,0
WNT3A,0,0,2.3283,0,13.2588,15.3937,4.6688,1165.1294,1.3387,18.5822,1165.1294,122.06999,3.49855,0
CERS5,419.4757,472.5275,355.064,402.3104,928.1127,465.8011,263.7876,276.9017,751.004,854.095,928.1127,518.90797,442.6384,263.7876
PPP1R14A,32.7715,77.6099,36.0885,51.7328,92.8113,46.181,81.7041,16.265,101.7403,278.7337,278.7337,81.56381,64.67135,16.265
LRRC3B,0.4682,2.7473,4.6566,4.0181,0.8287,167.62,0,7.5374,8.0321,9.6352,167.62,20.55436,4.33735,0
DCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX29,0,4.8077,1.1641,1.0045,0.8287,1.7104,0,0.3967,0,13.7646,13.7646,2.36767,0.9166,0
C16orf78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC25,28.5581,236.9505,75.6694,37.1673,50.549,136.2625,401.5174,5492.8097,326.6399,93.5994,5492.8097,687.97232,114.93095,28.5581
GJB4,0,2.0604,2.3283,0.5023,0,0,1.1672,1.1901,0,0,2.3283,0.72483,0.25115,0
TEDDM1,0.9363,3.4341,0,23.104,0.8287,3.4208,0,15.4716,0,0,23.104,4.71955,0.8825,0
TSHZ2,171.8165,315.9341,157.1595,285.786,5.8007,309.5838,398.0158,1046.1172,73.6278,68.8231,1046.1172,283.26645,228.80125,5.8007
MYL6B,983.1461,199.8626,399.3015,150.1758,916.5113,255.4209,239.2763,99.1768,653.2798,414.3152,983.1461,431.04663,327.3612,99.1768
RBBP8NL,0,0,11.6414,0,406.0493,0,3.5016,0,0,0,406.0493,42.11923,0,0
SLC38A6,130.1498,168.956,122.2352,224.5103,130.9302,600.3532,87.5401,355.4498,309.2369,113.5582,600.3532,224.29197,149.9431,87.5401
CNIH3,1.4045,8.9286,6.9849,9.5429,34.8042,45.6109,11.672,9.521,456.4926,18.5822,456.4926,60.35438,10.60745,1.4045
SIK1,3879.6816,3036.4011,1467.986,3671.5218,1116.2213,550.7514,8706.157,4603.3918,3165.9973,1179.6284,8706.157,3137.77377,3101.1992,550.7514
CCDC140,0,0,0,0,0,0,0,0,0,8.947,8.947,0.8947,0,0
PNLDC1,0,1.3736,1.1641,1.5068,0.8287,0,0,0,92.3695,2.0647,92.3695,9.93074,0.9964,0
SYNE3,89.4195,17.8571,11.6414,11.0497,14.9161,8.552,29.18,11.9012,5.3548,11.0117,89.4195,21.08835,11.7713,5.3548
UBL4B,0.4682,0,0,17.5791,0,1.1403,0,0,0,0,17.5791,1.91876,0,0
PTCRA,0,173.0769,0,1.5068,0,0,18.6752,3.5704,17.4029,0,173.0769,21.42322,0.7534,0
ZNF584,126.8727,242.4451,122.2352,197.3882,65.4651,201.8281,151.7362,218.9824,140.5622,87.4054,242.4451,155.49206,146.1492,65.4651
ZNF438,374.0637,186.1264,216.5308,91.9136,214.6261,122.0091,173.913,90.846,349.3976,164.4873,374.0637,198.39136,180.0197,90.846
RASGEF1A,4.2135,2.0604,200.2328,0,727.5741,2.8507,18.6752,0,24.0964,4.8176,727.5741,98.45207,4.51555,0
MAPK15,0.9363,1.3736,4.6566,0,561.011,0.5701,3.5016,0.3967,0,0.6882,561.011,57.31341,0.81225,0
DEFB107B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19orf38,22.4719,25.4121,6.9849,21.5972,8.2867,23.3756,29.18,15.0749,54.8862,18.5822,54.8862,22.58517,22.03455,6.9849
GPX6,0,2.7473,0,0,0,0,0,0,0,0,2.7473,0.27473,0,0
DAOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf185,0,0,0,0.5023,0,0,0,0,0,0,0.5023,0.05023,0,0
ANO9,6.0861,12.3626,11.6414,3.0136,3223.5343,3.4208,31.5144,1.1901,40.1606,17.2058,3223.5343,335.01297,12.002,1.1901
ZNF181,245.7865,305.6319,315.4831,220.9945,73.7518,214.9413,247.4467,330.8539,157.9652,300.0688,330.8539,241.29237,246.6166,73.7518
KLHL38,0.9363,0.6868,0,1.0045,1.6573,215.5114,0,0,5.3548,0.6882,215.5114,22.58393,0.81225,0
CA5BP1,175.0936,186.1264,279.3946,126.0673,333.9548,248.0092,145.9002,196.7668,93.7082,92.223,333.9548,187.72441,180.61,92.223
RAET1G,4.6816,13.0495,2.3283,2.009,2.486,0.5701,0,3.1737,2.6774,2.0647,13.0495,3.30403,2.40715,0
RGSL1,2.809,37.0879,2.3283,1459.0658,0,169.9005,5.836,426.4604,0,0,1459.0658,210.34879,4.3225,0
C1orf226,14573.97,1258.9286,2654.2491,849.8242,340.5842,2041.657,734.1698,1016.7609,346.7202,598.073,14573.97,2441.4937,933.29255,340.5842
C9orf152,201.3109,460.8516,1030.2678,254.6459,4.972,88.3711,17.508,48.0016,2.6774,0.6882,1030.2678,210.92945,68.18635,0.6882
LCNL1,0.9363,0.6868,10.4773,0.5023,1349.0781,0,0,0.3967,0,0,1349.0781,136.20775,0.4495,0
LCN10,3.2772,4.8077,23.2829,0,1407.0851,1.7104,18.6752,0.7934,13.3869,1.3765,1407.0851,147.43953,4.04245,0
RGS21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNASEK,1483.1507,1184.4162,2540.7334,2924.6057,7352.9066,4762.0267,1992.2731,1963.1538,8570.0134,2609.0847,8570.0134,3538.23643,2574.90905,1184.4162
NRARP,35.5805,187.5,158.3236,367.6544,4107.7274,151.086,81.7041,81.325,250.3347,176.8754,4107.7274,559.81111,167.5995,35.5805
GAGE13,0,0,0,0,0,249.7196,0,0,0,0,249.7196,24.97196,0,0
SPAG11B,0,0,0,0,0.8287,1.7104,0,0,0,0,1.7104,0.25391,0,0
KLLN,19.1948,83.7912,6.9849,31.6424,6.6294,17.1041,28.0128,57.9193,4.0161,10.3235,83.7912,26.56185,18.14945,4.0161
