Gene,TCGA-UB-A7MB-01A-11R-A33R-07,TCGA-4R-AA8I-01A-11R-A38B-07,TCGA-W5-AA39-01A-11R-A41I-07,TCGA-CC-A7IH-01A-11R-A33J-07,TCGA-WQ-A9G7-01A-11R-A37K-07,TCGA-DD-AAC8-01A-11R-A41C-07,TCGA-DD-A1EE-11A-11R-A131-07,TCGA-DD-A1EE-01A-11R-A131-07,TCGA-DD-AACI-01A-11R-A41C-07,TCGA-DD-A3A9-01A-11R-A266-07,MAX,AVG,MED,MIN
CEL,0.9363,21.978,36.0885,17.5791,2841.5165,197.2671,1.1672,21.4222,5.3548,55.7467,2841.5165,319.90564,21.7001,0.9363
CLCN1,25.2809,42.5824,0,4.0181,3.3147,0,0,11.9012,0,0,42.5824,8.70973,1.65735,0
CLPS,0,0,0,0,0,0,0,19.042,0,0,19.042,1.9042,0,0
CNGA3,0,0,0,0,7.458,0,0,0,0,0,7.458,0.7458,0,0
CTF1,12.1723,5.4945,138.5332,20.0904,14.9161,2.8507,81.7041,4.7605,17.4029,17.894,138.5332,31.58187,16.1595,2.8507
CYP11B1,0,0,0,0,0,0,0,288.4062,0,0,288.4062,28.84062,0,0
CYP11B2,0,0,0,0,0,0,38.5177,6695.2296,0,0,6695.2296,673.37473,0,0
DRD4,7.0225,9.6154,29.1036,27.6243,4420.9654,1.1403,4.6688,0.7934,6.6934,41.9821,4420.9654,454.96092,8.31895,0.7934
EGFR,2777.5187,1529.5055,504.0396,907.5841,181.4792,115.1675,2540.9513,1448.7633,844.7122,112.8699,2777.5187,1096.25913,876.14815,112.8699
ELF5,0,11.6758,0,147.1622,1.6573,1.7104,10.5048,0.7934,1.3387,0,147.1622,17.48426,1.498,0
EMX1,22.0037,70.0549,11.6414,0,48.063,0,3.5016,0,10.7095,16.5175,70.0549,18.24916,11.17545,0
EPHB2,2.809,296.0165,8.149,1568.5585,415.9934,627.1496,80.5369,368.1444,84.3373,48.1762,1568.5585,349.98708,190.1769,2.809
FGFR1,66.0112,125.6868,549.4761,138.1215,159.105,125.4299,319.8132,78.9448,115.1272,439.0915,549.4761,211.68072,131.90415,66.0112
FGFR3,460.206,765.1099,2525.0291,1272.7273,19197.0168,544.4799,1550.0438,808.0928,1344.0428,6543.0145,19197.0168,3500.97629,1308.38505,460.206
FGFR2,411.5169,219.7802,1351.5716,14.0633,6176.0928,1.1403,2262.0368,0.3967,708.166,4203.0282,6176.0928,1534.77928,559.84145,0.3967
FGFR4,1477.5281,2591.3462,3409.7788,3671.5218,20754.0916,7084.5098,2350.7441,1692.3535,1238.2865,8329.6628,20754.0916,5259.98232,3000.5625,1238.2865
FLT1,758.427,1480.0824,479.6275,1292.8177,407.7067,1051.3308,585.9352,1296.0428,720.2142,1010.3235,1480.0824,908.25078,884.37525,407.7067
FLT3,0.9363,0.6868,4.6566,1.5068,0.8287,6.2715,18.6752,0.7934,10.7095,13.0764,18.6752,5.81412,3.0817,0.6868
FLT4,250.9363,246.5659,416.7637,464.5907,215.4547,219.5024,536.9128,284.0424,212.8514,718.5134,718.5134,356.61337,267.48935,212.8514
FOSB,9.3633,587.9121,16.298,699.1462,1612.5958,10.8326,428.363,362.1938,283.8019,26.1528,1612.5958,403.66595,322.99785,9.3633
GAST,0,0,0,0,1511.4978,0,0,0,0,0.6882,1511.4978,151.2186,0,0
GAGE1,0,0.6868,0,0,0,1839.2587,0,0,0,0,1839.2587,183.99455,0,0
GDF9,25.7491,36.4011,20.9546,16.5746,19.8881,17.6742,12.8392,11.9012,17.4029,11.0117,36.4011,19.03967,17.53855,11.0117
GNG11,298.6891,470.467,293.3644,721.2456,270.9758,460.6699,415.5238,243.5783,626.506,1666.2078,1666.2078,546.72277,438.09685,243.5783
GOLGB1,3294.0075,4734.2033,3580.908,2500.7534,1192.4591,1968.1094,3313.6854,3426.3612,1574.2972,2119.7522,4734.2033,2770.45367,2897.38045,1192.4591
GPR1,0.4682,1.3736,1.1641,1.0045,546.0949,0.5701,1.1672,1.1901,0,74.329,546.0949,62.73617,1.16565,0
GPX7,696.6292,289.1484,27.9395,18.5836,172.3638,9.6923,142.3986,53.1588,121.8206,233.3104,696.6292,176.50452,132.1096,9.6923
