Gene,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-E9-A5FL-01A-11R-A27Q-07,TCGA-BH-A0WA-01A-11R-A109-07,TCGA-AR-A5QQ-01A-11R-A28M-07,TCGA-A2-A4S1-01A-21R-A266-07,TCGA-AR-A2LR-01A-12R-A18M-07,TCGA-A7-A26G-01A-21R-A169-07,TCGA-BH-A0DL-11A-13R-A115-07,TCGA-BH-A0DL-01A-11R-A115-07,MAX,AVG,MED,MIN
CYP1A1,1.8229,0,0.6842,0,0,0.971,0.5476,74.9842,1.2353,74.9842,8.916133333,0.6842,0
CYP4A11,0.6076,0.646,0.6842,0.4968,0,0.971,1.0952,2.8355,1.853,2.8355,1.021033333,0.6842,0
CYP19A1,32.2042,37.4677,0,3.4774,89.3389,88.3639,5.2021,10.0819,12.6621,89.3389,30.97757778,12.6621,0
DBH,12.7601,0,3.0787,1.4903,0.8508,2.4276,0.2738,7.8765,8.9561,12.7601,4.190433333,2.4276,0
GADD45A,343.3085,1024.5478,200.4589,1912.5683,396.4945,359.7672,278.9971,488.6578,895.3057,1912.5683,655.5673111,396.4945,200.4589
DHFR,371.8487,256.9767,269.0596,822.2851,184.7273,534.4995,387.3597,293.7114,480.4602,822.2851,400.1031333,371.8487,184.7273
DPAGT1,903.8493,759.0439,754.8543,873.0551,821.9859,754.5499,2604.6667,782.7883,1037.3873,2604.6667,1032.464522,821.9859,754.5499
DR1,1019.5959,560.0775,1999.7999,1388.4749,928.2736,1770.1908,1929.1596,1102.3945,1716.4917,1999.7999,1379.384267,1388.4749,560.0775
DRD2,1.2153,3.23,4.105,7.4516,11.061,63.6026,15.6063,86.3264,3.3972,86.3264,21.77726667,7.4516,1.2153
DRD4,35.2423,120.155,10.6045,34.774,6.8068,2.9131,20.8084,4.4108,1.2353,120.155,26.3278,10.6045,1.2353
DRD5,0,0.646,0,8.4451,0,3.3986,0.2738,0.6301,1.2353,8.4451,1.625433333,0.6301,0
DRG2,599.1189,1204.1344,423.4951,646.2991,661.1078,1687.6531,347.4459,612.1613,408.5855,1687.6531,732.2223444,612.1613,347.4459
DVL2,420.477,496.124,639.3476,562.3448,396.4945,989.4813,367.1591,567.4228,555.8987,989.4813,554.9722,555.8987,367.1591
S1PR1,338.4475,298.4496,220.6416,443.1197,918.9143,567.0825,572.2316,1954.6314,422.7918,1954.6314,637.3677778,443.1197,220.6416
EEF1A1,41378.7027,56642.7649,85279.8685,67536.0159,52908.1937,132594.3782,80039.317,118695.9672,51497.2205,132594.3782,76285.8254,67536.0159,41378.7027
EFNA4,942.4275,514.2119,844.0346,310.3378,311.4099,1461.0628,233.5471,234.0044,1498.6751,1498.6751,705.5234556,514.2119,233.5471
EFNB3,10.9373,36.8217,249.3763,45.2062,539.4367,674.867,82.4123,273.787,22.2359,674.867,215.0089333,82.4123,10.9373
EGFR,315.9532,465.1163,2382.2317,642.3199,98.6982,880.6723,1094.6297,1760.523,25887.5324,25887.5324,3725.297411,880.6723,98.6982
EIF2S1,1067.5984,1748.062,1847.9163,3033.7804,1365.6088,1853.6995,1310.6567,1522.3693,2531.1921,3033.7804,1808.987056,1748.062,1067.5984
