Gene,TCGA-AB-2828-03A-01T-0734-13,TCGA-AB-2808-03A-01T-0734-13,TCGA-AB-2826-03A-01T-0734-13,TCGA-AB-2833-03A-01T-0734-13,TCGA-AB-2806-03A-01T-0734-13,TCGA-AB-2854-03A-01T-0734-13,TCGA-AB-2807-03A-01T-0734-13,TCGA-AB-2805-03A-01T-0734-13,TCGA-AB-2950-03A-01T-0735-13,TCGA-AB-2810-03A-01T-0736-13,MAX,AVG,MED,MIN
ART3,0,0.7855,18.4645,0,0,3.3278,10.9235,0.6693,3.8941,1.3167,18.4645,3.93814,1.0511,0
ART4,0,21.2097,6.8027,2.1398,3.1827,112.3128,33.7637,5.3548,11.6822,1.3167,112.3128,19.77651,6.07875,0
ASCL2,15.3698,38.4918,17.4927,91.2981,14.0038,20.7987,6.9513,80.9906,10.1246,68.4665,91.2981,36.39879,19.1457,6.9513
ASL,365.8021,177.5334,558.7949,488.5877,213.8765,360.2329,82.423,145.2477,492.9907,593.8156,593.8156,347.93045,363.0175,82.423
ASNS,242.0749,446.1901,67.0554,369.4722,711.6486,663.8935,188.6792,133.8688,491.433,259.3829,711.6486,357.36986,314.42755,67.0554
ASPH,1934.7474,1651.1155,1814.3537,1321.6904,2367.7721,1518.5025,2545.3724,1591.4257,1018.5748,981.4811,2545.3724,1674.50356,1621.2706,981.4811
ZFHX3,4495.6772,974.077,966.8416,1592.5749,342.457,2518.2363,551.9762,1256.2918,1848.7695,456.5139,4495.6772,1500.34154,1115.1844,342.457
ATF1,841.4986,923.802,818.2702,797.4322,874.6022,628.1198,596.8222,929.7189,515.5763,294.9328,929.7189,722.07752,807.8512,294.9328
ATF4,3160.0384,4285.9387,3965.0146,5691.8688,5788.6696,6209.6506,5186.6931,3587.0147,6260.1246,19307.5662,19307.5662,6344.25793,5439.28095,3160.0384
ATIC,1543.1316,1652.7887,993.1973,1523.5378,1753.6601,1212.9784,1173.7835,722.8916,1590.3427,1942.0799,1942.0799,1410.83916,1533.3347,722.8916
ATM,5137.3679,4330.7148,5221.5743,2746.776,3282.6225,5382.6955,4523.3366,6176.0375,3894.0654,1084.9314,6176.0375,4178.01219,4427.0257,1084.9314
ATOX1,167.5312,203.4564,271.137,457.9173,148.9497,288.6855,148.9573,184.0696,205.6075,433.1826,457.9173,250.94941,204.53195,148.9497
ATP1B2,0.7685,79.3401,0.9718,16.4051,4.4558,712.1464,326.713,9.3708,52.1807,10.5333,712.1464,121.28855,13.4692,0.7685
ATP2B1,2884.9183,1334.6426,2622.9349,1846.6476,1714.1948,1804.4925,778.5501,7783.1325,1810.7477,1526.014,7783.1325,2410.6275,1807.6201,778.5501
AVPR1A,0,8.641,2.9155,0,3.1827,3.3278,0,1.3387,3.8941,9.2167,9.2167,3.25165,3.0491,0
AVPR1B,0,7.8555,2.9155,2.1398,17.1865,3.3278,12.9096,2.008,25.7009,11.85,25.7009,8.58936,5.59165,0
BAX,328.9145,472.1131,615.1603,503.5663,356.4609,678.8686,414.1013,253.012,471.1838,888.7484,888.7484,498.21292,471.64845,253.012
BCAT2,112.9683,139.0416,193.3916,210.4137,173.1381,283.6938,169.8113,121.1513,299.0654,492.4325,492.4325,219.51076,183.26485,112.9683
BCKDHA,906.8204,454.8311,767.7357,959.3438,740.9994,653.9434,722.9394,832.751,926.0125,1844.6468,1844.6468,881.00235,800.24335,454.8311
CCND1,49.1835,285.9387,10.69,107.7033,456.9764,69.9418,30.7845,62.249,508.014,12.087,508.014,159.35682,66.0954,10.69
BCL2,1544.6686,1186.1744,932.9446,308.8445,2131.1267,1308.6522,3257.1996,578.3133,448.5981,1024.3649,3257.1996,1272.08869,1105.26965,308.8445
BCL2L1,458.7896,977.2192,589.8931,598.4308,880.9675,3135.6073,1987.0904,540.83,1338.785,654.3822,3135.6073,1116.19951,767.67485,458.7896
BCL2L2,549.879,590.5656,433.9553,243.6876,660.2992,605.2912,556.5243,561.8273,731.947,465.1907,731.947,539.91672,559.1758,243.6876
BCL3,373.487,195.6009,379.9806,1491.4408,108.2113,762.8952,586.8918,437.751,251.5576,563.5323,1491.4408,515.13485,408.8658,108.2113
BCL6,1355.6196,2006.2844,3519.9223,2917.2611,129.2171,3008.3195,771.5988,2010.7095,279.595,912.4484,3519.9223,1691.09757,1680.952,129.2171
BCL9,67.6273,44.7761,82.6045,200.428,632.718,202.1631,268.1231,110.4418,549.0654,55.2999,632.718,221.32472,155.4349,44.7761
TNFRSF17,51.489,28.2797,12.6336,3.5663,23.5519,68.2196,45.6802,35.4752,38.162,10.5333,68.2196,31.75908,31.87745,3.5663
BCR,1845.1489,2336.2137,703.5957,1529.2439,5248.2495,1354.4093,3854.0218,1363.4538,6043.6137,4125.1094,6043.6137,2840.30597,2090.6813,703.5957
CFB,13.8329,3.1422,3.8873,7.1327,61.3558,7.4875,20.854,8.7015,9.3458,17.1166,61.3558,15.28563,9.02365,3.1422
BLK,40.7301,14.1398,21.38,49.2154,25.4615,104.8253,1546.1768,41.4993,23.3645,56.6166,1546.1768,192.34093,41.1147,14.1398
BMP4,0,2.3566,0,0,38.8288,4.1597,8.9374,0.6693,39.7196,1.3167,39.7196,9.59881,1.83665,0
BMP8B,59.1739,43.205,145.7726,45.6491,82.7498,105.6572,56.6038,45.5154,66.9782,97.4332,145.7726,74.87382,63.07605,43.205
BOK,6.1479,4.7133,6.8027,3.5663,5.7288,13.3111,21.8471,4.0161,13.2399,2.6333,21.8471,8.20065,5.93835,2.6333
