Gene,TCGA-UB-A7MB-01A-11R-A33R-07,TCGA-4R-AA8I-01A-11R-A38B-07,TCGA-W5-AA39-01A-11R-A41I-07,TCGA-CC-A7IH-01A-11R-A33J-07,TCGA-WQ-A9G7-01A-11R-A37K-07,TCGA-DD-AAC8-01A-11R-A41C-07,TCGA-DD-A1EE-11A-11R-A131-07,TCGA-DD-A1EE-01A-11R-A131-07,TCGA-DD-AACI-01A-11R-A41C-07,TCGA-DD-A3A9-01A-11R-A266-07,MAX,AVG,MED,MIN
CSRP1,474.7191,4344.0934,7413.2712,420.894,3767.9718,449.2672,3102.4219,1733.2143,4038.822,3611.8376,7413.2712,2935.65125,3357.12975,420.894
CTNNB1,4276.0159,7304.897,3086.1118,8434.9473,2074.9865,15740.7592,5762.4511,7653.9839,2226.2383,4527.1851,15740.7592,6108.75761,5144.8181,2074.9865
CYP2A6,25563.2022,104928.5714,178.1141,10991.4616,2356.7433,29.0769,67810.9133,128.5332,977.2423,21269.7866,104928.5714,23423.36449,6674.10245,29.0769
CYP8B1,18517.3221,17364.6978,827.7066,8656.454,1344.9347,1523.9735,26766.2679,4537.9351,427.0415,6.1941,26766.2679,7997.25273,3030.9543,6.1941
CYP24A1,0,0.6868,0,0,0.8287,0,0,0.7934,0,0.6882,0.8287,0.29971,0,0
DAB1,225.1873,69.3681,2.3283,4.5203,2.486,2.2805,22.1768,13.8848,0,0,225.1873,34.22321,3.50315,0
CFD,37.9213,113.3242,282.8871,19.0859,734.2034,23.9457,631.4561,55.9357,194.1098,54.3703,734.2034,214.72395,84.62995,19.0859
CYB5R3,3967.6966,7533.6538,14653.085,7326.9714,8659.623,5986.998,8575.4304,12520.48,5293.1727,14527.1851,14653.085,8904.4296,8054.5421,3967.6966
MEGF6,11.236,179.2582,378.3469,483.1743,857.6756,218.3621,377.0061,124.1694,99.0629,1966.2767,1966.2767,469.45682,297.6841,11.236
EGFR,2777.5187,1529.5055,504.0396,907.5841,181.4792,115.1675,2540.9513,1448.7633,844.7122,112.8699,2777.5187,1096.25913,876.14815,112.8699
EPHA2,263.1086,202.6099,926.6589,219.4877,918.9973,165.9096,1504.5229,422.0966,273.0924,318.6511,1504.5229,521.5135,295.87175,165.9096
EN2,0.4682,1.3736,3.4924,0,0.8287,0,0,0,0,42.6703,42.6703,4.88332,0.2341,0
EPHA1,1119.8502,1206.044,2162.9802,101.4566,1272.8403,3.991,641.9609,161.4599,246.3186,1123.1934,2162.9802,804.00951,880.90555,3.991
ERF,1745.3184,2885.3022,798.603,2350.5776,1059.0429,2830.1551,1063.3207,1123.8719,330.656,1234.6869,2885.3022,1542.15347,1179.2794,330.656
EYA1,39.3258,0,1.1641,0,2.486,0,1.1672,0,0,0,39.3258,4.41431,0,0
F5,18908.7079,21760.989,21189.7555,45878.9553,4556.0389,19832.7506,20052.5241,23638.5996,17041.4993,41338.6098,45878.9553,23419.843,20621.1398,4556.0389
FASN,67183.9888,1115.3846,10218.8591,12120.0402,19874.8705,10512.7376,3562.2994,35592.5816,1677.3762,7842.395,67183.9888,16970.0533,10365.79835,1115.3846
