Gene,TCGA-UB-A7MB-01A-11R-A33R-07,TCGA-4R-AA8I-01A-11R-A38B-07,TCGA-W5-AA39-01A-11R-A41I-07,TCGA-CC-A7IH-01A-11R-A33J-07,TCGA-WQ-A9G7-01A-11R-A37K-07,TCGA-DD-AAC8-01A-11R-A41C-07,TCGA-DD-A1EE-11A-11R-A131-07,TCGA-DD-A1EE-01A-11R-A131-07,TCGA-DD-AACI-01A-11R-A41C-07,TCGA-DD-A3A9-01A-11R-A266-07,MAX,AVG,MED,MIN
TPD52,727.4906,1649.5261,1468.9988,1250.3014,1399.7017,832.5468,1186.7406,1127.6088,3957.4699,480.4818,3957.4699,1408.08665,1218.521,480.4818
TRAF3,180.2434,285.0275,123.3993,58.7644,191.4232,145.3847,136.5626,163.0467,139.2236,116.9993,285.0275,154.00747,142.30415,58.7644
TRPC4,4.6816,2.7473,4.6566,2.5113,7.458,7.9819,8.1704,1.5868,1.3387,17.894,17.894,5.90266,4.6691,1.3387
PHLDA2,6.0861,82.4176,365.5413,15.5701,1793.2463,375.1495,12.8392,170.1874,520.7497,1030.9704,1793.2463,437.27576,267.86435,6.0861
UBE2B,1051.9663,1045.3297,1426.0768,1349.0708,1436.0887,2225.8109,1182.3753,1187.7417,2046.8541,1596.6965,2225.8109,1454.80108,1387.5738,1045.3297
UROS,342.2285,1001.3736,979.0454,1515.3189,1702.9211,1130.5797,940.7645,840.6228,783.1325,3556.7791,3556.7791,1279.27661,990.2095,342.2285
VARS,2460.206,3573.489,2038.4168,3657.9608,4603.2733,6285.1792,1945.7251,5388.0789,2666.6667,3823.8128,6285.1792,3644.28086,3615.7249,1945.7251
VEGFA,2499.5318,9465.6593,4664.7264,4662.4812,8544.4375,3414.5445,2864.3128,3763.1657,1680.0535,1858.2244,9465.6593,4341.71371,3588.8551,1680.0535
VEGFB,352.0599,217.7198,2625.1455,108.4882,2383.2608,111.7467,755.1795,67.4402,1603.7483,1454.9209,2625.1455,967.97098,553.6197,67.4402
VEGFC,35.5805,85.1648,61.6997,114.0131,91.9826,69.5566,95.7105,68.6304,210.174,286.9924,286.9924,111.95046,88.5737,35.5805
VHL,858.6142,768.544,300.3492,487.6946,502.1753,423.0409,630.2889,415.3526,70.9505,187.8871,858.6142,464.48973,455.36775,70.9505
BEST1,36.5169,105.7692,108.2771,8.0362,227.1887,33.6437,32.6816,13.0913,41.5261,10.3235,227.1887,61.70543,35.0803,8.0362
VTN,120953.4176,157524.7253,86145.518,119679.0558,35908.8461,22818.5528,268157.3738,42400.0793,251512.7175,421927.7357,421927.7357,152702.8022,120316.2367,22818.5528
VWF,3564.6067,4547.3901,282.8871,2075.339,45.577,3943.6307,667.6393,2703.1637,1453.8153,1805.2306,4547.3901,2108.92795,1940.2848,45.577
WNT2,0,3.4341,0,6.5294,2.486,0.5701,24.5112,0,6.6934,7.5705,24.5112,5.17947,2.96005,0
YWHAG,3522.9401,4074.1758,3438.8824,3972.3757,5385.5397,5420.853,2592.3548,7293.0675,4463.1861,3103.2347,7293.0675,4326.66098,4023.27575,2592.3548
ZNF708,97.8464,92.7198,76.8335,55.2486,57.1784,37.0588,66.5305,52.3654,4.0161,46.1115,97.8464,58.5909,56.2135,4.0161
ZNF236,254.2135,118.1319,195.5763,216.9764,192.2519,97.4933,177.4146,270.5544,28.1124,33.0351,270.5544,158.37598,184.83325,28.1124
ZNF239,4.2135,82.4176,48.8941,2.009,72.9231,116.3077,15.1736,1.1901,10.7095,22.7116,116.3077,37.65498,18.9426,1.1901
HIST3H3,0,0,0,0,0,0.5701,0,0,0,0,0.5701,0.05701,0,0
AXIN1,1186.3296,480.7692,568.1024,496.233,970.375,817.575,484.3887,508.5788,589.0228,859.6008,1186.3296,696.09753,578.5626,480.7692
FZD4,1218.0056,1105.5288,1427.7998,1825.8664,437.1328,895.8661,1181.0213,1815.9595,907.2825,2164.7213,2164.7213,1297.91841,1199.51345,437.1328
FZD9,0,4.8077,22.1187,2.009,590.0145,1.1403,2.3344,0.3967,1.3387,14.4529,590.0145,63.86129,2.1717,0
HIST1H2BM,0,0,0,0.5023,0.8287,0,0,0,0,0,0.8287,0.1331,0,0
PIP4K2B,1281.8352,1282.2802,1169.9651,1770.4671,1404.5991,2208.1367,945.4333,1380.5415,965.1941,1679.2842,2208.1367,1408.77365,1331.41085,945.4333
EEA1,713.015,620.8791,430.7334,674.5354,461.5703,526.8057,620.9513,824.7545,269.0763,246.3868,824.7545,538.87078,573.8424,246.3868
BCAR3,334.2182,724.5879,195.5763,240.4621,333.9548,319.8463,561.424,560.1507,306.2383,331.0392,724.5879,390.74978,332.497,195.5763
CDC42BPA,570.2247,1608.5165,1429.5693,4772.4761,745.8048,2497.7658,1441.494,4348.309,2504.6854,863.042,4772.4761,2078.18876,1525.00525,570.2247
PPFIBP2,684.9251,765.1099,498.2538,554.4952,599.9586,701.2673,1964.4004,743.8262,1443.1058,1687.543,1964.4004,964.28853,722.54675,498.2538
HAT1,1012.6404,414.8352,830.0349,683.5761,227.0561,641.403,412.0222,574.4322,389.5582,831.3833,1012.6404,601.69416,607.9176,227.0561
BHLHE40,3170.412,2150.4121,2065.1921,3778.001,3637.0416,2587.8473,1878.0274,3383.1201,649.2637,3029.5939,3778.001,2632.89112,2808.7206,649.2637
YARS,2153.0899,2766.4835,2216.5308,1869.4124,2239.9006,1090.1,1866.3554,3913.9145,2985.2744,1321.404,3913.9145,2242.24655,2184.81035,1090.1
SLC25A12,111.4232,102.3352,243.3062,167.7549,28.1748,180.163,44.3537,75.7711,124.498,136.2698,243.3062,121.40499,117.9606,28.1748
RUVBL1,622.1489,862.967,564.1094,665.7107,537.1121,1423.5783,502.8655,1007.1883,546.1312,846.6483,1423.5783,757.84597,643.9298,502.8655
CDK13,1022.0037,1239.011,589.057,954.2943,956.2875,842.661,897.5781,1284.1416,440.4284,356.5038,1284.1416,858.19664,925.9362,356.5038
RFXANK,846.8071,595.1236,581.979,602.1246,1908.4566,851.2244,401.0271,481.813,1506.8273,1689.1948,1908.4566,946.45775,724.46585,401.0271
EIF3J,1428.839,1191.6209,1708.9639,1172.7775,812.9273,933.8828,1196.3817,1580.482,1283.8019,1576.7378,1708.9639,1288.64148,1240.0918,812.9273
VAMP4,418.0712,369.5055,523.865,755.3993,305.78,627.7197,253.2828,618.07,443.1058,408.1211,755.3993,472.29204,430.5885,253.2828
B4GALT3,1329.5506,624.3132,1118.7427,1151.6826,1226.4346,1738.8977,535.7456,1608.2515,1639.8929,1907.777,1907.777,1288.12884,1277.9926,535.7456
SOCS2,267.3221,80.3571,229.3364,401.3059,121.8148,45.6109,2776.7727,163.0467,240.9639,298.6924,2776.7727,462.52229,235.15015,45.6109
IER3,135.2996,901.7857,182.7707,174.7865,6825.7717,2235.5032,311.6428,1204.0067,779.1165,1732.278,6825.7717,1448.29614,840.4511,135.2996
SGCE,1481.7416,349.5879,37.2526,70.3164,24.0315,35.3484,165.7426,21.8189,32.1285,172.746,1481.7416,239.07144,53.7845,21.8189
MGAM,16.3858,7.5549,8.149,0.5023,3.3147,1.7104,1.1672,0.7934,659.9732,5.5058,659.9732,70.50567,4.41025,0.5023
SLC7A6,308.132,420.0893,473.2712,736.218,740.2196,724.4262,239.1013,637.4452,381.6466,459.649,740.2196,512.01984,466.4601,239.1013
PKMYT1,486.1938,147.8984,403.376,95.9417,402.8175,39.6359,2.3344,80.4681,56.0375,76.4212,486.1938,179.11245,88.2049,2.3344
SLC16A3,66.0112,160.7143,2230.5006,61.2757,4072.0945,909.937,164.5754,189.6261,382.8648,279.4219,4072.0945,851.70215,234.524,61.2757
ZW10,762.6404,481.456,334.1094,448.5183,386.1612,487.4663,283.63,519.2899,192.7711,331.0392,762.6404,422.70818,417.33975,192.7711
MED14,938.5955,1209.478,873.1083,732.2953,801.3259,786.7649,808.5673,1115.1443,311.9143,419.1328,1209.478,799.63266,804.9466,311.9143
PLAA,822.0974,1160.6868,1813.7369,807.112,619.018,1053.0412,776.1891,1351.1852,746.988,496.903,1813.7369,964.69576,814.6047,496.903
GRHPR,6419.4757,13409.3407,3996.5076,10312.9081,2621.0897,8778.954,13916.5451,5885.9466,4866.1312,2781.1425,13916.5451,7298.80412,6152.71115,2621.0897
CDYL,381.5543,155.9066,243.3062,474.1336,241.9722,393.3938,249.7811,457.4036,283.8019,300.7571,474.1336,318.20104,292.2795,155.9066
AIM2,2.809,4.1209,0,1.0045,0.8287,6.2715,39.6849,2.3802,20.0803,2.7529,39.6849,7.99329,2.78095,0
TBX4,1.8727,12.3626,0,32.6469,2.486,1099.7923,0,11.5045,0,0,1099.7923,116.0665,2.17935,0
SLC4A7,247.191,155.9066,54.7148,36.1627,79.5525,48.4616,149.4018,100.367,111.1111,22.0234,247.191,100.48925,89.95975,22.0234
GMFG,109.0824,171.7033,73.3411,178.8046,164.9057,213.801,396.8486,104.334,1476.573,582.9319,1476.573,347.23256,175.25395,73.3411
SEC24C,3867.0412,3605.0824,4735.7392,5041.6876,2679.0967,3604.3997,2844.4704,3001.8844,2547.5234,3157.605,5041.6876,3508.453,3381.00235,2547.5234
GCC2,378.7453,720.467,452.8522,316.9262,334.7835,487.4663,973.4462,690.6675,331.9946,320.0275,973.4462,500.73763,415.79875,316.9262
MDC1,1409.6442,1262.3626,1182.7707,1569.0608,669.567,1243.4666,578.932,1216.3047,903.6145,873.3655,1569.0608,1090.90886,1199.5377,578.932
UBE3C,1803.839,1689.5604,2242.142,1457.559,2353.4286,1730.3627,1882.6962,2950.7091,793.842,1448.7268,2950.7091,1835.28658,1767.10085,793.842
CCP110,338.9513,208.7912,126.8917,281.768,33.9756,265.1132,158.7394,255.8762,76.3052,53.682,338.9513,180.00938,183.7653,33.9756
DLGAP5,375,157.2802,137.369,91.9136,241.9722,38.1991,5.836,105.9209,44.1767,54.3703,375,125.2038,98.91725,5.836
GINS1,605.8052,199.1758,188.5914,79.3571,410.1927,88.3711,18.6752,138.4509,50.8701,91.5348,605.8052,187.10243,114.99285,18.6752
SNUPN,666.6667,378.4341,392.3166,426.4189,454.1123,462.9504,392.1797,370.1279,483.2664,900.8947,900.8947,492.73677,440.2656,370.1279
MPHOSPH6,80.9925,236.9505,281.7229,218.4832,237.8289,333.5296,98.0449,200.3372,144.5783,192.0165,333.5296,202.44845,209.4102,80.9925
GDF11,37.6264,27.2527,36.5658,96.5394,238.3427,57.7719,89.0575,26.4048,45.2343,93.2209,238.3427,74.80164,51.5031,26.4048
MFSD10,252.809,222.5275,345.7509,318.4329,6333.5405,465.8011,330.3181,177.3282,534.1365,1799.0365,6333.5405,1077.96812,338.0345,177.3282
LRRC23,73.97,111.9505,40.7451,56.2531,128.4442,151.6562,31.5144,61.8863,107.095,105.2994,151.6562,86.88142,89.6347,31.5144
MRPS31,369.382,315.9341,428.4051,563.5359,346.3849,388.8327,430.6974,503.0249,402.9451,189.2636,563.5359,393.84057,395.8889,189.2636
SIRPB1,82.8652,177.8846,121.071,27.6243,24.0315,60.4344,194.9227,35.7037,21.419,47.488,194.9227,79.34444,53.9612,21.419
CACNG3,0,0,0,0,0,0,1.1672,0,0,0,1.1672,0.11672,0,0
NDRG1,6478.9326,3287.0879,2959.2549,9575.0879,3356.9505,6754.4011,3091.9171,14833.6805,2629.1834,1233.3104,14833.6805,5419.98063,3322.0192,1233.3104
SPAG11B,0,0,0,0,0,4.5611,0,0,0,0,4.5611,0.45611,0,0
TMEM147,1177.4345,743.1319,1121.071,975.8915,3010.5656,1271.9734,985.1182,1275.0174,1489.9598,3750.8603,3750.8603,1580.10236,1224.70395,743.1319
PPIE,819.7566,915.4121,797.4389,668.5083,945.5148,667.6292,715.4946,524.0504,1168.6747,960.0826,1168.6747,818.25622,808.59775,524.0504
BAIAP2,2285.1124,646.978,3027.9395,1876.444,6464.8602,2733.2319,2302.8888,1274.2239,979.9197,4492.7736,6464.8602,2608.4372,2294.0006,646.978
CLEC10A,31.8352,65.2473,12.8056,16.5746,46.4056,23.9457,107.3826,12.2979,96.3855,240.1927,240.1927,65.30727,39.1204,12.2979
SEC23B,1640.4494,1918.956,1784.6333,1414.8669,948.8295,2112.924,1286.2562,1647.9222,1073.6278,1940.1239,2112.924,1576.85892,1644.1858,948.8295
APPBP2,669.4757,884.6154,318.9756,668.5083,205.5107,909.937,825.2116,840.6228,341.3655,333.1039,909.937,599.73265,668.992,205.5107
PROCR,106.2734,54.2582,37.2526,46.7102,66.2938,40.4797,98.0449,32.53,163.3199,550.585,550.585,119.57477,60.276,32.53
CXCL13,2384.8315,576.9231,2.3283,18.5836,13.2588,0,2001.7508,0,153.9491,17.894,2384.8315,516.95192,18.2388,0
SPAG5,2574.9064,908.6538,965.0757,256.1527,1181.6863,148.2354,458.7102,371.3181,674.6988,266.3455,2574.9064,780.57829,566.7045,148.2354
LEFTY1,14.5131,8.2418,35.553,2.5113,78.0278,3.6033,54.8585,1.5868,6.6934,14.4529,78.0278,22.00419,11.34735,1.5868
KHDRBS3,959.2697,215.6593,223.5157,663.9879,146.675,366.5974,180.9163,516.9096,259.7055,138.3345,959.2697,367.15709,241.6106,138.3345
CYP46A1,20.5993,9.6154,112.922,10.0452,14.9161,3.991,15.1736,11.1078,2.6774,9.6352,112.922,21.0683,10.5765,2.6774
ADAM28,0.9363,14.4231,52.3865,2.009,9.9441,9.6923,42.0193,3.9671,42.838,13.7646,52.3865,19.19803,11.85435,0.9363
PRSS21,0,0,1.1641,0,0.8287,0.5701,1.1672,0,1.3387,0.6882,1.3387,0.5757,0.62915,0
KIF2C,495.3184,221.1538,386.4959,90.4068,597.4726,42.1901,11.672,145.5916,109.7724,70.8878,597.4726,217.09614,127.682,11.672
ABHD2,16066.4794,28192.3077,17315.4831,5129.0809,1586.907,3111.8022,15669.6819,8446.2957,5244.9799,5871.989,28192.3077,10663.50068,7159.14235,1586.907
CYB561D2,586.9382,913.8393,259.6042,392.8327,1243.9942,604.5038,548.5848,699.9821,1427.992,785.2719,1427.992,746.35432,652.24295,259.6042
TMEM115,1660.1124,1406.5934,707.7998,1530.3867,1465.0922,1887.1501,1049.3143,1129.4258,1840.6961,1862.3538,1887.1501,1453.89246,1497.73945,707.7998
TBC1D8,1466.7603,870.8791,1718.2771,805.6253,644.7069,769.6836,1000.2918,817.2171,594.3775,948.3827,1718.2771,963.62014,844.0481,594.3775
INSL6,0,0,1.1641,0,0,0.5701,0,0,0,0,1.1641,0.17342,0,0
POLI,257.0225,342.033,174.6217,214.9674,200.5386,208.0996,206.5947,181.2952,50.8701,58.4997,342.033,189.45425,203.56665,50.8701
ZHX1,1172.2846,1168.2692,3154.8312,3052.2351,536.1508,1194.9138,1443.8284,2789.5706,991.9679,962.8355,3154.8312,1646.68871,1183.5992,536.1508
KLHL2,631.0861,957.4176,655.4133,485.1833,188.1086,439.5748,926.7581,939.7997,163.3199,154.852,957.4176,554.15134,558.1347,154.852
TMC6,79.1199,149.0385,73.3411,113.0085,2252.3306,123.1494,472.7167,151.9389,820.6158,667.5843,2252.3306,490.28437,150.4887,73.3411
MGLL,4128.7453,3554.9451,14927.8231,730.7885,10916.9256,645.9641,8012.8392,1670.9313,2441.7671,9833.448,14927.8231,5686.41773,3841.8452,645.9641
ATF5,36910.0983,6978.022,75192.0838,1681.5671,16599.1299,941.8647,13541.8734,12191.2129,5052.2088,26944.9415,75192.0838,19603.30024,12866.54315,941.8647
WDR47,162.4532,126.3736,87.3108,132.5967,50.549,124.2896,117.8874,172.9644,46.8541,73.6407,172.9644,109.49195,121.0885,46.8541
TRIM35,2270.5993,785.7143,880.0931,369.1612,253.5736,714.3804,613.9481,316.5724,535.4752,249.8279,2270.5993,698.93455,574.71165,249.8279
TTLL5,367.5094,320.0549,218.8591,220.4922,139.2169,159.0679,193.7555,245.1651,66.9344,99.1053,367.5094,203.01607,206.3073,66.9344
PHLDB1,258.8951,359.8901,349.2433,257.1572,1494.0957,187.5747,327.9837,170.5842,406.9612,997.9353,1494.0957,481.03205,338.6135,170.5842
FAF2,1665.7303,1730.7692,1890.5704,1083.3752,1309.3018,1705.2768,1205.7193,1349.2016,1218.2062,922.9181,1890.5704,1408.10689,1329.2517,922.9181
ACSBG1,1.8727,2.7473,0,7.0316,0.8287,1.1403,3.5016,1.5868,1.3387,4.8176,7.0316,2.48653,1.72975,0
SIN3B,980.8052,607.1429,806.752,848.3174,781.4377,769.6836,566.0928,635.5251,400.2677,443.9092,980.8052,683.99336,702.60435,400.2677
ABCA5,1049.1573,1563.8736,1616.9965,740.7383,759.0636,310.154,1046.9799,1128.2356,788.4873,341.3627,1616.9965,934.50488,917.7336,310.154
TMEM50A,1271.5356,1550.1374,1834.6915,2312.4058,2036.0472,2440.7522,1442.6612,1830.0109,2428.3802,2291.81,2440.7522,1943.8432,1935.36935,1271.5356
ELP5,533.2397,659.3407,1084.9825,872.9282,795.5252,1114.6159,714.3274,722.0073,1004.0161,608.3964,1114.6159,810.93794,758.76625,533.2397
CD2AP,1297.7528,1682.0055,1445.8673,1459.0658,828.6721,2105.5122,979.2822,2024.7942,1579.6519,900.2065,2105.5122,1430.28105,1452.46655,828.6721
TMEM245,1202.7154,4302.1978,1866.1234,4581.6173,1399.6271,5565.6676,2292.384,4055.1423,1406.9612,1281.4866,5565.6676,2795.39227,2079.2537,1202.7154
EID1,2779.4944,4717.7198,1243.3062,1980.9141,711.8293,2092.9692,2266.7056,1291.6791,1915.6627,2583.6201,4717.7198,2158.39005,2036.94165,711.8293
TMEM184B,895.4167,787.1909,911.3271,487.3079,1934.2863,590.0508,529.5127,938.078,774.6988,1235.4508,1934.2863,908.332,841.3038,487.3079
SUMF2,3806.1798,2854.3956,4722.9336,3752.3857,4918.9973,2697.8835,3529.6177,5542.3981,6010.7095,9737.0957,9737.0957,4757.25965,4264.5567,2697.8835
RWDD3,328.0712,461.4766,194.7031,333.2747,254.4023,278.2264,306.9974,228.4757,283.8019,179.6284,461.4766,284.90577,281.01415,179.6284
SETBP1,614.2322,442.3077,366.7055,195.8815,34.8042,100.3439,436.5334,291.1832,48.1928,56.435,614.2322,258.66194,243.53235,34.8042
SLITRK5,0.4682,1.3736,3.4924,0.5023,16.5734,0,3.5016,0,0,11.6999,16.5734,3.76114,0.93795,0
STAP1,0.4682,1.3736,0,2.009,0.8287,0,18.6752,0,9.3708,1.3765,18.6752,3.4102,1.10115,0
OR7C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPA2,866.573,1436.8132,748.5448,1117.5289,1119.5359,900.2447,1359.7899,1248.438,1688.0857,942.1886,1688.0857,1142.77427,1118.5324,748.5448
AFF4,2539.3258,2291.8956,3052.3865,1845.3039,1782.4736,1945.304,2643.7117,2629.3762,3401.6064,1835.5127,3401.6064,2396.68964,2415.6107,1782.4736
CPAMD8,14.0449,17.1703,153.6671,8.0362,68.7798,8.552,45.5209,8.7276,38.822,59.1879,153.6671,42.25087,27.99615,8.0362
GPR78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBS9,125.4682,271.978,48.8941,148.669,38.9476,146.5249,229.9387,241.9915,45.5154,48.8644,271.978,134.67918,135.99655,38.9476
DHDH,9.8315,7.5549,23.2829,8.0362,19.8881,1.7104,2.3344,0.7934,8.0321,0.6882,23.2829,8.21521,7.7935,0.6882
NXT1,219.5693,126.3736,150.1746,195.8815,466.5424,409.3576,107.3826,156.3027,587.6841,482.4501,587.6841,290.17185,207.7254,107.3826
CD274,4.2135,20.6044,9.3132,2.009,2.486,1.7104,29.18,9.521,14.7256,4.8176,29.18,9.85807,7.0654,1.7104
PACSIN3,789.794,198.489,53.5506,2520.3415,1361.5082,3516.5988,995.623,402.6579,1212.8514,871.989,3516.5988,1192.34034,933.806,53.5506
STRN4,1501.4045,1432.6923,1434.2258,1075.8413,2404.8063,1180.1815,1010.7966,1305.5638,602.4096,1847.9009,2404.8063,1379.58226,1369.12805,602.4096
CCDC106,167.1348,885.989,32.596,526.8709,499.6892,456.6789,587.1024,242.7849,250.3347,127.3228,885.989,377.65036,353.5068,32.596
KCNIP3,506.5543,89.2857,476.135,1.0045,165.7344,10.2624,17.508,420.1131,112.4498,61.9408,506.5543,186.0988,100.86775,1.0045
NEUROG3,0,0,0,0,0,0,0,0.7934,0,0,0.7934,0.07934,0,0
NTM,1.4045,9.6154,13.9697,0.5023,43.0909,489.1767,7.0032,2.3802,13.3869,66.0702,489.1767,64.66,11.50115,0.5023
LACTB2,610.9551,1163.4615,346.915,1249.6233,740.8328,1144.2629,733.0026,2020.4304,864.7925,192.7047,2020.4304,906.69808,802.81265,192.7047
SAR1B,2070.2247,2178.5714,1648.4284,1142.6419,578.4131,1123.1679,1827.8378,1701.081,1119.1432,685.4783,2178.5714,1407.49877,1395.53515,578.4131
SLC45A2,3.7453,74.8626,45.4016,58.7644,18.2308,31.9276,2.3344,5.5539,0,19.2705,74.8626,26.00911,18.75065,0
DBR1,214.8876,324.8626,500.5821,194.3747,218.7694,295.3304,206.5947,259.0499,101.7403,183.7577,500.5821,249.99494,216.8285,101.7403
ZDHHC2,159.176,128.4341,115.2503,16.5746,116.0141,98.6335,245.1123,74.9777,152.6104,60.5643,245.1123,116.73473,115.6322,16.5746
DDX47,846.4466,894.9176,592.5495,799.5982,661.2803,1171.0593,711.993,837.0525,931.7269,784.5836,1171.0593,823.12075,818.32535,592.5495
REEP2,3.7453,14.4231,5.8207,0.5023,915.6826,7.9819,3.5016,3.5704,21.419,84.6524,915.6826,106.12993,6.9013,0.5023
SPG21,1948.0337,2765.7967,3180.4424,2275.2386,1766.7288,2454.4354,2118.471,2120.4007,2729.585,4792.8424,4792.8424,2615.19747,2364.837,1766.7288
THEM6,882.9588,1635.3022,3091.9674,4069.3119,2782.6808,2030.2543,871.8996,3489.041,1713.5207,979.3531,4069.3119,2154.62898,1871.8875,871.8996
MBTPS2,548.6142,1015.7967,593.4808,810.1105,195.7075,998.177,835.7164,1559.2621,494.9531,546.4556,1559.2621,759.82739,701.79565,195.7075
EIF3L,6511.236,4186.8132,4061.6997,4447.5138,4267.6611,6285.1792,4437.7006,4094.8131,4161.9813,8810.7364,8810.7364,5126.53344,4352.68085,4061.6997
CTDSPL2,500,412.7747,470.3143,286.7906,132.5875,202.3983,308.1412,347.9123,87.0147,244.3221,500,299.22557,297.4659,87.0147
NBAS,663.3895,1581.7308,861.4668,1495.7308,470.6857,1347.2313,896.4109,1631.6572,994.6452,1137.6462,1631.6572,1108.05944,1066.1457,470.6857
TMBIM4,1084.0496,2664.9107,2300.2794,2035.4596,1977.1949,2770.0798,1394.2107,968.1563,2522.8246,2731.1081,2770.0798,2044.82737,2167.8695,968.1563
FKBP7,57.5843,62.5,60.5355,139.6283,30.6609,61.5747,163.4082,113.4583,42.838,135.5816,163.4082,86.77698,62.03735,30.6609
RAB23,265.9176,124.3132,51.2224,325.9669,99.4406,100.9141,87.5401,249.5289,176.7068,167.2402,325.9669,164.87908,145.7767,51.2224
WBP11,1696.161,2078.2967,1859.1385,1792.0643,1132.7947,1946.4443,1373.7963,1606.6647,1029.4511,1716.4487,2078.2967,1623.12603,1706.30485,1029.4511
RTEL1,698.4738,704.6223,727.3574,804.661,610.6484,437.2487,262.9355,414.222,593.0388,554.2946,804.661,580.75025,601.8436,262.9355
NUDT9,900.7491,762.3626,456.3446,561.0246,833.6441,597.5025,843.8868,1057.6217,1827.3092,324.1569,1827.3092,816.46021,798.00335,324.1569
C21orf58,110.4869,103.022,47.7299,83.3752,194.7379,35.3484,12.8392,38.4806,14.7256,24.7763,194.7379,66.5522,43.10525,12.8392
CLIC6,2.3408,28.1593,11.6414,2.5113,71.2658,1.1403,229.9387,6.744,10.7095,22.7116,229.9387,38.71627,11.17545,1.1403
POLE3,810.8614,1611.2637,1554.1327,1088.9001,1024.2387,1258.8603,941.9317,1105.6233,795.1807,1256.7103,1611.2637,1144.77029,1097.2617,795.1807
GNG2,60.8614,127.0604,52.3865,86.891,99.4406,133.4118,355.9965,82.9118,301.2048,214.7281,355.9965,151.48929,113.2505,52.3865
SLC38A2,5103.4644,3986.9505,4150.1746,6630.8388,1936.6066,7784.6368,14674.0589,8264.6038,3670.6827,1354.4391,14674.0589,5755.64562,4626.8195,1354.4391
MAGEL2,0,0.6868,5.8207,2.5113,0.8287,1.1403,1.1672,0.3967,1.3387,2.7529,5.8207,1.66433,1.15375,0
GPN2,266.3858,238.3242,362.0489,203.9176,314.0667,179.5928,217.0995,375.6818,475.2343,224.3634,475.2343,285.6715,252.355,179.5928
KLHDC4,107.5749,360.0618,464.4936,420.8237,1023.6834,507.7175,393.417,415.2732,613.253,991.8376,1023.6834,529.81357,442.65865,107.5749
HYDIN,54.3071,26.7857,6.9849,18.0814,12.4301,63.2851,9.3376,0,0,0,63.2851,19.12119,10.88385,0
ARHGEF38,0.4682,0,1.1641,0,4.972,0,0,0,0,0,4.972,0.66043,0,0
ELP6,519.1948,471.1538,136.2049,403.3149,653.8222,358.0454,430.6974,339.5815,433.7349,500.3441,653.8222,424.60939,432.21615,136.2049
CDKAL1,480.8052,250.6868,407.4505,398.7946,288.3779,511.412,193.7555,386.3929,243.6412,386.0977,511.412,354.74143,386.2453,193.7555
TMEM161A,1309.9251,1238.3242,1016.298,1590.1557,1796.561,1473.2314,957.1053,1305.5638,1666.6667,1733.6545,1796.561,1408.74857,1391.57825,957.1053
CLN6,1936.7978,901.7857,1637.9511,920.1406,2294.5929,767.9732,568.4272,1046.1172,1092.3695,1141.7756,2294.5929,1230.79308,1069.24335,568.4272
LARP1B,1157.3034,1581.044,239.8137,634.3546,363.787,355.7649,1168.3688,917.5841,416.332,194.0812,1581.044,702.84337,525.3433,194.0812
RBM23,1513.5768,1179.9451,1081.4901,1288.2973,561.011,893.4031,1118.1792,917.1873,907.6305,733.6545,1513.5768,1019.43749,999.3387,561.011
TMEM38B,270.1311,560.4396,275.9022,422.4008,110.2134,470.9323,281.2956,439.155,135.2075,57.8114,560.4396,302.34889,278.5989,57.8114
DZANK1,37.9213,64.5604,20.9546,20.0904,16.5734,33.638,15.1736,20.6288,9.3708,8.947,64.5604,24.78583,20.3596,8.947
ZNF532,249.0637,259.6154,583.2363,178.8046,250.259,156.7874,212.4307,194.7833,139.2236,242.9456,583.2363,246.71496,227.68815,139.2236
BRF2,149.3446,557.0055,357.3923,160.7233,225.3988,311.8644,185.5851,161.4599,844.7122,377.1507,844.7122,333.06368,268.6316,149.3446
FBXW7,293.5393,355.0824,171.1292,269.2115,199.71,197.8372,312.81,294.3568,232.9317,337.9215,355.0824,266.45296,281.3754,171.1292
TBC1D2,431.1798,933.3791,377.1828,436.4641,294.1786,298.1811,479.7199,367.7477,244.9799,149.3462,933.3791,401.23592,372.46525,149.3462
ELMOD1,0,188.1868,5.8207,0,0,2.2805,0,0,0,2.7529,188.1868,19.90409,0,0
CDV3,4784.6442,3793.956,5082.6542,2945.2536,1910.0891,3692.7708,3129.2676,3235.1483,2854.083,3617.3434,5082.6542,3504.52102,3426.24585,1910.0891
FAR2,9.677,28.5165,10.8382,22.6017,30.6609,10.8326,33.8488,11.9012,17.4029,12.3882,33.8488,18.8668,14.89555,9.677
AP5M1,880.618,1026.0989,880.0931,454.0432,262.689,397.9549,681.6458,550.6298,248.996,280.7983,1026.0989,566.3567,502.3365,248.996
FOXJ2,760.2996,300.1374,544.8196,454.5455,323.1821,468.0816,269.6236,572.4487,400.2677,338.6098,760.2996,443.20156,427.4066,269.6236
EMC3,1315.5431,2182.0055,1100.1164,1696.6349,2819.971,2469.8291,1554.7126,1543.9849,3244.9799,2211.287,3244.9799,2013.90644,1939.3202,1100.1164
CENPN,568.3755,517.7541,665.518,356.6399,578.0319,254.1267,284.4237,328.9577,151.4458,146.373,665.518,385.16463,342.7988,146.373
