Gene,TCGA-18-3409-01A-01R-0980-07,TCGA-90-A4ED-01A-31R-A24Z-07,TCGA-21-1079-01A-01R-0692-07,TCGA-55-8506-01A-11R-2403-07,TCGA-05-4382-01A-01R-1206-07,TCGA-L9-A7SV-01A-11R-A39D-07,TCGA-MN-A4N4-01A-12R-A24X-07,TCGA-86-A4JF-01A-11R-A24X-07,TCGA-55-7994-01A-11R-2187-07,TCGA-49-AARE-01A-11R-A41B-07,MAX,AVG,MED,MIN
BTC,53.3333,9.794,0,32.0946,11.4866,8.676,17.7772,27.4621,133.9266,12.2895,133.9266,30.68399,15.03335,0
BTK,278.9744,130.2031,61.9724,184.6847,444.8664,66.39,113.8705,197.5497,376.1342,139.736,444.8664,199.43814,162.21035,61.9724
BYSL,565.641,619.9049,840.2607,315.3153,463.7714,1197.6613,678.4181,589.5485,650.6361,445.1525,1197.6613,636.63098,604.7267,315.3153
CA3,15.3846,460.4868,2.137,1.6892,7.4184,3.0177,28.828,57.1388,64.5855,5.0068,460.4868,64.56928,11.4015,1.6892
CACNA1S,0,0,0,0,0.7179,0,0,0.4429,0,1.3655,1.3655,0.25263,0,0
CAPN3,76.3641,223.8514,82.6071,128.7725,98.756,98.1592,192.9023,228.5995,224.1861,172.7947,228.5995,152.69929,150.7836,76.3641
CAV3,0.5128,0.5761,0,0,0.2393,0,0,0,0,0,0.5761,0.13282,0,0
CD4,3470.7692,1117.6725,626.9901,1511.2613,5477.672,725.3866,1615.8073,1406.7663,3281.359,1636.3223,5477.672,2087.00066,1563.5343,626.9901
CD48,432.3077,173.9882,50.8601,168.9189,571.6976,79.2154,214.7683,311.3844,552.8032,355.4848,571.6976,291.14286,263.07635,50.8601
CD74,57443.5897,28104.2777,15549.0971,44481.4189,98069.2343,17908.3365,34082.3399,178594.2082,118720.6689,44585.3437,178594.2082,63753.85149,44533.3813,15549.0971
CDH9,0.5128,0,4.274,0,0,0,0,0,0,0,4.274,0.47868,0,0
CHEK1,209.7436,366.4122,514.1575,236.4865,167.5129,254.6209,131.6477,276.3924,524.9414,262.6309,524.9414,294.4546,258.6259,131.6477
CHN2,128.7179,65.6777,68.8108,38.8514,117.0197,52.433,112.9095,34.549,42.4259,80.5644,128.7179,74.19593,67.24425,34.549
CLTC,10854.8718,5987.0373,9922.0002,17458.8964,11969.515,22334.5907,10089.7871,12181.6394,15696.3192,9036.8685,22334.5907,12553.15256,11412.1934,5987.0373
CNTF,8.7179,7.4896,10.6849,6.1937,5.0732,9.4304,8.6484,3.9864,11.0814,7.7378,11.0814,7.90437,8.1931,3.9864
COL6A1,29474.359,8612.9915,32076.5039,4063.0631,7482.3229,3073.9344,13591.4237,3210.4037,4183.701,13419.208,32076.5039,11918.79112,8047.6572,3073.9344
COX5B,1340,1425.8966,1193.7173,1544.482,1859.3933,1148.2459,878.2919,1818.2543,953.3165,3908.9668,3908.9668,1607.05646,1382.9483,878.2919
COX6A2,0,0,0,0,0.7179,0,7.6875,0,0,0,7.6875,0.84054,0,0
CRYAB,300,108.8866,245.7528,64.7523,191.4433,41.1166,245.9986,58.9106,23.1126,91.4884,300,137.14618,100.1875,23.1126
CRYBB3,0,10.3702,0.4274,2.2523,0.7179,3.0177,7.207,0,0.9498,3.1862,10.3702,2.81285,1.60105,0
MAPK14,1861.5385,1070.4306,1865.5839,1297.2973,1597.1159,1742.3614,1903.6065,1486.0519,2254.2721,1239.8726,2254.2721,1631.81307,1669.73865,1070.4306
CTSE,2445.641,25.3493,3.4192,18628.3784,150.5223,32.0634,52.3708,107689.3775,5405.8204,244.8794,107689.3775,13467.78217,197.70085,3.4192
CD55,1961.5385,826.732,632.9736,7599.0991,4254.5885,5262.1652,3054.8032,6368.9838,1951.9083,4231.2244,7599.0991,3614.40166,3643.0138,632.9736
DHX9,4102.5641,4119.2568,3954.2686,3086.1486,4195.959,4694.8321,3131.6777,4960.8887,3397.2387,3044.6063,4960.8887,3868.74406,4028.41635,3044.6063
DDX11,289.7436,770.8483,332.5142,362.6126,522.8796,324.0287,1617.2487,690.9809,218.7784,854.3468,1617.2487,598.39818,442.7461,218.7784
DHFR,177.4359,208.1982,134.6511,161.661,112.7553,332.9046,158.4625,455.1615,231.7088,164.7656,455.1615,213.77045,171.10075,112.7553
DIO2,9718.9744,410.7734,1487.7658,439.7523,188.3324,16.9747,404.0719,111.62,46.8585,182.9768,9718.9744,1300.81002,296.20215,16.9747
DLST,2060,1549.7624,4302.169,1778.7162,2774.0137,2739.7209,1394.3125,1771.303,2585.4474,1278.1065,4302.169,2223.35516,1919.3581,1278.1065
DNMT3B,97.4359,137.1165,129.0736,36.5991,100.5077,170.5017,364.1933,61.5682,88.3345,489.7588,489.7588,167.50893,114.79065,36.5991
DRD2,1346.1538,1418.407,1.7096,3.3784,3.111,0.7544,1.4414,0.4429,0.6332,29.1306,1418.407,280.51623,2.4103,0.4429
EGFR,1451.2769,2171.3323,3922.184,1994.8986,626.4959,2421.6635,733.1624,1877.1294,2876.3847,50.9786,3922.184,1812.55063,1936.014,50.9786
EPHA3,131.7949,82.9613,60.2628,11.2613,177.5637,31.6862,48.5271,27.4621,18.9967,16.8411,177.5637,60.73572,40.10665,11.2613
EPHA5,1.5385,0.5761,0,0,2.6323,7.5443,0.9609,1.3288,3.4827,0.9103,7.5443,1.89739,1.14485,0
