Gene,TCGA-18-3409-01A-01R-0980-07,TCGA-90-A4ED-01A-31R-A24Z-07,TCGA-21-1079-01A-01R-0692-07,TCGA-55-8506-01A-11R-2403-07,TCGA-05-4382-01A-01R-1206-07,TCGA-L9-A7SV-01A-11R-A39D-07,TCGA-MN-A4N4-01A-12R-A24X-07,TCGA-86-A4JF-01A-11R-A24X-07,TCGA-55-7994-01A-11R-2187-07,TCGA-49-AARE-01A-11R-A41B-07,MAX,AVG,MED,MIN
TPM3,7286.1538,4197.033,9863.4469,9708.8964,10270.9342,11346.6616,9223.0263,15350.4071,7700.6187,11036.4133,15350.4071,9598.35913,9786.17165,4197.033
TPR,1855.0974,4467.8554,2093.3647,2852.4662,1854.7675,3623.8778,2595.3191,5116.9707,3949.3644,2939.3491,5116.9707,3134.84323,2895.90765,1854.7675
TSPYL1,3528.2923,1294.8524,2550.3366,712.4944,1195.8507,1026.6088,873.3239,1614.4548,1426.0709,573.35,3528.2923,1479.56348,1245.35155,573.35
VEGFC,193.3333,70.8627,1096.271,62.5,282.3789,59.9774,203.7176,120.9217,178.8854,112.426,1096.271,238.1274,149.90355,59.9774
EZR,9693.8462,8472.9944,7523.026,6864.8649,9302.7096,11554.8849,13261.824,15068.2565,12519.1253,20328.6299,20328.6299,11459.01617,10624.36555,6864.8649
WFS1,1013.8462,921.7917,484.6672,2211.1486,882.3144,639.0041,2604.6065,1713.2784,795.6441,519.3446,2604.6065,1178.56458,902.05305,484.6672
XPNPEP1,1366.1538,1337.7503,721.872,997.7477,1135.0196,1527.3482,1096.904,753.435,933.37,1065.0888,1527.3482,1093.46894,1080.9964,721.872
ZNF175,269.2308,151.5195,212.4159,96.2838,74.6629,136.9295,42.281,110.2912,164.6378,24.579,269.2308,128.28314,123.61035,24.579
CCDC6,1943.0769,1220.7979,1114.2216,2069.8198,1847.6674,4468.5025,2745.8635,1608.7453,340.3571,1952.6627,4468.5025,1931.17147,1895.37215,340.3571
EPX,1.0256,7.4896,0.4274,1.6892,0.7179,13.2026,0,0,2.5329,0,13.2026,2.70852,0.87175,0
BAP1,3554.8718,6870.8051,1577.519,1135.6982,1438.6966,1744.6247,1581.2138,1025.8409,2104.515,1791.0787,6870.8051,2282.48638,1662.91925,1025.8409
FZD7,7913.8462,5953.0462,685.1159,158.7838,465.6859,66.0128,303.6545,139.9679,69.9711,264.9067,7913.8462,1602.0991,284.2806,66.0128
HIST1H2BL,1.5385,4.609,3.8466,1.6892,1.6751,4.9038,28.3475,1.7717,2.2163,5.9172,28.3475,5.65149,3.03145,1.5385
CUL3,2175.8974,1526.1414,1345.8703,1271.3964,1745.2452,1660.8827,1547.1007,1942.7195,1608.3851,1722.3487,2175.8974,1654.59874,1634.6339,1271.3964
BARX2,1446.1538,1340.6309,487.6589,5.0676,235.4753,286.3071,129.7258,215.7101,305.8465,17.7515,1446.1538,447.03275,260.8912,5.0676
DEGS1,2502.5641,871.6693,2116.038,2237.6126,2106.5944,580.5356,1223.747,2774.9971,1252.8307,2353.6641,2774.9971,1802.02529,2111.3162,580.5356
MADD,825.641,1664.9863,912.0633,1072.6351,1108.4568,921.1618,1021.9513,904.4763,985.2942,1015.4756,1664.9863,1043.21417,1000.3849,825.641
RDH16,215.3846,49.0278,126.9708,6.1937,7.897,27.914,94.1713,6.2011,5.3824,43.6959,215.3846,58.28386,35.80495,5.3824
RNASET2,1242.0513,1167.2188,666.3105,856.4189,2031.6922,1005.281,2282.2137,2635.0292,762.3999,988.6208,2635.0292,1363.72363,1086.2499,666.3105
EED,358.4615,273.6569,783.8444,385.1351,514.7432,411.5428,329.5997,425.662,618.0252,597.6331,783.8444,469.83039,418.6024,273.6569
DYRK4,446.1538,320.8987,246.6075,247.1847,214.8951,148.2459,129.2454,505.3905,128.5442,233.0451,505.3905,262.02109,239.8263,128.5442
SUCLA2,1056.4513,589.434,764.2483,286.92,892.9634,375.7525,604.5272,402.7489,535.8234,412.6081,1056.4513,592.14771,562.6287,286.92
PROM1,80,5.7612,4.274,19.7072,939.7474,983.0253,227.7409,48.2801,6.9654,242.1484,983.0253,255.76499,64.14005,4.274
MCM3AP,1770.4513,2743.0966,1005.1929,2184.4989,1781.9305,2631.2071,1766.5488,1632.469,2740.0329,2088.5981,2743.0966,2034.40261,1935.2643,1005.1929
EIF2B2,722.0513,398.6749,1290.7362,778.1532,654.2575,594.1154,411.2789,698.9538,546.7876,460.6281,1290.7362,655.56369,624.18645,398.6749
TIMELESS,577.4359,763.3588,825.7292,617.6802,1158.7107,2035.0811,907.6004,1586.5985,1110.3556,1157.4875,2035.0811,1074.00379,1008.978,577.4359
RNF8,525.641,508.7138,610.749,288.2883,429.551,344.7756,482.8684,361.4362,349.2222,225.3072,610.749,412.65527,395.4936,225.3072
MAP7,553.8462,566.9019,859.4935,846.2838,590.8419,872.1237,470.3763,1219.4042,865.6151,1013.1998,1219.4042,785.80864,852.88865,470.3763
SLC16A6,61.5385,20.7403,8.1205,23.0856,48.3394,9.4304,23.0624,45.6225,36.7269,20.4825,61.5385,29.7149,23.074,8.1205
SYNGR3,53.8462,42.0567,4.274,159.3468,88.7818,9.4304,1106.5133,14.6169,44.9588,68.2749,1106.5133,159.20998,49.4025,4.274
SLC24A1,402.0513,318.5943,630.8836,369.3694,213.5072,342.252,173.9287,224.1259,511.096,171.7387,630.8836,335.75471,330.42315,171.7387
AURKB,174.8718,455.1347,267.9773,157.6577,207.9553,465.8619,125.8821,556.7712,352.0717,541.1925,556.7712,330.53762,310.0245,125.8821
COPS2,2464.1026,1176.4367,1952.7727,502.8153,856.4696,857.4123,790.8471,1297.361,633.2225,859.8088,2464.1026,1139.12486,858.61055,502.8153
PPT2,368.1333,805.6229,514.7943,94.7016,223.1631,275.8469,420.9844,138.4442,260.7167,214.5426,805.6229,331.695,268.2818,94.7016
OTOF,4.6154,5.1851,2.137,3.9414,4.7861,0.7544,4.3242,3.1006,22.1628,25.4893,25.4893,7.64963,4.4698,0.7544
ARHGAP29,1688.7179,2905.3723,794.1019,1255.6306,1139.8057,2322.5198,1067.5956,1089.1808,869.4145,186.1629,2905.3723,1331.8502,1114.49325,186.1629
NCR2,0,0,0,1.1261,0,0.3772,0,0,0,0,1.1261,0.15033,0,0
EIF4E2,1828.2051,965.5768,1567.2615,1686.3739,1765.8253,2654.8472,1206.9307,1847.4881,1393.4061,2057.8061,2654.8472,1697.37208,1726.0996,965.5768
ONECUT2,25.641,11.5224,16.6684,136.8243,0.4786,104.1117,15.8554,93.9025,153.5565,13.655,153.5565,57.22158,21.1547,0.4786
XAGE1B,2.5641,0,0,10368.2432,3501.977,10832.8932,2434.5215,9419.0445,2307.1462,10.4688,10832.8932,3887.68585,2370.83385,0
FAM53B,1053.4051,812.0985,349.563,336.616,719.9561,883.0592,932.4261,347.1603,660.1091,828.2249,1053.4051,692.26183,766.0273,336.616
ECE2,384.1026,236.2091,461.1604,358.1081,233.0822,258.7703,470.8567,379.5966,238.4083,551.6614,551.6614,357.19557,368.85235,233.0822
GPRIN2,829.7436,503.5287,4.7014,293.3559,498.7099,2390.7959,4.3242,128.8945,989.0935,50.9786,2390.7959,569.41262,396.0329,4.3242
UTP14C,1134.359,1306.6398,1337.7498,558.5586,1357.5725,559.4115,1053.1816,774.6959,883.0288,668.6391,1357.5725,963.38366,968.1052,558.5586
KEAP1,1266.1538,1326.804,2049.7916,1830.518,1059.6388,1310.4489,1041.6504,2506.5776,1034.0523,2391.898,2506.5776,1581.75334,1318.62645,1034.0523
LCMT2,410.7692,277.6898,368.4154,65.8784,134.2496,118.8231,143.1789,218.8106,114.6133,245.7897,410.7692,209.8218,180.99475,65.8784
FCHSD2,731.7179,609.2006,767.8299,1136.2387,1091.4782,1449.7963,804.0647,498.37,1046.4698,494.6336,1449.7963,862.97997,785.9473,494.6336
SUPT7L,1036.4103,1549.7624,1810.4498,996.3119,1041.5833,3479.834,945.0767,1215.4177,1022.0211,2050.5234,3479.834,1514.73906,1128.5005,945.0767
RBX1,1302.9487,692.1388,2041.4959,2176.5709,1287.3415,1347.9668,931.8303,1635.1045,419.4339,1301.9254,2176.5709,1313.67567,1302.43705,419.4339
AKT3,953.3333,1510.5862,292.7663,122.7477,476.9332,98.4534,327.1974,110.7341,169.7036,130.6327,1510.5862,419.30879,231.23495,98.4534
NAALAD2,44.6154,327.2361,5.1288,5.6306,30.1523,15.4659,10.5703,3.1006,6.9654,7.7378,327.2361,45.66032,9.15405,3.1006
USH1C,3.0769,1.1522,3.4192,1.6892,13.1617,0.7544,4.3242,6.644,0.6332,95.5849,95.5849,13.04399,3.24805,0.6332
TSPAN1,578.9744,23.0448,1039.4273,2377.2523,575.7658,48.2837,3219.1225,170.9735,4115.9462,2688.2112,4115.9462,1483.70017,809.20085,23.0448
ARFRP1,632.3077,1563.5892,789.4006,842.3423,646.3605,972.086,1470.7066,488.116,581.6149,822.9404,1563.5892,880.94642,806.1705,488.116
MRPS31,301.5385,319.1704,424.8317,142.455,344.1194,246.6994,231.5846,228.9982,206.1139,313.6095,424.8317,275.91206,274.11895,142.455
STAM2,1078.4615,649.2871,983.011,938.6261,946.9265,723.1233,698.1172,887.2018,1085.9766,452.8903,1085.9766,844.36214,912.91395,452.8903
SF3B4,1610.7692,2684.7184,2093.8134,1896.3964,3964.7912,8140.7016,3340.6805,5129.6475,2008.8984,2915.3391,8140.7016,3378.57557,2800.02875,1610.7692
NET1,3531.2821,2186.9509,3746.5541,2819.2568,3760.1861,8375.3301,4937.2692,5177.0417,2361.6033,8803.8234,8803.8234,4569.92977,3753.3701,2186.9509
TFG,2528.7179,1591.243,2499.4123,3434.1216,3151.6357,2073.5571,4204.078,4285.8535,3888.6193,4259.4447,4285.8535,3191.66831,3292.87865,1591.243
BTN3A3,766.6667,426.9048,660.327,453.2658,614.5331,298.7552,614.0356,688.7662,1351.2968,277.6513,1351.2968,615.22025,614.28435,277.6513
BTN2A2,464.1026,853.8096,223.1008,267.455,633.1988,394.1909,331.0411,599.736,704.7766,280.8375,853.8096,475.22489,429.14675,223.1008
MYL9,11928.7179,8119.2568,4489.7959,3457.2072,7722.8236,2098.4534,6408.4562,2573.0181,465.4185,5494.7656,11928.7179,5275.79132,4992.28075,465.4185
RBM14,874.2564,1573.2738,838.8332,814.2117,945.3232,1230.3584,974.4044,1153.8806,1028.7396,1222.7856,1573.2738,1065.60669,1001.572,814.2117
CHERP,951.6821,2093.2047,1293.9288,1561.5935,1067.1769,1729.2116,2305.6989,1932.6249,1377.585,2315.6896,2315.6896,1662.8396,1645.40255,951.6821
HTATIP2,363.5897,371.0212,2022.4383,1886.2613,1085.005,754.8095,808.1439,907.1339,818.7567,2367.3191,2367.3191,1138.44786,862.9453,363.5897
SLC34A2,3462.5641,51.2747,20.9424,74793.9189,11971.1902,37612.2218,8994.3245,40922.0166,34252.9043,13719.6177,74793.9189,22580.09752,12845.40395,20.9424
MRPL28,895.8974,1389.0249,1141.575,1325.4505,884.7074,786.4957,1365.4845,1511.7422,847.8849,681.8389,1511.7422,1083.01014,1018.7362,681.8389
IGF2BP1,0.5128,1.1522,114.1148,1.1261,8.1363,0.3772,197.4715,1.3288,0.3166,145.6532,197.4715,47.01895,1.2405,0.3166
EBP,592.3077,595.1318,1068.0628,831.0811,836.1287,1879.668,645.2659,1482.0655,403.0461,2644.5152,2644.5152,1097.72728,833.6049,403.0461
AP4B1,321.8564,581.0341,238.2263,440.2872,486.7877,836.7974,389.2207,429.6883,280.3244,326.9322,836.7974,433.11547,409.4545,238.2263
SDCCAG8,377.4359,562.8691,245.7528,519.1441,512.1109,438.3252,590.9732,414.1456,349.5388,527.5376,590.9732,453.78332,475.21805,245.7528
HPSE,80,19.012,183.3529,137.3874,165.8378,167.8612,78.316,194.0062,156.406,104.6882,194.0062,128.68677,146.8967,19.012
HCST,158.4615,144.03,43.5944,162.1622,377.1433,80.347,104.7416,217.0389,237.4584,314.975,377.1433,183.99523,160.31185,43.5944
EHMT2,2295.8974,3064.3814,1479.2179,811.3739,1484.643,2718.974,2896.7298,2027.3203,2165.3043,1887.574,3064.3814,2083.1416,2096.3123,811.3739
EHD1,867.1795,1040.4724,2498.1301,3275.3378,1736.1516,1020.3697,2492.6579,1255.725,3979.8034,1837.9609,3979.8034,2000.37883,1787.05625,867.1795
TPPP,133.8462,31.6866,31.6273,1808.5586,56.4758,2517.1633,71.109,121.3646,125.6947,93.3091,2517.1633,499.08352,107.33685,31.6273
PTPRT,671.7949,4467.8093,0.8548,14.0766,0.9572,1.8861,0.4805,3.5435,2.8495,41.8753,4467.8093,520.61277,3.1965,0.4805
FAF1,698.9744,831.917,704.3488,796.1712,784.439,1124.1041,750.9684,538.6108,1059.3812,751.9345,1124.1041,804.08494,768.18675,538.6108
ZWINT,520.5128,733.9767,682.5516,604.7297,753.0902,2733.3082,452.599,767.6089,579.3986,659.9909,2733.3082,848.77666,671.27125,452.599
RABL2A,413.8462,608.9587,179.5064,202.1396,216.331,431.1581,300.7717,277.2782,209.5966,340.0091,608.9587,317.95956,289.02495,179.5064
ERLIN2,2960.5128,1349.8488,2535.741,1643.018,2627.5596,2199.4983,748.5661,878.3431,2944.168,1353.2089,2960.5128,1924.04646,1921.25815,748.5661
AKAP13,2820.5128,3355.898,2401.5386,2694.2568,2805.3626,3702.3765,2250.9835,2864.0274,7349.4969,2859.3537,7349.4969,3310.38068,2839.93325,2250.9835
PMF1,796.2205,1033.6454,768.1333,1562.2973,987.1631,2403.2441,1031.3396,1943.9774,427.7418,1336.3678,2403.2441,1229.01303,1032.4925,427.7418
NXPH3,78.4615,34.5672,11.1123,19.1441,67.2445,20.7469,82.1597,13.731,7.5987,31.4065,82.1597,36.61724,26.0767,7.5987
USP18,172.8205,67.406,612.886,855.8559,577.4409,705.017,358.9081,1593.2426,350.8053,547.5649,1593.2426,584.19472,562.5029,67.406
KLF12,664.1026,504.681,649.2147,46.1712,153.6333,49.0381,244.5572,65.1117,148.1741,84.6609,664.1026,260.93448,150.9037,46.1712
CPEB3,80.5128,90.4508,51.2875,95.1577,105.2938,222.1803,97.5346,82.3862,154.8229,50.0683,222.1803,102.96949,92.80425,50.0683
FNDC3A,1454.359,1469.6817,1792.4992,1229.1667,1884.5202,909.0909,1205.4893,1555.15,1728.3808,882.112,1884.5202,1411.04498,1462.02035,882.112
FASTKD2,1180.5128,850.3529,977.4549,715.0901,923.2354,1043.3799,663.5236,1130.8169,764.2995,654.0737,1180.5128,890.27397,886.79415,654.0737
FAN1,662.0667,680.6222,441.6797,225.2083,275.341,340.2603,271.0069,260.987,428.5302,269.9363,680.6222,385.56386,307.80065,225.2083
MSRB2,639.4872,449.9496,347.473,393.018,607.1146,531.4975,497.7628,942.1259,148.8073,2018.6618,2018.6618,657.58977,514.63015,148.8073
ATF6,1403.0769,1273.801,1445.881,1499.4369,2543.3245,3534.8925,1311.1919,1916.1433,1838.5615,594.9021,3534.8925,1736.12116,1472.65895,594.9021
PAXIP1,376.6667,691.9602,339.3995,443.8232,343.143,847.0577,468.5985,498.6845,419.6904,423.2544,847.0577,485.22781,433.5388,339.3995
SIPA1L3,486.6667,1248.4517,516.2945,2750.5631,2315.7463,2637.1181,2491.6969,2266.0631,1435.5154,7079.6541,7079.6541,2322.77699,2290.9047,486.6667
GPATCH8,1072.8205,2629.4109,1429.2125,1168.3559,1627.0289,2414.1833,1337.6175,1150.3061,2073.4871,1219.3901,2629.4109,1612.18128,1383.415,1072.8205
NACAD,290.7692,241.3942,124.7997,166.1036,134.4889,11.3165,110.5072,21.261,20.2631,78.7437,290.7692,119.96471,117.65345,11.3165
NCDN,273.3333,316.8659,609.0052,1212.8378,434.0977,987.5179,683.7032,911.1204,1468.4145,667.2736,1468.4145,756.41695,675.4884,273.3333
RCOR1,980.5128,870.5171,2514.7986,1956.0811,583.6628,459.4493,1147.8334,1002.3653,2013.0143,439.6905,2514.7986,1196.79252,991.43905,439.6905
ARL6IP1,6664.6154,4562.293,5421.5194,10513.5135,8900.2,3899.6605,6881.7153,5105.7289,5702.1685,6610.833,10513.5135,6426.22475,6156.50075,3899.6605
ANKRD12,580,518.5078,1069.7724,877.2523,694.7,632.2143,1226.6298,742.3616,1825.2638,454.711,1825.2638,862.1413,718.5308,454.711
DENND5A,1603.5897,1143.0217,1087.2957,1739.8649,1766.3039,1821.5768,1190.1144,1020.5257,1190.1417,2259.8999,2259.8999,1482.23344,1396.8657,1020.5257
IQCE,465.641,1311.8249,361.5771,735.9234,1530.35,1256.507,1584.577,658.6466,948.2507,1402.822,1584.577,1025.61197,1102.37885,361.5771
KIF13B,837.9487,992.6545,282.9362,480.8559,1362.5978,1166.3523,388.697,1012.5528,1636.5635,3388.1793,3388.1793,1154.9338,1002.60365,282.9362
LARP1,2748.2051,6743.4826,2439.1495,2322.0721,3312.9267,4961.1467,3093.2404,5461.4069,7684.155,4079.6541,7684.155,4284.54391,3696.2904,2322.0721
MAU2,824.6154,2240.53,1110.375,1375.5631,1363.5551,1519.0494,2189.9643,1323.0513,746.2527,1557.1234,2240.53,1425.00797,1369.5591,746.2527
ATP13A2,963.5897,884.3439,630.4092,2584.4595,1656.4633,1430.4036,2581.0636,1317.7361,1206.9221,916.7046,2584.4595,1417.20956,1262.3291,630.4092
FBXO46,283.0769,1408.0369,259.002,391.8919,430.2689,785.364,708.207,659.9754,290.3325,804.7337,1408.0369,602.08892,545.12215,259.002
LEPROTL1,1066.1538,819.2424,854.7922,509.5721,1057.0064,686.1562,549.1727,842.0223,745.3029,1447.4283,1447.4283,857.68493,830.63235,509.5721
POFUT1,2600.5128,2414.5182,2098.9422,1607.545,2095.3471,1066.7673,1438.0349,1211.4313,1842.0442,1910.7874,2600.5128,1828.59304,1876.4158,1066.7673
GTPBP4,1026.6667,1170.0994,1071.9094,1072.6351,1176.8978,2314.9755,1183.3879,1938.2901,660.7677,1825.2162,2314.9755,1344.08458,1173.4986,660.7677
DDAH1,845.1282,519.084,95.7367,3643.018,1759.6034,2778.9513,2030.4495,2973.4327,6527.8907,771.5066,6527.8907,2194.48011,1895.02645,95.7367
CADM1,3596.4103,313.9853,1354.4182,7192.5676,1001.0093,4466.9936,465.0911,2329.403,3059.0979,299.9545,7192.5676,2407.89308,1841.9106,299.9545
IL17RA,491.7949,465.5048,592.7984,458.8964,766.0126,271.2184,373.3221,338.4035,593.0129,203.9144,766.0126,455.48784,462.2006,203.9144
NGEF,190.2564,383.6958,58.9807,6.1937,379.5364,318.7476,131.1672,349.034,119.9957,932.6354,932.6354,287.02429,254.502,6.1937
TMEM186,261.0256,264.439,299.6047,286.5991,256.0554,301.7729,296.4476,340.6182,193.1329,201.6386,340.6182,270.1334,275.51905,193.1329
SPATS2L,2893.8462,422.2958,3932.8988,3718.4685,4687.9683,1640.8902,3841.8066,6039.4391,5617.3167,2111.9709,6039.4391,3490.69011,3780.13755,422.2958
RAI14,2195.3846,2928.4171,9594.1874,5038.8514,2687.6249,11476.8012,4204.078,3744.1422,3363.3613,1242.1484,11476.8012,4647.49965,3553.75175,1242.1484
FBXW2,1409.2308,1794.6133,1377.4976,1793.9189,1213.272,2276.4994,888.8622,1168.4665,1420.9513,1371.8707,2276.4994,1471.51827,1393.3642,888.8622
TSPAN17,1252.8205,1474.8668,799.2307,1492.1171,1092.1841,693.7005,1001.2913,1141.8903,1674.2403,888.9395,1674.2403,1151.12811,1117.0372,693.7005
INPP5J,38.4615,131.3553,17.0958,298.9865,60.7833,188.2309,96.0932,91.2449,146.9076,163.8598,298.9865,123.30188,113.72425,17.0958
BRPF3,714.8718,854.3857,673.1488,1837.2748,1585.1507,1467.748,1621.5729,2077.8151,5322.8683,742.8311,5322.8683,1689.76672,1526.44935,673.1488
EML4,2290.7692,1153.968,1844.2141,3489.3018,1939.0815,2595.6243,1915.6181,2666.0347,2746.6026,2858.4433,3489.3018,2349.96576,2443.19675,1153.968
OSTM1,1211.2821,652.7438,1559.1409,451.5766,1021.3501,317.2388,636.6175,1021.4116,773.1647,546.1994,1559.1409,819.07255,712.95425,317.2388
CLEC2D,414.359,654.4721,238.487,148.0856,271.6102,371.9351,659.6799,481.472,751.0019,647.7014,751.0019,463.88042,447.9155,148.0856
NCAPH2,1243.5897,1257.6696,1142.8571,854.7297,1066.8179,1363.2591,480.4661,915.5497,786.7789,1275.3755,1363.2591,1038.70933,1104.8375,480.4661
CYP2S1,365.641,55.3075,492.3603,408.7838,1108.6961,294.6058,1722.9513,369.852,118.096,1730.0865,1730.0865,666.63803,389.3179,55.3075
SNX8,586.6667,337.0301,346.1908,486.4865,783.7211,701.9992,1493.2885,481.029,838.07,1630.4051,1630.4051,768.4887,644.33295,337.0301
SERTAD1,499.4872,236.7853,662.0365,420.6081,449.6525,322.5198,693.793,748.1197,291.2823,1562.1302,1562.1302,588.64146,474.56985,236.7853
TRHDE,3.0769,1.2444,0.4274,0,6.9398,1.8861,2.4023,2.6576,0.9498,1.8207,6.9398,2.1405,1.8534,0
EXOSC3,234.359,365.8361,549.6314,256.7568,189.2896,229.3474,298.3694,502.7329,214.979,497.0414,549.6314,333.8343,277.5631,189.2896
RRP15,556.9231,390.6092,403.4619,425.1126,346.0338,724.255,385.8142,988.1913,451.8042,430.5872,988.1913,510.27925,427.8499,346.0338
MRPS18C,347.0872,148.0628,357.0381,173.536,210.5996,218.3667,176.3983,242.8178,243.93,417.1097,417.1097,253.49462,230.59225,148.0628
ADIPOR1,2517.9487,2259.542,3934.181,6197.0721,2904.9131,2575.6318,3163.3885,5208.0473,2285.9332,2845.6987,6197.0721,3389.23564,2875.3059,2259.542
ABHD5,484.1026,587.0661,531.2533,337.2748,596.5852,490.0038,733.1912,720.2147,551.5368,504.3241,733.1912,553.55526,541.39505,337.2748
GOLGA7,1944.1026,688.4632,1322.7909,639.0766,1426.0134,857.0351,688.9883,686.5516,690.8457,1441.9663,1944.1026,1038.58337,773.9404,639.0766
CKLF,344.6154,190.1195,542.3656,261.2613,603.7644,372.3123,455.4818,818.1037,422.0428,773.7824,818.1037,478.38492,438.7623,190.1195
VRK3,539.4872,498.3437,686.8255,926.2387,695.6572,790.645,674.0939,856.6392,673.1155,538.4615,926.2387,687.95074,680.4597,498.3437
PLAC8,36.9231,9.794,5.5561,30.4054,14.5976,22.2558,271.9438,197.5497,122.2119,2709.604,2709.604,342.08414,33.66425,5.5561
HPCAL4,105.641,7.4896,216.6898,617.6802,7.1791,47.9065,2.8828,19.9321,2.2163,7.2827,617.6802,103.49001,13.71085,2.2163
HDAC7,997.4359,3319.0264,1376.6428,1929.6171,2719.2131,3444.3606,3644.8155,2007.8311,1590.0217,2693.218,3644.8155,2372.21822,2350.52455,997.4359
FKBP7,778.9744,332.9973,399.6153,298.9865,307.0272,291.9653,349.7793,314.042,194.0827,249.431,778.9744,351.6901,310.5346,194.0827
EMCN,178.9744,51.2747,73.9395,70.3829,63.4156,246.6994,99.9369,232.5417,44.9588,74.1921,246.6994,113.6316,74.0658,44.9588
C9orf78,885.1282,1289.9323,1515.5465,989.8649,1130.9514,1193.5119,950.8423,1148.9773,951.1002,2011.3792,2011.3792,1206.72342,1139.96435,885.1282
CALML5,101.0256,898.7469,65.819,0,19.3836,0.7544,56.695,0.4429,0,2.731,898.7469,114.55984,11.0573,0
IL20RB,34.8718,47.8179,1533.9246,19.1441,88.5425,12.4481,2023.723,23.9186,1526.6994,46.8821,2023.723,535.79721,47.35,12.4481
CNTN5,0.5128,0,0,0,16.9906,10.5621,20.1796,0,0,1.3655,20.1796,4.96106,0.2564,0
MRPL39,429.7436,206.2509,195.32,88.964,251.0301,174.6511,156.6319,315.3708,203.581,337.7333,429.7436,235.92767,204.91595,88.964
C21orf91,2035.3846,1286.4756,835.9868,95.1577,261.3201,235.7601,296.928,259.5608,266.9033,182.0665,2035.3846,575.55435,264.1117,95.1577
NANS,582.0513,525.669,705.0027,1402.027,886.8612,531.4975,1695.0842,1541.7955,473.4763,6278.1065,6278.1065,1462.15712,795.93195,473.4763
SH3TC1,360,352.5853,741.9596,318.1306,743.518,345.1528,309.9006,698.0679,408.7451,199.3628,743.518,447.74227,356.29265,199.3628
KCTD5,735.3846,731.6722,1360.8291,4117.6802,858.6233,771.0298,2499.8649,2377.6831,787.7288,1207.1006,4117.6802,1544.75966,1032.86195,731.6722
ARL15,1690.7692,1238.0815,396.1962,64.7523,194.7936,167.1068,122.0384,148.3837,162.4216,82.8402,1690.7692,426.73835,164.7642,64.7523
QPCTL,112.3077,360.651,169.6762,295.6081,270.8923,390.4187,812.4681,229.884,252.6558,261.7205,812.4681,315.62824,266.3064,112.3077
TMEM214,1845.1282,1916.1746,2136.1257,3401.464,2270.2785,3280.6488,3557.8511,3565.6388,2413.8441,6543.0132,6543.0132,3093.0167,2847.24645,1845.1282
MTMR10,668.7026,864.5312,581.5066,261.2782,482.7746,293.8401,484.2858,414.0482,491.2255,333.614,864.5312,487.58068,483.5302,261.2782
COMMD4,676.4103,1158.0009,1220.2158,1077.7027,796.4042,796.6805,1059.9081,1478.9649,537.2893,1884.843,1884.843,1068.64197,1068.8054,537.2893
MRPL16,553.3333,498.9198,638.1024,524.7748,459.464,603.923,474.7005,814.1173,704.7766,472.0073,814.1173,574.4119,539.05405,459.464
UCKL1,377.4359,1916.4914,682.5045,856.9426,629.7911,1765.0547,858.0451,680.2796,467.8026,668.1429,1916.4914,890.24904,681.39205,377.4359
HCFC1R1,1603.7795,1359.2395,2067.6525,1150.6363,1243.8958,690.4413,1928.0238,835.015,517.099,880.0774,2067.6525,1227.58601,1197.26605,517.099
LARP1B,260.5128,316.8659,167.9667,365.991,283.5754,218.7854,333.9239,376.0531,375.1843,299.9545,376.0531,299.8813,308.4102,167.9667
RFWD3,909.2308,1121.7053,1286.8896,372.7477,1119.9434,852.5085,1531.2453,972.6885,1281.3257,1174.3286,1531.2453,1062.26134,1120.82435,372.7477
SEC61A2,149.1744,419.0696,94.7366,172.1791,204.751,217.8046,232.8531,99.6031,62.5371,332.4124,419.0696,198.5121,188.46505,62.5371
ARL8B,3624.1026,1037.5918,3496.9548,1962.2748,2250.1769,1363.2591,2161.1363,1567.5522,3170.2284,1757.3964,3624.1026,2239.06733,2061.70555,1037.5918
MOB1A,1121.5385,497.7675,2035.6876,826.0135,1084.5264,424.7454,662.5627,1159.6077,1464.0104,1006.8275,2035.6876,1028.32872,1045.67695,424.7454
CHDH,56.9231,45.5135,3.8466,96.2838,80.6455,274.2361,81.1988,115.6064,840.9195,40.965,840.9195,163.61383,80.92215,3.8466
PLXNA3,552.3077,2284.3151,566.7272,1330.518,1948.1751,1433.4214,1356.3557,860.1827,1801.8346,2455.6213,2455.6213,1458.94588,1394.88855,552.3077
ZDHHC7,1223.5897,936.7708,1885.6715,926.8018,1903.4252,1255.3753,4238.6715,790.6416,1651.4443,3491.5794,4238.6715,1830.39711,1453.4098,790.6416
TRMU,467.6923,451.6779,207.7145,168.9189,262.9953,396.077,287.3187,242.7292,177.9355,336.3678,467.6923,299.94271,275.157,168.9189
N4BP2,259.4872,164.1942,211.9885,76.0135,133.771,102.98,81.1988,127.1228,535.3896,89.2126,535.3896,178.13582,130.4469,76.0135
TSNAXIP1,34.8718,179.7494,25.2164,5.0676,5.7433,1.8861,31.7108,3.1006,2.5329,82.3851,179.7494,37.2264,15.47985,1.8861
ZKSCAN7,179.4872,150.9434,97.0189,23.6486,86.8674,56.5824,70.148,35.4349,18.3635,60.0819,179.4872,77.85762,65.11495,18.3635
PCDHGA7,18.4615,100.6885,7.2657,12.3874,59.1297,20.1245,48.0466,6.2011,8.5485,9.5585,100.6885,29.0412,15.42445,6.2011
PCDHB8,25.1282,61.0687,282.9362,5.0676,85.4316,29.0456,154.2296,69.541,33.2442,11.3792,282.9362,75.70719,47.15645,5.0676
