Gene,TCGA-CA-6717-01A-11R-1839-07,TCGA-CK-4951-01A-01R-1410-07,TCGA-WS-AB45-01A-11R-A41B-07,TCGA-A6-6781-01B-06R-A277-07,TCGA-A6-6781-01A-22R-A278-07,TCGA-A6-6781-01A-22R-1928-07,TCGA-D5-6928-01A-11R-1928-07,TCGA-AD-5900-01A-11R-1653-07,TCGA-A6-6780-01A-11R-A278-07,TCGA-A6-6780-01B-04R-A277-07,TCGA-A6-6780-01A-11R-1839-07,MAX,AVG,MED,MIN
MAP1B,659.1625,197.3684,3018.3746,3122.3565,754.3612,370.1578,367.9727,220.9544,230.7692,1910.9792,113.1982,3122.3565,996.8777,370.1578,113.1982
MAX,1161.6389,2032.0057,1225.7747,2311.9335,828.0741,1206.5997,1953.1516,1709.0249,1070.3984,3029.6736,2300.5437,3029.6736,1711.7108,1709.0249,828.0741
MC2R,0,0,2.0114,16.6163,0.4787,0.4782,0,0,0,1.4837,0,16.6163,1.9153,0,0
MC3R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCL1,5755.9658,9593.5277,11904.5368,33718.2779,10336.088,7340.5069,10291.3118,5076.2448,9082.4176,21074.184,7428.5714,33718.2779,11963.7847909091,9593.5277,5076.2448
MDK,1326.4295,1736.1309,354.8189,782.4773,1299.0712,4161.6451,3645.23,5618.7759,190.9341,827.8932,1334.6515,5618.7759,1934.36887272727,1326.4295,190.9341
MDM2,1372.3548,1991.8208,1801.8525,8024.1692,4139.4132,1358.6801,2306.644,3268.6722,8213.2555,16456.9733,2198.2205,16456.9733,4648.36873636364,2306.644,1358.6801
MFAP1,998.6493,884.7795,630.3869,496.2236,854.4002,1045.4328,1114.9915,991.1826,299.4505,302.6706,567.474,1114.9915,744.149227272727,854.4002,299.4505
MGMT,196.7582,189.9004,231.3162,55.136,418.8236,614.0603,337.7342,305.4979,226.6484,51.9288,382.6001,614.0603,273.6731,231.3162,51.9288
MICB,266.9968,432.0768,232.1208,219.0332,199.1207,162.1234,532.368,144.7095,443.3379,316.0237,363.8161,532.368,301.066081818182,266.9968,144.7095
MLH1,474.561,124.111,554.7566,274.1692,509.2895,526.5423,338.586,101.6598,1250.6868,498.5163,866.5348,1250.6868,501.764845454546,498.5163,101.6598
MSH2,846.0153,1051.2091,334.3022,181.2689,178.0599,108.0823,783.2198,1099.0664,1648.6951,866.4688,789.4217,1648.6951,716.891772727273,789.4217,108.0823
MTTP,4.0522,4.623,2.0114,9.0634,3.3506,0.9565,2.5554,1.0373,9.272,5.9347,2.9659,9.272,4.16567272727273,3.3506,0.9565
TRIM37,781.9676,617.7276,834.9468,765.1057,1042.7894,607.6997,550.7836,484.4398,1000.8826,792.2849,531.0035,1042.7894,728.148290909091,765.1057,484.4398
MX1,596.1279,8722.973,493.6086,766.6163,1949.0854,1984.6963,3677.1721,5375,2082.0742,934.7181,1806.7227,8722.973,2580.79950909091,1949.0854,493.6086
MYBPC2,27.0149,0.7112,0,0,0.4787,0.4782,14.4804,7.7801,0,0,0.4943,27.0149,4.67616363636364,0.4787,0
MYCL,588.4737,411.4509,158.5019,135.1964,410.2078,351.0282,213.799,358.9212,566.6209,422.8487,701.4335,701.4335,392.589290909091,410.2078,135.1964
PPP1R12B,4111.6614,975.1067,1903.6317,5380.6647,986.9877,788.1396,1260.2215,2906.639,759.6154,2667.6558,429.0657,5380.6647,2015.39901818182,1260.2215,429.0657
NDUFA9,1822.1522,2214.7937,1350.8865,280.9668,2162.0871,2248.2066,2300.6814,3787.8631,7563.5302,1298.2196,6854.177,7563.5302,2898.50583636364,2214.7937,280.9668
NDUFS2,2031.5173,1963.7269,2077.4205,407.855,1086.0694,1914.395,2042.1635,3283.7137,1184.0659,587.5371,2870.9837,3283.7137,1768.13163636364,1963.7269,407.855
NDUFS5,2259.3426,2182.4324,1548.8127,520.3927,1659.4988,2450.9804,1606.4736,2864.6266,2616.7582,752.2255,3578.349,3578.349,2003.62659090909,2182.4324,520.3927
NFATC3,713.1923,426.3869,741.0164,2169.1843,1042.5118,510.2822,753.4072,449.1701,838.5989,2080.1187,504.2017,2169.1843,929.824590909091,741.0164,426.3869
NFE2L2,2488.5187,2572.9018,1885.7097,4714.5015,2142.5628,1889.3735,2397.9514,1957.9876,3301.1126,3858.7685,2127.9288,4714.5015,2667.02880909091,2397.9514,1885.7097
TONSL,482.2152,361.6465,412.3463,22.6586,327.8791,494.9737,686.9506,704.8548,165.5048,54.8961,1016.2926,1016.2926,430.019845454545,412.3463,22.6586
NGF,10.3557,2.1337,12.471,0,2.8719,4.7824,3.4072,1.556,0,4.451,0,12.471,3.82080909090909,2.8719,0
NHLH2,0,0,0,0,0,0,0,0,0,5.9347,0,5.9347,0.539518181818182,0,0
CNOT2,1466.4566,899.3599,927.2762,1711.4804,1378.528,1069.8231,1339.8637,1117.2199,2621.2225,2500,1657.4394,2621.2225,1517.15179090909,1378.528,899.3599
NTF3,8.1045,45.8748,21.3213,27.1903,7.6585,17.2166,11.0733,3.6307,1.3736,4.451,1.4829,45.8748,13.5797727272727,8.1045,1.3736
NTRK1,13.9577,4.9787,9.2526,0,2.3933,8.1301,54.9404,11.4108,0,2.9674,3.4602,54.9404,10.1355636363636,4.9787,0
DDR2,376.8573,105.2632,1459.9069,1179.003,1188.0231,431.3725,258.092,181.0166,97.8709,224.0356,21.7499,1459.9069,502.108272727273,258.092,21.7499
OAT,2018.0099,2120.9104,2553.3284,1888.9728,2702.4892,1896.2219,992.3339,2433.61,2348.2143,1311.5727,1691.5472,2702.4892,1996.11006363636,2018.0099,992.3339
P2RY6,144.9797,137.2688,646.8808,75.5287,96.2098,120.5165,292.1635,53.9419,33.6538,71.2166,115.1755,646.8808,162.503236363636,115.1755,33.6538
SERPINE1,988.2936,769.9147,16695.3968,6207.7039,4731.0315,6780.0096,1126.4906,452.8008,314.217,1663.2047,471.0826,16695.3968,3654.55870909091,1126.4906,314.217
PAK3,5.403,0.7112,10.8618,39.2749,6.7012,4.3042,5.1107,1.0373,0,4.451,0.4943,39.2749,7.12269090909091,4.451,0
CDK17,480.4142,423.542,656.1334,1598.1873,845.3057,354.8541,715.5026,536.8257,1027.1291,1572.7003,321.305,1598.1873,775.627218181818,656.1334,321.305
PDCD1,84.6466,59.0327,27.3557,17.3716,41.643,68.8666,613.2879,34.2324,30.5632,37.092,168.0672,613.2879,107.468990909091,41.643,17.3716
PDCD2,1208.9149,981.5078,561.1932,631.4199,646.6637,540.8895,758.9438,1136.9295,1345.1236,1234.4214,1071.6757,1345.1236,919.789363636364,981.5078,540.8895
PDE1A,137.3255,48.7198,166.5477,193.3535,134.9809,93.7351,97.1039,71.0581,28.1593,94.9555,4.9432,193.3535,97.3529545454545,94.9555,4.9432
PDE8A,638.0009,416.7852,951.4135,1443.3535,793.1323,461.5017,452.7257,423.2365,1665.8654,2016.3205,928.3243,2016.3205,926.423590909091,793.1323,416.7852
PDGFRA,1591.0806,1288.0512,7891.7641,7048.497,3706.2395,1749.8422,930.0852,865.5342,346.5694,1509.1098,117.6718,7891.7641,2458.58590909091,1509.1098,117.6718
PDGFRB,3324.6285,4028.4495,13016.0614,4788.5196,5824.7594,7702.0564,4493.6116,2334.0249,629.4643,1152.819,805.7341,13016.0614,4372.73897272727,4028.4495,629.4643
PDHA2,0,0,0,5.287,0,0,0,0,0,0,0,5.287,0.480636363636364,0,0
PEX6,411.9766,1154.3385,510.5048,61.9335,488.2287,690.1004,250,224.5851,686.4698,111.276,1085.5166,1154.3385,515.902727272727,488.2287,61.9335
PGF,222.4223,179.5875,827.5085,48.3384,299.1597,560.0191,209.1141,82.4689,42.5824,31.1573,86.9995,827.5085,235.396154545454,179.5875,31.1573
PIK3CA,402.5214,360.5974,672.6272,1102.719,953.4819,340.9852,321.1244,238.5892,1080.0137,888.724,200.692,1102.719,596.552309090909,402.5214,200.692
PIK3R1,1643.4039,1699.8578,1653.8102,3921.4502,2603.8862,1030.6074,1308.7734,1178.9419,961.1951,2658.7537,400.3955,3921.4502,1732.82502727273,1643.4039,400.3955
PMP2,12.6069,0.3556,1.2069,18.1269,0.4787,0,0.8518,1.0373,1.0302,16.3205,0,18.1269,4.72861818181818,1.0302,0
POLB,320.5763,264.2248,189.0758,69.4864,302.989,291.7264,281.0903,425.8299,260.6456,200.2967,306.4755,425.8299,264.765154545455,281.0903,69.4864
POLE,691.1301,1043.7411,621.5365,259.0634,1050.6489,1082.7355,2097.5298,1465.7676,1580.7005,727.003,2334.6515,2334.6515,1177.68253636364,1050.6489,259.0634
POLH,628.5457,447.0128,591.7672,769.6375,726.1205,443.8068,721.4651,383.8174,675.8242,850.1484,418.1908,850.1484,605.121490909091,628.5457,383.8174
PON1,0.4502,0,0,0,0,0,0.8646,0,0,1.4837,1.4829,1.4837,0.389218181818182,0,0
PPP1R2,1326.4295,1063.6558,1063.2499,2990.9366,1579.5633,1109.0387,1146.9336,1137.4481,1977.3352,3764.095,995.5512,3764.095,1650.38517272727,1146.9336,995.5512
PPP1R3C,79.2436,87.4822,118.273,609.5166,381.0098,252.989,75.8092,47.1992,8.5852,25.2226,1.9773,609.5166,153.391609090909,79.2436,1.9773
PRKAA2,92.3008,0.3556,12.471,2204.6828,822.8089,233.8594,8.9438,20.7469,1.717,19.2878,0.4943,2204.6828,310.697118181818,19.2878,0.3556
PRKCG,155.7857,0,1.2069,143.5045,39.2498,196.5567,240.2044,442.4274,3.7775,16.3205,66.7326,442.4274,118.706,66.7326,0
MAPK7,317.258,494.0469,498.7257,86.1027,179.6969,432.769,326.5119,268.5218,88.2555,72.7003,378.9323,498.7257,285.774636363636,317.258,72.7003
MAPK11,91.8505,78.5917,365.2784,35.4985,109.1335,254.4237,318.569,125,25.4121,19.2878,93.9199,365.2784,137.905918181818,93.9199,19.2878
MAP2K1,1676.2945,1864.7688,1727.8193,1560.423,1287.9233,1342.7068,1151.2862,1659.3361,992.4279,2039.5846,1983.475,2039.5846,1571.45868181818,1659.3361,992.4279
KLK10,2353.8946,1656.8279,0.8046,225.8308,73.2343,647.0588,379.8978,11989.6266,80.7005,341.2463,687.5927,11989.6266,1676.06499090909,379.8978,0.8046
PSMA2,2270.2386,2686.0135,1966.7991,839.1767,2051.5799,2228.9096,2011.4949,3159.4502,2986.7411,1345.6973,3465.6105,3465.6105,2273.79194545455,2228.9096,839.1767
PSMB9,585.7722,1891.5363,696.7646,317.9758,1383.7932,2088.4744,3504.6848,2200.7261,2255.8379,1347.181,5212.0613,5212.0613,1953.16432727273,1891.5363,317.9758
PSMD13,2288.6087,2630.8677,1559.2723,379.9094,1800.2235,3288.857,2045.5707,3357.3651,1980.0824,580.1187,3851.2111,3851.2111,2160.18969090909,2045.5707,379.9094
PTGER3,180.009,164.8186,238.5775,979.4184,120.5063,68.8092,52.483,62.9824,30.5632,277.2107,7.306,979.4184,198.425845454545,120.5063,7.306
PTH1R,6.3035,1.7781,14.8847,3.7764,7.1798,22.4773,5.1107,5.1867,0,2.9674,0.4943,22.4773,6.37808181818182,5.1107,0
PTPRK,3167.0419,2034.8506,2138.9707,2290.0302,3789.0374,1897.1784,2161.414,1922.7178,3386.6758,2479.2285,1394.4637,3789.0374,2423.78263636364,2161.414,1394.4637
PTPRS,696.5331,160.7397,497.2292,1336.858,3129.45,1613.582,344.9744,125.5187,151.0989,267.0623,151.7548,3129.45,770.436463636364,344.9744,125.5187
PTX3,14.4079,6.4011,71.6074,215.2568,37.3351,32.9986,9.7956,2.5934,3.4341,170.6231,6.9204,215.2568,51.9430454545455,14.4079,2.5934
QDPR,838.3611,1055.4765,359.6464,297.5831,378.1379,586.8006,620.5281,822.6141,404.1896,597.9228,962.432,1055.4765,629.426563636364,597.9228,297.5831
RAC2,1601.9811,1472.2617,1190.7755,1225.0755,336.9735,1120.0383,2792.1635,1040.4564,234.8901,1045.9941,1281.2654,2792.1635,1212.89773636364,1190.7755,234.8901
RAD17,519.1355,414.6515,460.464,722.0544,513.2671,420.9852,528.5349,388.4855,481.1332,864.9852,439.9407,864.9852,523.057927272727,481.1332,388.4855
RAD52,90.0495,136.5576,93.7333,94.8263,131.1516,93.7351,230.8348,134.8548,368.8908,170.2967,237.7657,368.8908,162.063290909091,134.8548,90.0495
RAF1,1911.7515,1571.835,1953.5155,1168.5045,1959.6158,1874.2229,1957.4106,1423.2365,1911.5419,1033.2789,1683.6382,1959.6158,1677.14102727273,1874.2229,1033.2789
RBMS1,679.4237,464.0825,1947.4812,4192.5982,673.4684,593.9742,786.6269,338.1743,247.5962,1808.6053,267.4246,4192.5982,1090.85959090909,673.4684,247.5962
RDX,841.0626,419.9858,1949.0903,2251.5106,676.3403,524.1511,803.2368,291.4938,857.8297,2296.7359,462.1849,2296.7359,1033.96561818182,803.2368,291.4938
RET,90.4998,38.0512,82.8715,28.7009,46.4296,77.4749,60.9029,26.4523,48.7637,51.9288,80.5734,90.4998,57.5135454545455,51.9288,26.4523
RFC2,668.1675,686.6999,524.9872,99.6979,605.9779,691.5352,429.3015,759.8548,699.5192,244.8071,1043.0054,1043.0054,586.686690909091,668.1675,99.6979
RFC4,461.5038,439.9004,333.0953,104.2296,366.6502,347.6805,364.9915,643.1535,725.9615,356.0831,737.5185,737.5185,443.706172727273,366.6502,104.2296
RFX5,1012.6069,1353.4851,1128.823,1375.3776,956.8324,866.571,2104.77,2329.3568,2124.6566,2458.457,1544.2412,2458.457,1568.65250909091,1375.3776,866.571
RGS4,74.2909,32.0057,140.8012,1470.5438,486.314,434.7202,88.1601,5.1867,30.9066,50.4451,21.2556,1470.5438,257.693627272727,74.2909,5.1867
RNASE6,346.2404,190.6117,449.7591,407.0997,238.8491,359.6365,407.5809,131.2241,164.8352,256.6766,305.4869,449.7591,296.181836363636,305.4869,131.2241
RNASEL,278.253,238.9758,542.6879,712.2356,676.819,345.2893,376.0647,179.4606,426.8544,359.0504,161.1468,712.2356,390.621590909091,359.0504,161.1468
RNPEP,1825.3039,2329.6586,2292.6452,996.2236,1680.081,2569.5839,1409.2845,2272.3029,1914.8352,1298.2196,3705.388,3705.388,2026.68421818182,1914.8352,996.2236
ROBO2,71.5894,67.9232,7.2412,161.6314,59.3533,31.5638,22.9983,16.0788,0.3434,5.9347,0,161.6314,40.4234090909091,22.9983,0
RORA,212.0666,114.1536,530.2169,2620.0906,511.2041,119.0818,306.644,98.029,366.0714,1617.2107,83.045,2620.0906,597.983063636364,306.644,83.045
RPL6,12624.9437,6910.7397,7235.1681,4863.2931,5342.2746,8080.3443,8600.937,19027.4896,14487.9808,8661.7211,15352.4469,19027.4896,10107.9399,8600.937,4863.2931
RPL7,2149.9325,1052.6316,683.0868,78.5498,288.1506,1169.7752,968.9097,2862.5519,336.5385,283.3828,1684.1325,2862.5519,1050.69471818182,968.9097,78.5498
RPS12,20126.5196,14652.5605,9342.7603,3142.7492,7594.8276,19064.0842,12046.8484,21603.2158,8780.9066,6086.0534,27302.0267,27302.0267,13612.9593,12046.8484,3142.7492
RPS15A,16054.0297,8320.7681,6178.3548,3752.2659,7555.0992,9863.2233,7950.1704,17251.556,12450.206,6394.6588,12193.7716,17251.556,9814.91852727273,8320.7681,3752.2659
RPS20,12937.8658,11538.4068,8127.4452,4925.9819,10811.393,18000,10346.678,25679.4606,11893.2005,6369.4362,14378.6456,25679.4606,12273.5012363636,11538.4068,4925.9819
RPS25,7531.7425,6112.7312,4186.2196,2504.5317,4509.8926,7129.6031,6125.2129,9689.3154,8190.9341,4311.5727,10910.5289,10910.5289,6472.93497272727,6125.2129,2504.5317
S100A2,32.8681,155.4054,12.0687,1.5106,44.515,92.3003,14.4804,42.5311,0.3434,4.451,22.2442,155.4054,38.4289272727273,22.2442,0.3434
SCNN1B,11.7064,0,2.0114,0,2.3933,1.913,49.8296,36.8257,6.8681,0,8.4034,49.8296,10.9046272727273,2.3933,0
CCL3,217.4696,428.5206,310.9694,1324.0181,373.83,493.5438,404.5997,85.5809,372.5962,311.5727,642.61,1324.0181,451.391909090909,373.83,85.5809
MAP2K4,728.0504,888.6913,691.5348,1160.1208,856.7934,516.9775,513.6286,606.3278,1270.9478,1442.1365,588.7296,1442.1365,842.176227272727,728.0504,513.6286
SFRP4,3133.2733,1077.8805,1062.8476,14432.7795,10225.5186,11780.0096,3694.2078,768.6722,40.1786,1136.4985,74.1473,14432.7795,4311.45577272727,1136.4985,40.1786
SCG5,501.5759,199.1465,120.6867,116.3142,89.0299,106.6475,39.1823,9.8548,455.3571,246.2908,408.3045,501.5759,208.399109090909,120.6867,9.8548
SHBG,0,2.4893,0.4023,0,1.436,0.9565,0.4259,1.556,0,1.4837,3.9545,3.9545,1.15492727272727,0.9565,0
SHMT2,3686.1774,1719.0612,1932.5965,483.3837,3562.6333,4735.055,2614.1397,7822.6141,10563.1868,2575.6677,15222.4419,15222.4419,4992.45066363636,3562.6333,483.3837
SIAH1,545.9118,437.7063,369.3456,1040.7779,634.276,438.9144,483.2794,404.834,480.6559,740.6973,415.561,1040.7779,544.7236,480.6559,369.3456
SLC2A5,186.4025,253.9118,122.6982,98.9426,334.1016,335.7245,802.8109,92.3237,661.4011,172.1068,787.4444,802.8109,349.806190909091,253.9118,92.3237
SLC18A2,18.0099,8.1792,10.8618,40.7855,16.7529,3.3477,17.8876,3.6307,36.4011,59.3472,1.9773,59.3472,19.7437181818182,16.7529,1.9773
SLC20A2,979.2886,994.3101,825.4971,550.6042,742.3948,689.6222,422.9131,1258.8174,575.8929,535.6083,678.695,1258.8174,750.331245454545,689.6222,422.9131
SLIT3,549.7524,142.6031,1553.6402,616.3142,461.9026,956.9584,545.5707,210.0622,6.5247,173.5905,33.1191,1553.6402,477.276190909091,461.9026,6.5247
SPTA1,0.9005,1.4225,6.4366,5.287,5.7439,1.4347,3.833,0,0,1.4837,0,6.4366,2.4129,1.4347,0
SPTB,54.48,150.0711,343.9571,184.29,382.4458,323.2903,144.8041,72.0954,71.772,97.9228,89.9654,382.4458,174.099454545455,144.8041,54.48
SRC,1387.6632,2247.5107,1243.4754,738.6707,1519.7314,2692.4916,2294.293,2014.0041,540.522,553.4125,1521.0084,2692.4916,1522.98027272727,1519.7314,540.522
SRPK1,3054.48,2727.596,1565.3066,3251.5106,1763.8457,1151.1239,1821.5503,2086.0996,6135.3022,9740.3561,4349.481,9740.3561,3422.42290909091,2727.596,1151.1239
HSPA13,860.4232,531.6501,1297.7844,2131.4199,1996.4723,978.9574,854.3441,534.2324,1699.1758,1753.7092,496.2926,2131.4199,1194.04194545455,978.9574,496.2926
SULT1A2,9.4552,18.4922,6.8389,0,36.8565,64.5624,11.0733,23.3402,9.272,4.451,10.3806,64.5624,17.7020272727273,10.3806,0
STRN,447.5462,233.6415,586.1351,1228.852,1116.2247,351.5065,527.6831,215.249,962.2253,1540.0593,174.9876,1540.0593,671.282754545455,527.6831,174.9876
STX5,725.7992,1100.9957,978.7692,317.9758,863.4946,1349.5935,902.8961,754.668,476.9918,218.1009,792.3875,1349.5935,771.061118181818,792.3875,218.1009
SULT1A1,391.2652,309.0327,317.0038,11.3293,216.3523,364.8972,163.9693,113.0705,158.6538,32.6409,386.0603,391.2652,224.025027272727,216.3523,11.3293
SUPT4H1,806.7717,529.872,840.7519,1481.79,1024.0692,1513.7446,916.4608,888.8797,857.1669,892.8932,1374.4785,1513.7446,1011.53440909091,892.8932,529.872
SYT5,4.0522,0.7112,4.4252,21.9033,22.4968,90.8656,2.9813,2.0747,0,2.9674,1.9773,90.8656,14.0413636363636,2.9813,0
TCF7L2,814.9482,1255.6899,615.0999,2066.4653,404.4639,598.2783,861.5843,1564.834,646.978,3583.0861,835.8873,3583.0861,1204.30138181818,835.8873,404.4639
GCFC2,433.5885,347.0839,259.0741,725.8308,398.2414,178.8618,216.3543,287.8631,1079.6703,1562.3145,430.5487,1562.3145,538.130127272727,398.2414,178.8618
TEK,358.3971,121.9772,1262.383,176.7372,264.2179,181.7312,295.1448,86.6183,83.4478,132.0475,45.9713,1262.383,273.515754545455,176.7372,45.9713
TERT,36.4701,12.091,10.8618,0,8.1371,11.956,25.5537,6.7427,18.2005,7.4184,105.2892,105.2892,22.0655,11.956,0
TFF1,1637.1004,140.1138,4107.3709,1024.9245,12944.2821,17976.5662,1543.4412,1246.3693,921.3599,529.6736,2653.9792,17976.5662,4065.92555454546,1543.4412,140.1138
TGFBR2,5186.4025,1625.1778,6154.6198,7802.1148,2544.0543,2373.5055,4580.0681,1664.4191,1383.9286,3724.0356,866.0405,7802.1148,3445.85150909091,2544.0543,866.0405
TGIF1,1302.5664,3016.0028,1674.7292,1961.4804,1560.8958,1585.8441,1790.46,1715.249,2112.294,2283.3828,2501.7301,3016.0028,1954.96678181818,1790.46,1302.5664
TLL1,90.0495,6.7568,135.5714,54.3807,32.5486,15.7819,31.0903,14.5228,5.8379,50.4451,1.9773,135.5714,39.9056636363636,31.0903,1.9773
TNS1,7323.2778,2199.5021,10097.0522,8635.1964,4065.2216,4564.3233,2965.5026,4060.166,527.8159,2152.819,610.9738,10097.0522,4291.07733636364,4060.166,527.8159
TP53,2813.5975,2565.0782,1470.3664,881.4199,1610.1973,2359.1583,1718.4838,2899.3776,1619.1621,2129.0801,3033.1191,3033.1191,2099.91275454545,2129.0801,881.4199
TSC1,525.8892,548.0085,1128.0184,993.9577,863.9733,595.4089,1284.4974,489.6266,691.9643,744.8071,522.9857,1284.4974,762.648827272727,691.9643,489.6266
TTC3,3810.896,1913.5846,4794.0783,12796.8278,5970.2707,3647.5371,2292.1635,2290.4564,4102.6786,9632.0475,1926.347,12796.8278,4834.2625,3810.896,1913.5846
TUBA4A,1968.0324,3220.4836,1387.0926,261.3293,1408.2046,2696.3176,1581.3458,2608.9212,878.4341,381.3056,4621.8487,4621.8487,1910.30140909091,1581.3458,261.3293
TUFM,5929.3111,6843.5277,3242.4495,433.5347,2638.3494,4527.0206,4334.753,8321.0581,4504.8077,1080.1187,10696.9847,10696.9847,4777.44683636364,4504.8077,433.5347
TULP3,497.0734,495.0213,696.3623,1095.9215,440.3631,600.1913,541.3118,631.2241,272.3214,959.9407,475.5314,1095.9215,609.5693,541.3118,272.3214
TYMS,1068.262,2307.8627,1076.1553,382.1224,936.0923,1266.638,2093.3177,1868.8174,1344.1209,1077.7745,1909.9506,2307.8627,1393.73761818182,1266.638,382.1224
UBA1,7016.6592,12710.1707,8028.4821,1546.0725,4386.8781,7393.5916,6790.46,7616.7012,2489.011,1591.9881,6791.8932,12710.1707,6032.9007,6791.8932,1546.0725
UBE2D3,5779.3787,5465.1494,5216.0795,7613.2931,4078.1453,4075.5619,4620.954,5069.5021,4951.9231,8850.1484,5482.9461,8850.1484,5563.91650909091,5216.0795,4075.5619
UGT8,852.3188,960.5263,311.3717,858.006,603.106,349.5935,514.4804,703.3195,2009.6154,1933.2344,782.5012,2009.6154,898.006654545454,782.5012,311.3717
USH2A,1.801,4.623,3.2183,24.9245,23.4541,3.8259,2.9813,1.556,21.6346,22.2552,0.9886,24.9245,10.1147727272727,3.8259,0.9886
VAV1,282.3053,391.5363,313.7854,187.3112,358.513,328.0727,974.0204,106.3278,234.2033,47.4777,338.1117,974.0204,323.787709090909,313.7854,47.4777
VDAC3,2298.9644,2309.0327,1847.3112,1067.9758,1789.2145,1944.0459,1864.1397,4044.6058,3828.2967,2562.3145,3203.1636,4044.6058,2432.64225454545,2298.9644,1067.9758
VEGFA,2278.253,1347.7952,1264.3944,3782.4773,2377.4821,2125.7771,3050.2555,1094.917,1495.8791,2182.4926,3134.9481,3782.4773,2194.06103636364,2182.4926,1094.917
VEGFB,666.8167,744.3101,551.136,416.1631,526.5211,1431.8508,716.3543,848.5477,156.5934,286.3501,695.5017,1431.8508,640.013181818182,666.8167,156.5934
WFS1,1180.0991,1633.0014,1051.9858,208.4592,432.7046,1074.6055,774.276,1965.7676,110.2335,72.7003,558.0821,1965.7676,823.810463636364,774.276,72.7003
WNT5A,313.8226,873.3997,2718.6692,5115.5589,1554.6732,881.3965,171.2095,320.5394,206.044,1007.4184,80.0791,5115.5589,1203.89186363636,873.3997,80.0791
SF1,5705.0878,4531.2945,3520.029,3250,1523.5606,3836.9201,4548.552,4924.7925,1256.5247,3727.003,5546.2185,5705.0878,3851.81660909091,3836.9201,1256.5247
ZNF18,168.8429,209.4595,130.3416,136.7069,203.4286,157.8192,179.3015,145.7469,213.2555,72.7003,169.5502,213.2555,162.468463636364,168.8429,72.7003
ZNF90,172.4448,80.0142,155.6859,472.0544,250.8155,111.9082,59.6252,30.083,45.6731,729.9703,126.5447,729.9703,203.165390909091,126.5447,30.083
ZNF131,632.1477,449.1465,417.9783,854.9849,642.8344,417.0253,574.9574,414.9378,1139.7665,1430.2671,586.7523,1430.2671,687.345290909091,586.7523,414.9378
TRIM25,1887.8883,2669.9858,1608.7538,1630.9743,1590.0937,1251.5543,3312.1806,2936.2033,1038.1181,1200.7864,1135.4424,3312.1806,1841.99827272727,1608.7538,1038.1181
ZKSCAN8,437.1905,178.5206,488.7812,2138.2175,602.1487,208.9909,480.4089,215.249,568.3379,1694.362,99.3574,2138.2175,646.505872727273,480.4089,99.3574
ZNF215,168.8429,147.9374,87.699,200.1511,214.4377,97.0827,164.3952,3.6307,202.2665,238.8724,72.17,238.8724,145.225963636364,164.3952,3.6307
MAP3K12,109.2211,84.4203,319.8318,88.074,184.1819,245.7628,320.7325,66.9295,50.5357,57.9674,68.9916,320.7325,145.149872727273,88.074,50.5357
PRDM2,1420.5313,733.9972,1221.7518,2669.9396,1111.4382,939.2635,1321.9761,537.3444,827.9533,1962.908,695.0074,2669.9396,1222.01007272727,1111.4382,537.3444
IFRD2,1514.3674,1397.9196,657.4529,91.2387,796.9615,1346.1836,1204.0503,2251.556,728.6126,225.549,2235.917,2251.556,1131.80078181818,1204.0503,91.2387
RAB7A,6105.3579,5745.7326,4437.6502,5493.9577,1566.161,3801.0521,3592.4191,5397.3029,1211.5385,6335.3116,5524.9629,6335.3116,4473.76786363636,5397.3029,1211.5385
NCOA4,4357.4966,4003.2006,4861.2606,5689.577,6763.8816,3382.1138,4002.9813,3314.3154,11023.0082,6995.549,3896.1938,11023.0082,5299.05253636364,4357.4966,3314.3154
PDHX,762.4899,787.0235,809.3331,969.0332,997.5517,645.4711,580.9412,797.251,1642.7953,1701.2018,1164.261,1701.2018,987.032072727273,809.3331,580.9412
AXIN2,2081.0446,1109.8862,247.81,479.6073,1060.3178,646.6619,369.7189,313.973,278.1593,194.362,260.5042,2081.0446,640.185927272727,369.7189,194.362
CDC45,378.208,426.0313,316.1992,13.5952,257.9953,279.2922,418.2283,518.1535,777.4725,129.0801,898.171,898.171,401.129690909091,378.208,13.5952
FZD9,4.9527,1.7781,21.3213,6.7976,10.5304,16.7384,5.5366,1.0373,1.0302,0,13.8408,21.3213,7.59667272727273,5.5366,0
GFI1B,4.9527,3.5562,1.6092,0,0.9573,2.3912,9.7956,17.6349,0,1.4837,0.4943,17.6349,3.89773636363636,1.6092,0
OR1E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ULK1,799.1896,413.229,1269.2219,399.5468,619.3803,1668.1014,1174.1908,818.4647,36.4011,123.1454,478.9916,1668.1014,709.078418181818,619.3803,36.4011
CUL4A,2512.3818,1876.2447,1619.2133,2011.3293,2457.8963,1991.3917,2210.8177,2102.1784,2729.739,2587.5371,1992.091,2729.739,2190.07457272727,2102.1784,1619.2133
KLF11,669.068,464.4381,734.982,1484.8943,567.6855,538.9766,649.9148,451.2448,494.1621,1265.5786,564.0138,1484.8943,716.814418181818,567.6855,451.2448
PIK3R3,1580.8195,1070.0569,1298.589,581.571,503.067,383.5485,827.5128,296.1618,1370.8791,1313.0564,950.5685,1580.8195,925.0755,950.5685,296.1618
