Gene,TCGA-CA-6717-01A-11R-1839-07,TCGA-CK-4951-01A-01R-1410-07,TCGA-WS-AB45-01A-11R-A41B-07,TCGA-A6-6781-01B-06R-A277-07,TCGA-A6-6781-01A-22R-A278-07,TCGA-A6-6781-01A-22R-1928-07,TCGA-D5-6928-01A-11R-1928-07,TCGA-AD-5900-01A-11R-1653-07,TCGA-A6-6780-01A-11R-A278-07,TCGA-A6-6780-01B-04R-A277-07,TCGA-A6-6780-01A-11R-1839-07,MAX,AVG,MED,MIN
EPHA2,1710.4908,1804.4097,705.2127,478.852,1177.9713,1503.5868,2927.598,2922.1992,593.0632,281.8991,1205.1409,2927.598,1391.8567,1205.1409,281.8991
EIF4A1,14359.5407,16000.1138,10578.9221,2917.6737,9940.7137,14530.3778,10246.0562,17373.2417,14163.6676,4519.2878,20322.6446,20322.6446,12268.3854272727,14163.6676,2917.6737
EN1,6.3035,0,0,6.0423,1.436,0.4782,0.4259,0,5.1511,26.7062,18.784,26.7062,5.93883636363636,1.436,0
EP300,3165.2409,2211.2376,3015.1562,3962.2356,2540.7037,2030.6074,3428.8756,2181.0166,2529.533,3731.454,1411.2704,3962.2356,2746.121,2540.7037,1411.2704
EPHA7,22.0621,8.8905,4.4252,114.0483,205.3432,78.9096,13.2027,91.805,0,2.9674,0,205.3432,49.2412727272727,13.2027,0
EPHB2,4447.5462,6075.0356,566.8252,332.3263,2236.7574,1706.3606,2406.3032,4147.8216,3381.5247,1652.819,4389.5205,6075.0356,2849.34911818182,2406.3032,332.3263
ERBB3,5710.941,4147.5818,2000.5833,4218.2779,8867.5728,6171.2099,12801.9591,12096.9917,8836.8819,7244.8071,5765.2002,12801.9591,7078.36424545455,6171.2099,2000.5833
ERCC3,882.9356,891.8919,842.3932,490.1813,829.5101,851.7456,1025.5537,822.0954,850.2747,357.5668,891.7449,1025.5537,794.172109090909,850.2747,357.5668
ERF,1651.5083,1200.569,1191.1778,713.7462,467.1678,923.9598,2275.9796,1195.0207,160.3709,434.7181,1318.3391,2275.9796,1048.4143,1191.1778,160.3709
FANCD2,642.9536,462.3044,542.2856,224.3202,697.382,395.9828,535.7751,730.8091,1486.25,689.911,831.4385,1486.25,658.128390909091,642.9536,224.3202
FANCE,238.6312,254.623,177.0072,50.6042,220.1816,260.6408,218.9097,306.5353,355.4258,44.5104,345.5264,355.4258,224.781418181818,238.6312,44.5104
FBLN2,1206.6637,1903.2717,3031.6501,445.6193,2332.4885,3162.1234,3477.0017,1665.4564,152.4725,130.5638,371.7252,3477.0017,1625.36693636364,1665.4564,130.5638
FKTN,547.5011,416.7852,736.5912,1564.1994,517.9053,240.5548,369.6763,348.029,1357.1429,3017.8042,410.2818,3017.8042,866.042836363636,517.9053,240.5548
FGF5,17.1094,4.623,37.0106,111.7825,13.4024,14.3472,4.6848,1.556,6.8681,1.4837,0,111.7825,19.3516090909091,6.8681,0
FGF12,4.9527,4.623,30.9763,24.9245,11.0091,11.4778,4.6848,3.112,4.4643,10.3858,2.9659,30.9763,10.3251090909091,4.9527,2.9659
FGFR1,1622.2422,650.0711,2677.6357,1432.0242,1152.1239,2057.867,1213.3731,1226.1411,238.6676,351.632,480.4745,2677.6357,1191.11385454546,1213.3731,238.6676
GPC5,0.9005,0,1.6092,4.5317,4.3079,0.9565,0,0.5187,0,0,0,4.5317,1.16586363636364,0.5187,0
FGFR2,354.3449,80.7255,392.6341,735.6495,1295.7206,780.0096,764.9063,702.2822,220.1236,360.5341,148.7889,1295.7206,530.519936363636,392.6341,80.7255
FLG,19.8334,2.276,40.6151,85.3474,44.9888,31.0617,24.7743,7.5571,0.8791,43.5163,1.0875,85.3474,27.4487909090909,24.7743,0.8791
FLT1,1292.2107,550.8535,2791.8858,3209.2145,1932.3325,1222.3816,633.3049,281.639,1724.5879,2086.0534,778.5467,3209.2145,1500.27368181818,1292.2107,281.639
FLT4,350.7429,124.111,1346.0591,54.3807,421.2169,546.1502,405.4514,115.1452,36.7445,45.9941,117.6471,1346.0591,323.967554545455,124.111,36.7445
FNTB,671.9946,603.4033,770.295,278.7009,538.5306,843.9598,541.776,766.3382,500.7864,246.2908,921.9179,921.9179,607.635772727273,603.4033,246.2908
FRK,175.5966,116.9986,192.2942,576.284,836.2112,150.1674,189.0971,160.7884,987.294,672.1068,91.9427,987.294,377.161909090909,189.0971,91.9427
FRZB,724.8987,168.9189,111.4341,294.5619,102.9109,170.7317,483.3901,154.5643,2.0604,53.4125,4.9432,724.8987,206.5297,154.5643,2.0604
GABRG1,0,0,0.8046,0,0.4787,0,0,0,0,0,0,0.8046,0.116663636363636,0,0
NR6A1,20.2611,9.2461,18.5053,24.9245,17.7103,2.3912,28.9608,14.5228,60.4396,22.2552,15.8181,60.4396,21.3668181818182,18.5053,2.3912
GFPT1,4438.5412,4442.0341,7009.484,13357.2508,10780.759,5573.4099,2122.6576,5004.668,12033.9973,24617.2107,5247.652,24617.2107,8602.51496363636,5573.4099,2122.6576
GLRB,39.6218,12.091,34.9991,112.5378,125.4078,132.9507,18.7394,17.6349,1.0302,10.3858,1.4829,132.9507,46.0801272727273,18.7394,1.0302
GNAQ,1519.5858,1380.1565,2269.7147,7478.852,2412.9026,1271.6404,1718.4838,1142.1162,2072.1154,6351.632,833.91,7478.852,2586.46449090909,1718.4838,833.91
GNAS,13470.959,14408.2504,13640.414,10535.4985,8256.8083,16957.9149,14115.8433,14594.917,1955.0137,4200.2967,4524.9629,16957.9149,10605.5344272727,13470.959,1955.0137
GNGT1,1.3507,0,0,0,0.9573,4.7824,0,0,5.8379,1.4837,2.4716,5.8379,1.53487272727273,0.9573,0
GPR17,4.9527,0.7112,20.1145,59.6677,5.7439,3.8259,5.9625,6.7427,0,11.8694,0,59.6677,10.8718636363636,5.7439,0
GPR25,0.9005,6.7568,0.8046,0,1.9146,0.4782,9.3697,1.556,0,5.9347,9.392,9.392,3.37337272727273,1.556,0
GPR39,293.1247,288.4708,11.5658,33.8671,142.6872,164.1463,183.1175,354.1857,189.4368,71.3205,177.9288,354.1857,173.622836363636,177.9288,11.5658
GRID2,0.4502,0,0,0,0.4787,0,0,0,0,0,0,0.4787,0.084445454545455,0,0
GRIN2A,15.3084,2.1337,0.4023,22.6586,1.436,0.9565,8.092,4.668,1.717,37.092,0.9886,37.092,8.67755454545455,2.1337,0.4023
NR3C1,728.0504,337.4822,1513.009,3986.4048,1417.7777,602.5825,959.54,290.4564,809.7527,2031.1573,229.8566,3986.4048,1173.27905454545,809.7527,229.8566
GRM3,0,0.3556,0,4.5317,7.1798,1.4347,0,0,4.8077,16.3205,0.9886,16.3205,3.23805454545455,0.9886,0
GRM7,0,0,0.4023,23.4139,11.4877,2.3912,0,0.5187,2.4038,19.2878,0,23.4139,5.44594545454545,0.5187,0
GSTM3,402.9716,62.5889,351.1983,177.4924,129.237,170.2535,520.8688,103.7344,19.5742,25.2226,34.6021,520.8688,181.613072727273,129.237,19.5742
MSH6,1357.0464,1190.9673,896.2999,1247.7341,2444.9726,1394.5481,1016.6099,1156.639,1102.6786,795.2522,696.4904,2444.9726,1209.02168181818,1156.639,696.4904
GUCY2C,834.7591,1091.7496,362.4624,129.9094,561.9416,445.7198,582.6235,2886.9295,1456.3874,529.6736,949.5798,2886.9295,893.794154545454,582.6235,129.9094
HBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCRT,0,0,0.4023,0,0,0,0,0,0,0,0.4943,0.4943,0.081509090909091,0,0
HIF1A,3696.0828,3261.3798,12182.1162,13091.3897,6424.9935,4022.4773,2528.5349,2317.9461,6314.5604,7526.7062,2735.5413,13091.3897,5827.42983636364,4022.4773,2317.9461
HLA-C,11788.4106,25388.2361,26074.4557,8245.9517,16335.9923,33498.4601,76021.1116,15299.0041,17776.5934,14474.6291,59406.955,76021.1116,27664.5272454545,17776.5934,8245.9517
HMGCS2,6313.8226,2044.0967,944.9769,0,98.603,117.1688,1083.4753,10.3734,9180.6319,1948.0712,11963.4207,11963.4207,3064.05822727273,1083.4753,0
HNF4A,2163.8901,1964.7937,385.3929,324.7734,1540.7922,1428.5031,2289.1823,2681.0166,1900.7555,1157.27,2210.084,2681.0166,1640.58670909091,1900.7555,324.7734
HNMT,945.9703,627.6671,618.3182,1611.7825,1130.5844,875.1793,960.8177,957.4689,1478.3654,1231.454,916.4607,1611.7825,1032.18804545455,957.4689,618.3182
HOXB2,98.6042,96.0171,264.7062,358.7613,61.2679,128.1683,93.2709,36.8257,4.8077,71.2166,24.7158,358.7613,112.578336363636,93.2709,4.8077
HP,4.5025,1.4225,31.7808,3.0211,0,0.4782,0.4259,0.5187,0,1.4837,0.9886,31.7808,4.05654545454545,0.9886,0
HSD11B2,1170.1936,843.5277,443.3225,89.1239,426.4821,1207.078,609.029,465.7676,152.4725,164.6884,1030.6476,1207.078,600.212081818182,465.7676,89.1239
