Gene,TCGA-DK-A6AW-01A-11R-A30C-07,TCGA-YC-A89H-01A-11R-A36F-07,TCGA-MV-A51V-01A-11R-A26T-07,TCGA-DK-A1AC-01A-11R-A13Y-07,TCGA-DK-A3WW-01A-22R-A23N-07,TCGA-DK-A6B6-01A-11R-A30C-07,TCGA-ZF-A9RC-01A-11R-A38B-07,TCGA-SY-A9G5-01A-11R-A38B-07,TCGA-XF-AAMG-01A-11R-A42T-07,TCGA-FD-A6TC-01A-21R-A33J-07,MAX,AVG,MED,MIN
GUSB,2158.1146,1501.6166,4190.6519,2463.4232,1640.8918,679.2532,1297.8852,926.9679,2517.1614,2119.9559,4190.6519,1949.59217,1880.42385,679.2532
GYPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK3,11.9332,229.4336,6.7651,105.3553,342.5047,42.1565,47.7341,315.9989,84.2155,46.7475,342.5047,123.28444,65.9748,6.7651
HMGB1,5458.8305,8275.4161,4466.7897,8525.7263,8457.3055,4630.0846,6646.5257,7782.8929,6849.362,8275.1929,8525.7263,6936.81262,7316.12745,4466.7897
NR4A1,16392.6014,856.4244,34153.1365,3645.7823,719.6395,176.9383,770.997,3478.2609,1336.1862,1628.2249,34153.1365,6315.81914,1482.20555,176.9383
HOXB7,861.5752,564.2438,490.1599,406.7203,671.7268,675.6907,858.006,642.2279,834.8104,547.7398,861.5752,655.29008,656.97735,406.7203
HTN1,0,0,0,1.7501,0,0,0,0,0,0,1.7501,0.17501,0,0
ID2,921.8377,284.0378,1240.4674,2269.5135,518.5009,1290.2249,329.3051,508.6672,376.0319,198.4564,2269.5135,793.70428,513.58405,198.4564
IGLL1,0,0,0.615,0,0,0,0,0,2.4481,0,2.4481,0.30631,0,0
IL6,75.179,44.5456,182.6568,1419.321,18.5009,7.125,19.9396,51.7192,54.838,281.3671,1419.321,215.51922,53.2786,7.125
ITGB4,23167.6611,12986.2292,11520.2952,1490.0245,12494.7818,7354.8163,12183.6858,26435.9193,722.1967,8671.6648,26435.9193,11702.72747,11851.9905,722.1967
ITGB8,208.2339,433.481,2078.1058,2152.6076,543.6433,36.8127,119.0332,530.2643,1989.3458,78.9416,2152.6076,817.04692,481.87265,36.8127
ITIH2,1.1933,1.437,9.2251,0.7,0,0.5938,12.0846,0,0.4896,0.882,12.0846,2.66054,0.791,0
ITPKA,25.0597,8.1427,2.46,1.0501,2.3719,0,20.5438,18.7553,62.672,43.6604,62.672,18.47159,13.449,0
KIR3DL1,0,1.437,0,13.6507,3.444,6.5135,0.6042,9.6334,0.9792,0,13.6507,3.6262,1.2081,0
KRT81,15.5131,4.7898,2.46,5.6003,68.7856,12.4688,1395.7704,157.9994,27.9086,9.2613,1395.7704,170.05573,13.99095,2.46
KRT84,0,0,0,0,0.4744,0,0,0,0,0,0.4744,0.04744,0,0
MAN2A2,1751.79,743.863,1150.6765,913.5457,657.0209,703.0034,1316.0121,1949.4174,760.3874,824.6968,1949.4174,1077.04132,869.12125,657.0209
MARS,1425.6325,2816.7692,1729.2497,3416.6293,2032.9507,1741.5186,2164.2236,2326.5871,1920.7297,2528.3881,3416.6293,2210.26785,2098.58715,1425.6325
MDM4,687.9475,519.6982,515.9902,725.2363,439.2789,901.3168,625.9819,712.1341,630.1472,647.8501,901.3168,640.55812,638.99865,439.2789
MGAT1,3327.5656,5532.7506,8153.1365,18321.6661,4257.1157,7836.9436,4863.4441,5340.1535,7281.7008,7212.3484,18321.6661,7212.68249,6372.5495,3327.5656
MYL5,334.1945,342.0477,258.6531,182.1946,100.5408,148.2898,245.4683,147.559,195.2869,96.419,342.0477,205.06537,188.74075,96.419
NDUFA4,6196.3007,2441.3843,3450.1845,3928.9464,2159.3928,3698.4864,2296.6767,2434.7826,2960.2718,1733.6273,6196.3007,3130.00535,2700.82805,1733.6273
NDUFB2,2770.8771,2374.3073,1795.203,1644.3682,2668.8757,1735.5395,1259.7946,1294.6746,1515.3791,1641.4112,2770.8771,1870.04303,1689.95385,1259.7946
NFATC3,579.9523,269.6683,295.203,427.3714,304.0797,485.6898,893.0514,645.638,487.6664,1328.7762,1328.7762,571.70965,486.6781,269.6683
NME1,1561.5155,3291.3328,2490.1353,2891.6066,3009.3169,2044.6651,4644.997,2376.9025,3994.9373,1232.4807,4644.997,2753.78897,2690.87095,1232.4807
NQO2,697.494,372.171,279.8278,316.4158,658.9184,348.5329,450.7553,886.0472,319.725,209.0408,886.0472,453.89282,360.35195,209.0408
