Gene,TCGA-DK-A6AW-01A-11R-A30C-07,TCGA-YC-A89H-01A-11R-A36F-07,TCGA-MV-A51V-01A-11R-A26T-07,TCGA-DK-A1AC-01A-11R-A13Y-07,TCGA-DK-A3WW-01A-22R-A23N-07,TCGA-DK-A6B6-01A-11R-A30C-07,TCGA-ZF-A9RC-01A-11R-A38B-07,TCGA-SY-A9G5-01A-11R-A38B-07,TCGA-XF-AAMG-01A-11R-A42T-07,TCGA-FD-A6TC-01A-21R-A33J-07,MAX,AVG,MED,MIN
DDX46,727.9236,1216.6208,1011.6851,2305.5653,1226.2808,1243.9122,713.5952,977.5504,1387.5968,845.4245,2305.5653,1165.61547,1114.15295,713.5952
PDCD6IP,2921.8377,4168.1236,2942.8044,5309.7655,4274.6679,3711.5489,3693.0514,2552.4297,2276.2659,2621.8302,5309.7655,3447.23252,3317.9279,2276.2659
PARP2,306.6826,425.3383,332.1033,448.7224,488.1404,304.5952,504.5317,593.3504,611.0518,448.9526,611.0518,446.34687,448.8375,304.5952
PARP3,387.8282,472.7578,271.2177,79.454,963.9469,1284.2874,314.1994,909.9176,134.6468,300.3308,1284.2874,511.85866,351.0138,79.454
AP1M2,3609.7852,3085.6185,4047.3555,2132.3066,1265.1803,2360.7613,1561.9335,2556.9764,1386.1279,3110.4741,4047.3555,2511.65193,2458.86885,1265.1803
ATP9A,1919.4511,1937.9715,2161.7466,1105.0053,190.7021,3873.6435,2050.1511,1612.9582,2366.3569,1141.3451,3873.6435,1835.93314,1928.7113,190.7021
SORBS3,3923.031,907.1967,1293.9729,390.9695,606.7362,299.8452,1955.8912,1603.2964,1885.0557,1069.0187,3923.031,1393.50135,1181.4958,299.8452
MPHOSPH9,78.7589,122.1411,67.6507,352.1176,145.1613,69.4691,58.6103,144.9275,480.322,281.3671,480.322,180.05256,133.5343,58.6103
MPHOSPH10,752.3866,1088.2529,934.8093,3182.3591,763.2827,1997.3845,1656.7976,932.083,2134.2747,1078.28,3182.3591,1451.99104,1083.26645,752.3866
DHRS2,1659.3079,77303.317,8556.5806,52.5026,135.6736,132668.1322,5277.3414,5972.7195,308.4637,2082.9107,132668.1322,23401.69492,3680.12605,52.5026
OLIG2,0,0,0,0,0.4744,0.5938,0.6042,0,0,1.323,1.323,0.29954,0,0
GLYAT,0.5967,0.479,0,0,0,0.5938,1.8127,0,0,2.6461,2.6461,0.61283,0.2395,0
TUBA1B,17258.7232,36642.2081,28246.845,25208.9849,29633.8994,11681.2082,23025.4502,24230.3552,31194.1509,32455.0915,36642.2081,25957.69166,26727.91495,11681.2082
TUBB3,697.2792,1271.1388,317.3616,5868.6769,451.6129,104.8746,5180.0604,1712.3274,5300.0176,762.0375,5868.6769,2166.53869,1016.58815,104.8746
TUBB4B,18612.7685,19820.3808,22261.9865,9911.0956,9021.3472,11739.0872,9550.4471,12111.3896,8478.3439,8323.2591,22261.9865,12983.01055,10825.0914,8323.2591
ZBTB18,223.1504,36.4028,281.0578,806.0903,108.6338,608.0029,196.3746,80.1364,256.5634,425.1378,806.0903,302.15502,239.8569,36.4028
AGPAT2,9686.7542,5004.9096,3384.3788,363.3182,1038.425,1382.2566,4235.6495,1109.4061,2125.4615,1487.5413,9686.7542,2981.81008,1806.5014,363.3182
IFI44,559.0692,59.8731,119.9262,180.959,3667.4573,1186.3182,65.861,3093.4925,158.1488,474.9724,3667.4573,956.60777,327.9657,59.8731
PRPF8,5289.9761,6011.2561,7148.2165,6982.8491,4607.2106,4222.1764,5275.5287,2879.7954,7320.3811,5757.0011,7320.3811,5549.43911,5523.4886,2879.7954
NUDC,2740.4535,2722.5482,2528.9053,2766.5383,3645.1613,1648.8516,2974.0181,3563.5124,2542.1322,3543.1092,3645.1613,2867.52301,2753.4959,1648.8516
PLK2,1116.9451,1775.5957,1004.92,184.8092,3595.351,247.0012,556.4955,3540.7786,415.2019,833.5171,3595.351,1327.06153,919.21855,184.8092
ZBTB6,88.9021,247.635,167.8967,427.3714,203.5104,422.752,215.71,226.769,281.0447,218.3021,427.3714,249.98934,222.53555,88.9021
GJB6,15.5131,3070.77,192.4969,983.8992,11801.7078,1351.9752,2419.9396,543.3362,455.8407,101.4333,11801.7078,2093.6912,763.6177,15.5131
USP20,882.4582,639.4444,497.54,871.1936,595.8254,893.598,1072.5076,987.2123,849.9887,843.2194,1072.5076,813.29876,860.59115,497.54
YIF1A,1177.2076,1441.2645,1848.7085,1726.6363,1362.4288,1302.1,1227.7946,1403.2396,1089.4153,1145.3142,1848.7085,1372.41094,1332.2644,1089.4153
MAN1A2,317.4224,316.6088,351.1685,721.7361,212.0493,655.5031,193.3535,307.4737,585.1017,463.5061,721.7361,412.39232,334.29545,193.3535
EHMT2,1323.389,1633.8163,1170.9717,2497.3749,1537.0019,1145.943,2028.3988,2134.129,7087.3197,3361.8523,7087.3197,2392.01966,1831.10755,1145.943
POP1,112.1718,540.7736,168.5117,424.9212,170.3036,137.7507,183.0816,184.7116,418.1396,143.7707,540.7736,248.41361,176.6926,112.1718
TLK2,557.2792,536.9417,778.5978,846.3423,755.6926,802.7538,683.9879,921.2845,1099.2078,577.2878,1099.2078,755.93754,767.1452,536.9417
KLK8,0,4.3109,0.615,0,0,0,21.7523,14.2086,5.8755,0,21.7523,4.67623,0.3075,0
PPM1E,10.9069,2.5817,21.7712,8.9779,1.518,6.4838,9.1601,4.1887,11.2124,9.1996,21.7712,8.60003,9.069,1.518
ZBTB1,810.8592,775.4233,613.7761,884.8442,643.2638,1155.4014,494.2598,745.6152,598.7524,566.0551,1155.4014,728.82505,694.4395,494.2598
PTGR1,2204.6539,766.8543,2525.2153,2028.3514,749.0512,4960.2111,4416.3142,467.1782,1086.4775,306.505,4960.2111,1951.08121,1557.41445,306.505
FAIM2,1.1933,1.437,7.3801,8.7504,5.6926,4.1563,32.6284,17.6186,2.4481,2.2051,32.6284,8.35099,4.92445,1.1933
RBM34,1266.1098,866.0041,536.9004,865.5933,1344.4118,751.0973,935.9517,919.8636,661.4832,865.2701,1344.4118,901.26853,865.7987,536.9004
DTX4,1896.778,2553.9456,2835.7934,3155.0578,388.0455,4199.02,3482.1752,795.6806,3617.838,1362.2933,4199.02,2428.66274,2694.8695,388.0455
PHLPP1,1084.7255,696.9225,792.1279,526.7763,655.5977,1480.2258,475.5287,184.7116,320.2147,504.5204,1480.2258,672.13511,591.187,184.7116
EXOC7,3585.6205,3490.8586,4870.2337,2017.1509,2150.3795,5116.0356,6288.3082,5150.628,5934.3756,2865.7111,6288.3082,4146.93017,4227.9271,2017.1509
SPECC1L,872.315,839.6599,809.3481,647.8824,527.0398,1002.8485,1269.4864,627.451,1701.936,893.054,1701.936,919.10211,855.98745,527.0398
NUDCD3,1428.9976,1954.257,1979.0898,2075.2538,1741.9355,2006.8846,2238.0665,1312.873,2560.738,1708.9305,2560.738,1900.70263,1966.6734,1312.873
PIP5K1C,2137.8282,1299.9641,1460.0246,789.9895,817.8368,1547.3199,1633.8369,1287.8659,1443.4141,1089.3054,2137.8282,1350.73854,1371.6891,789.9895
CRB1,1.79,0,0,0.35,0,0,0,0,0,0,1.79,0.214,0,0
GPR161,54.2959,89.0911,66.4207,113.0557,252.3719,29.6876,249.5468,125.6039,184.0989,76.7365,252.3719,124.0909,101.0734,29.6876
LPAR3,0.5967,24.9072,27.6753,24.5012,228.1784,174.5633,105.136,10.2302,19.0954,132.3043,228.1784,74.7188,26.29125,0.5967
CD2AP,2803.1026,1734.8821,3014.7601,6074.9037,1792.6945,3589.8296,1543.2024,896.2774,1625.5545,1693.495,6074.9037,2476.87019,1763.7883,896.2774
NUP62,1095.4535,2544.1265,1295.0677,2913.6052,1384.5209,2988.7142,1959.0091,1814.4984,4258.4093,2351.8765,4258.4093,2260.52813,2155.4428,1095.4535
IFIT5,573.389,73.2846,246.0025,168.7084,1384.2505,416.2207,127.4924,488.2069,176.7546,300.3308,1384.2505,395.46404,273.16665,73.2846
FSCN2,5.3699,31.613,12.3001,1.4001,1.4231,4.1563,15.71,7.9568,2.4481,5.2922,31.613,8.76696,5.33105,1.4001
POU2F3,6.5632,73.2846,914.5141,34.3017,0.9488,16.6251,72.5076,150.611,79.8089,242.9989,914.5141,159.21639,72.8961,0.9488
ASF1A,275.0597,348.2218,202.952,1005.2503,336.8121,1331.7876,358.9124,210.287,1361.1571,266.8137,1361.1571,569.72537,342.51695,202.952
MPC2,427.2076,591.0669,1480.9348,493.8747,472.9602,1760.4771,765.5589,593.9187,635.0434,848.9526,1760.4771,806.99949,614.48105,427.2076
SH2B1,2064.4391,902.4069,1341.3284,653.8327,648.9564,1401.8504,1688.2175,1048.5934,943.0175,1328.7762,2064.4391,1202.14185,1188.6848,648.9564
TMEM98,409.3079,257.2147,2523.9852,296.4648,808.3491,1303.2875,751.6616,416.5956,2282.631,322.3815,2523.9852,937.18789,584.1286,257.2147
TCTN3,796.5394,775.476,531.3653,823.5912,777.5142,707.1596,555.287,660.4149,989.0422,670.3418,989.0422,728.67316,741.3178,531.3653
KCNG2,0,3.3529,1.23,1.7501,0.9488,0,3.0211,6.8201,0.9792,3.9691,6.8201,2.20713,1.49005,0
CABYR,14.3198,84.7803,71.9557,98.7049,120.4934,178.7196,134.139,116.5104,217.3934,14.5535,217.3934,105.157,107.60765,14.3198
OR10G3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF16,1260.7399,1026.9429,1513.5301,277.5639,246.2049,322.4078,609.0634,678.6019,452.4134,1741.5656,1741.5656,812.90338,643.83265,246.2049
BBS9,81.7422,160.4598,178.9668,309.0655,185.4839,163.282,199.3958,132.424,317.2769,366.4829,366.4829,209.45798,182.22535,81.7422
DROSHA,1010.7399,866.0041,1454.4895,1301.7151,1016.6034,1307.4437,2091.8429,2055.6976,1830.2177,1408.1588,2091.8429,1434.29127,1357.80125,866.0041
SCG3,0.5967,1.437,24.6002,1.0501,0.4744,0,3.0211,0.5683,6.3651,0.441,24.6002,3.85539,0.8234,0
UQCR10,6320.4057,2757.0351,2192.4969,2003.1502,2059.7723,2714.0442,2236.858,1457.8005,3315.7395,2134.5094,6320.4057,2719.18118,2214.67745,1457.8005
CERS2,6957.0406,3520.0575,11986.4699,8480.924,3091.0816,1826.9775,3993.3535,4647.343,7556.8699,3300.9923,11986.4699,5536.11098,4320.34825,1826.9775
RRM2B,588.3055,1576.3382,880.6888,605.5303,623.3397,577.7215,1480.9668,1049.73,470.0399,527.0121,1576.3382,837.96728,614.435,470.0399
MYEF2,24.463,5.2688,178.9176,311.8551,18.5294,128.5712,136.139,17.7664,450.0142,9.4862,450.0142,128.10109,76.5171,5.2688
EXOSC1,423.6277,604.9575,293.3579,798.7399,528.9374,301.6264,480.3625,475.7033,575.3092,548.1808,798.7399,503.08026,504.64995,293.3579
APIP,289.6539,212.1135,428.5547,549.9405,423.3966,247.9037,228.1329,146.1267,1123.8555,233.0673,1123.8555,388.27453,268.7788,146.1267
CUTC,456.2232,242.4524,138.7269,281.3826,211.1006,130.3169,208.2236,232.5604,543.3906,303.6472,543.3906,274.80244,237.5064,130.3169
TRAPPC12,1288.7828,683.032,936.0394,950.2975,555.5028,1116.2553,1010.2719,772.9469,786.8271,732.5248,1288.7828,883.24805,861.43325,555.5028
ANGPTL4,9359.7852,1734.4031,5200.492,7089.6045,2125.2372,61.7503,228.3988,2649.6164,476.405,280.0441,9359.7852,2920.57366,1929.82015,61.7503
DYNC1LI1,551.3126,703.1493,555.3506,2096.6048,1083.9658,591.9716,937.1601,570.6167,1308.7672,554.355,2096.6048,895.32537,647.56045,551.3126
TUBE1,164.0811,186.804,105.1661,355.6178,153.7002,117.5631,184.29,150.611,329.5175,94.3771,355.6178,184.17279,158.89065,94.3771
ZNF639,529.2363,384.1456,447.7245,537.9769,569.26,415.627,523.2628,325.6607,471.0191,630.6505,630.6505,483.45634,497.14095,325.6607
CHST15,356.8019,541.7315,86.1009,208.2604,1023.7192,84.3129,536.5559,844.5581,558.1723,361.1907,1023.7192,460.14038,448.8733,84.3129
BIN2,26.253,67.0578,27.6753,182.3591,278.463,150.8132,15.1057,267.6897,44.0662,58.2139,278.463,111.76969,62.63585,15.1057
LCMT1,754.7733,567.1177,635.9164,3315.0158,631.4042,394.8456,586.1027,762.1483,950.8515,687.1003,3315.0158,928.52758,661.50835,394.8456
GSKIP,655.1313,425.8173,680.8118,498.4249,953.9848,770.6912,266.4653,477.4084,479.3427,657.9934,953.9848,586.60711,576.7781,266.4653
JKAMP,371.7184,698.8385,791.5129,433.3217,884.2505,1018.2861,500.3021,786.5871,604.1971,522.602,1018.2861,661.16164,651.5178,371.7184
UBE2D4,311.2768,214.9395,221.2423,161.0781,64.3311,249.7681,218.006,100,401.9771,122.1786,401.9771,206.47976,216.47275,64.3311
DHRS7,1951.6706,1005.8676,2734.3173,1452.9226,2635.6736,2754.4194,938.3686,1030.4064,1125.6475,460.86,2754.4194,1609.01536,1289.28505,460.86
ASB1,225.8473,377.665,516.8942,217.8124,298.2021,211.471,461.2749,259.1077,318.5646,239.8942,516.8942,312.67334,278.6549,211.471
GPRC5B,117.5418,278.769,266.2977,210.7105,21.8216,61.7503,160.1208,217.1071,714.8523,207.2767,714.8523,225.62478,208.9936,21.8216
LUC7L3,1994.6301,2385.8221,1598.401,2390.9695,2606.7362,2551.9497,3746.2236,2115.942,3375.9633,1588.5336,3746.2236,2435.51711,2388.3958,1588.5336
TM7SF3,764.3198,3806.0113,4021.5252,323.4162,2863.3776,884.098,1659.2145,2912.7593,930.2872,1486.2183,4021.5252,1965.12274,1572.7164,323.4162
MYOZ2,0.5967,0,0.615,0,0,0,3.6254,5.1151,0.4896,0,5.1151,1.04418,0.2448,0
SPA17,164.0811,174.8294,181.4268,135.4568,212.9981,39.1877,60.423,80.1364,81.2777,99.6692,212.9981,122.94862,117.563,39.1877
FGFRL1,655.7279,263.4415,565.1907,654.5327,215.8444,143.0944,108.7613,211.992,1472.7915,304.7409,1472.7915,459.61173,284.0912,108.7613
CNNM2,207.6372,256.7357,277.9828,213.5107,152.7514,143.0944,106.9486,93.7766,338.8204,266.3727,338.8204,205.76305,210.57395,93.7766
CHTF8,1418.8544,2163.6882,1110.0677,1678.7819,2023.7192,2282.8015,1577.6435,2536.1523,2236.0481,4944.9305,4944.9305,2197.26873,2093.7037,1110.0677
FAM118A,439.1408,970.4227,776.7528,1143.8572,345.351,1007.5986,2305.136,656.4365,431.8491,724.5865,2305.136,880.11312,750.66965,345.351
PRPF39,633.0549,515.3874,460.0246,592.9296,466.7932,821.7539,554.0785,491.0486,513.6165,365.1599,821.7539,541.38471,514.50195,365.1599
RALGPS2,457.0406,490.9592,1043.0504,326.5663,289.3738,450.6584,543.2024,603.0122,430.8699,281.3671,1043.0504,491.61003,453.8495,281.3671
KLHL11,8.9499,6.7058,24.6002,63.0032,11.3852,15.4376,3.6254,6.8201,40.1492,17.1996,63.0032,19.78762,13.4114,3.6254
ECHDC2,1822.7924,735.7203,1634.6863,471.4736,771.8216,958.3171,1993.9577,1129.2981,743.2505,647.409,1993.9577,1090.87266,865.06935,471.4736
ZNF444,552.506,926.8351,383.1488,993.3497,486.7173,462.5335,876.7372,631.4294,844.6029,626.2404,993.3497,678.41003,628.8349,383.1488
TBC1D2,2712.4105,1018.3212,368.3887,239.062,1731.9734,2630.325,931.7221,1827.2236,226.6963,2918.6329,2918.6329,1460.47557,1375.1473,226.6963
CHST12,642.6014,571.4286,316.1132,132.3066,345.351,356.2517,497.8852,371.6965,511.1683,270.3418,642.6014,401.51443,363.9741,132.3066
HES6,202.864,188.2409,465.5597,124.9562,72.1063,64.1253,487.6133,71.6113,521.9401,37.9272,521.9401,223.69443,156.59855,37.9272
STAP2,2668.2578,2061.0705,1428.0443,1536.2268,1345.8254,2322.7611,2175.2266,2443.3078,103.3108,982.1389,2668.2578,1706.617,1798.64865,103.3108
NGLY1,628.8783,603.9995,643.9114,652.7826,594.8767,1174.4431,899.0937,384.7684,295.2438,580.3749,1174.4431,645.83724,616.4389,295.2438
UNC45A,3371.7184,2585.0796,2186.9619,2501.5751,1978.6528,2149.3852,2169.7885,3258.8804,1265.6802,2988.7541,3371.7184,2445.64762,2344.2685,1265.6802
CPXM1,70.4057,586.2771,224.4772,219.461,251.4231,55.8128,1436.2538,3522.5916,717.79,897.4642,3522.5916,798.19565,418.8501,55.8128
SPHK2,327.685,2988.672,389.9139,962.3031,150.8966,327.9,1024.8943,270.2472,1081.1798,532.2337,2988.672,805.59256,461.0738,150.8966
CDC42SE2,2058.4726,988.6241,1075.0308,1188.6594,1170.778,1638.1641,621.148,1633.9869,728.5618,733.8479,2058.4726,1183.72736,1122.9044,621.148
SLC17A6,0,0,1.23,0,0,0,0,0,0,0,1.23,0.123,0,0
REXO1,1465.9905,943.1206,1221.4022,586.6293,777.5142,798.0038,1587.3112,1107.7011,1248.5434,717.9713,1587.3112,1045.41876,1025.41085,586.6293
CNOT6,757.7566,1212.7889,883.1488,1806.7903,1438.3302,1308.6312,779.4562,781.472,1530.5673,945.9757,1806.7903,1144.49172,1079.3823,757.7566
CALCOCO1,1192.7208,1037.9595,1102.706,3074.5537,1048.8615,1673.1955,1232.6284,1770.9577,758.4289,1823.1533,3074.5537,1471.51653,1212.6746,758.4289
ZBTB26,25.6563,32.092,47.9705,115.8558,37.4763,84.9067,35.6495,41.4891,99.3938,39.6913,115.8558,56.01813,40.5902,25.6563
TRIB3,125.895,605.9155,467.4047,480.574,420.778,510.6274,804.8338,264.2796,591.4668,477.6185,804.8338,474.93933,479.09625,125.895
CYP4F11,2.9833,256.7357,281.0578,156.4578,0.9488,780.1912,24.7734,9.6618,105.2693,3.0871,780.1912,162.11662,65.02135,0.9488
TP53INP2,983.2936,444.4977,829.6433,1868.3934,222.4858,580.0965,411.4804,720.0909,1190.278,958.3241,1868.3934,820.85837,774.8671,222.4858
EPS15L1,727.327,873.6678,828.4133,938.3969,555.5028,762.9724,942.5982,716.1125,679.5993,666.3727,942.5982,769.09629,745.1497,555.5028
PRDM13,0.5967,1.9159,0,1.4001,6.6414,0.5938,0.6042,0,5.3859,2.2051,6.6414,1.93431,1.00215,0
SENP2,514.3198,399.9521,556.5806,668.5334,544.1176,643.0343,407.855,556.9764,1048.7764,910.6946,1048.7764,625.08402,556.7785,399.9521
CDH26,38.1862,64.6629,975.3998,3.1502,250.4744,1017.0986,1319.6375,52.8559,30.8464,17.6406,1319.6375,376.99525,58.7594,3.1502
C14orf93,403.3413,222.7278,167.8967,211.4106,154.1746,213.1573,230.2115,237.5675,220.3312,279.1621,403.3413,233.99806,221.5295,154.1746
MRPL17,1038.7828,1806.2507,1687.5769,1248.5124,2300.759,991.5672,1355.287,987.7806,1092.353,1458.4344,2300.759,1396.7304,1301.8997,987.7806
CENPK,31.0263,216.022,151.2915,200.91,410.8159,94.4067,94.864,126.1722,67.0786,116.8688,410.8159,150.9456,121.5205,31.0263
TMPRSS3,79.3556,4.3109,113.1611,6.3003,142.315,24.9376,8.4592,335.3225,5.3859,10.5843,335.3225,73.01324,17.76095,4.3109
MTHFSD,360.9785,364.5072,188.1919,162.4081,244.7818,178.1258,224.1692,409.2072,241.3851,612.1279,612.1279,298.58827,243.08345,162.4081
WNK1,2000,2233.984,3086.7159,2493.5247,2749.5256,2818.5447,2392.7492,2025.5754,1682.8406,1830.6505,3086.7159,2331.41106,2313.3666,1682.8406
MIS12,409.9045,301.2813,455.7196,509.2755,290.797,345.5641,271.2991,243.2509,721.707,394.2668,721.707,394.30658,369.91545,243.2509
C11orf49,711.8138,752.9637,802.583,540.427,334.4402,336.0641,574.0181,568.3433,664.9105,426.4609,802.583,571.20246,571.1807,334.4402
GLB1L,17.8998,59.3941,87.3309,120.056,74.0038,57.594,54.3807,94.9133,104.2901,115.1047,120.056,78.49674,80.66735,17.8998
LRFN3,442.1241,473.7157,512.3001,144.9072,250,294.5014,459.2145,561.5232,158.6385,405.7332,561.5232,370.26579,423.92865,144.9072
RNF219,202.864,444.2917,239.5941,448.7294,273.7192,332.3888,446.8701,348.9628,128.7566,446.9416,448.7294,331.31183,340.6758,128.7566
TCTN1,379.4749,177.3919,465.5597,451.5226,222.0114,134.7819,316.6163,269.3947,480.2632,368.5204,480.2632,326.5537,342.56835,134.7819
HMBOX1,56.0859,25.3862,57.1956,72.1036,37.0019,82.5316,31.4199,78.9997,85.6843,33.9581,85.6843,56.03668,56.64075,25.3862
PLEKHF2,253.58,1552.8679,822.8782,635.2818,276.0911,1438.0694,297.281,1339.5851,547.8902,657.5524,1552.8679,782.10771,646.4171,253.58
STEAP4,192.7208,27.7811,554.1205,34.3017,588.2353,24.3439,39.2749,48.8775,146.8875,165.8214,588.2353,182.23646,97.8825,24.3439
TBL1XR1,1612.7685,2088.8516,1520.2952,10742.0371,2221.537,2786.482,2540.7855,4512.0773,3006.7862,6363.8368,10742.0371,3739.54572,2663.63375,1520.2952
CLIP4,147.9714,34.4869,446.4945,112.0056,659.8672,302.2202,305.136,743.9614,377.9904,121.72,743.9614,325.18536,303.6781,34.4869
KATNBL1,656.3246,458.3882,345.0185,1175.7088,588.7097,233.3449,275.5287,419.4373,789.2753,310.9151,1175.7088,525.26511,438.91275,233.3449
PDZD3,5.3699,65.1419,955.7196,12.9506,0,45.1252,278.5498,0,21.0539,3.5281,955.7196,138.7439,17.00225,0
RIN3,570.4057,479.4635,421.8942,210.3605,671.2524,224.4386,545.0151,833.7596,435.2765,700.7718,833.7596,509.26379,512.2393,210.3605
SEMA6D,19.6897,2.8739,28.9053,10.1505,6.6414,7.7188,28.3988,23.8704,29.3775,29.1069,29.3775,18.67332,21.78005,2.8739
ZNF606,276.9749,247.635,186.9619,333.1887,95.8254,71.2503,197.5831,193.6687,505.8657,229.0584,505.8657,233.80121,213.32075,71.2503
EDEM3,477.9236,437.7919,1292.1279,1007.0004,663.1879,939.9107,1336.5559,454.6746,536.6288,1016.538,1336.5559,816.23397,801.5493,437.7919
SPHKAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUS1,997.0167,752.9637,787.8229,751.8376,808.3491,623.4405,1496.6767,653.5948,819.632,728.5557,1496.6767,841.98897,770.3933,623.4405
WDR61,463.0072,1034.1276,508.6101,787.8894,717.7419,703.5971,560.1208,878.0904,548.3798,960.9702,1034.1276,716.25345,710.6695,463.0072
TTYH3,747.6134,2293.857,1921.8942,1313.2657,2144.6869,1432.7256,6396.9789,2647.9113,5437.284,2220.0662,6396.9789,2655.62832,2182.37655,747.6134
TAS1R1,0.5967,0,8.6101,1.7501,0,2.9688,0,1.1367,1.4689,0,8.6101,1.65313,0.8667,0
TUBB1,8.3532,17.7224,9.8401,7.7004,6.167,17.2188,25.9819,10.2302,8.3236,13.2304,25.9819,12.4768,10.03515,6.167
HM13,3151.1098,6497.2051,3591.3715,5059.804,4233.6243,3475.1047,3186,3763.1145,3128.7273,7454.6064,7454.6064,4354.06676,3677.243,3128.7273
CALN1,0,0,1.23,0.7,0,0,0,1.705,9.3029,0,9.3029,1.29379,0,0
KLF16,806.6826,615.0162,821.0332,416.8708,1613.3776,472.6273,916.0121,1196.3626,550.3383,585.667,1613.3776,799.39877,710.8494,416.8708
KRTAP1-5,1.1933,2.8739,4.305,8.4004,0,1.1875,0.6042,2.2734,0,2.2051,8.4004,2.30428,1.6992,0
TATDN1,317.4224,547.0004,305.0431,719.286,307.8748,297.4702,271.9033,281.3299,631.6161,227.5634,719.286,390.65096,306.45895,227.5634
FBXO30,291.1695,250.9879,254.6125,654.1827,398.9564,224.4386,229.003,165.9562,386.8036,206.3947,654.1827,306.25051,252.8002,165.9562
PPP1R1B,211.2172,24.9072,3376.9988,4.5502,0,0,28.3988,28.4172,4064.3759,11.4664,4064.3759,775.03317,26.653,0
TRAF7,3453.7291,2549.9653,3230.0431,2333.1537,2483.871,1569.8112,2654.8097,2468.2126,4213.0603,2570.1963,4213.0603,2752.68523,2560.0808,1569.8112
DYDC2,0,0.479,0.615,0,0.9488,0,1.8127,1.1367,67.5682,0,67.5682,7.25604,0.547,0
LCOR,29.6897,32.3362,48.3149,185.3203,65.6784,58.0987,14.7432,16.8798,61.2178,93.9008,185.3203,60.61798,53.2068,14.7432
ACRBP,12.5298,16.2855,29.5203,25.2013,11.3852,2.9688,108.1571,103.4385,182.6301,50.2756,182.6301,54.23922,27.3608,2.9688
TUBB6,3781.8198,3582.6751,4156.7282,712.1456,8713.6812,297.583,1852.3746,1794.1631,3231.3086,1798.1874,8713.6812,2992.06666,2541.8416,297.583
LCE3D,0.5967,149.4432,0,0,0,0,3.0211,0,0,0,149.4432,15.3061,0,0
TUBA1C,8724.9403,13554.3049,11642.6814,9137.9069,14645.1613,6134.6542,6640.4834,8264.848,10457.4075,8319.2944,14645.1613,9752.16823,8931.4236,6134.6542
MAEL,0.5967,0,4.305,1.0501,3.3207,0.5938,0.6042,1.705,2052.0177,1.7641,2052.0177,206.59573,1.37755,0
TNKS1BP1,1708.8305,7435.2772,2938.4994,2569.8285,3116.6983,6603.1252,7812.6888,7266.2688,2544.5803,9219.4046,9219.4046,5121.52016,4859.91175,1708.8305
GTPBP10,210.6205,256.7357,268.7577,712.6356,268.0266,390.0956,265.861,258.5962,416.1811,269.9008,712.6356,331.74108,268.39215,210.6205
ZNF628,256.5632,281.1639,207.8721,220.511,107.2106,177.5321,236.2538,237.5675,242.3643,270.7828,281.1639,223.78213,236.91065,107.2106
CTU1,75.7757,178.1823,57.1956,143.1572,65.4649,46.3127,224.1692,101.7334,144.929,70.1213,224.1692,110.70413,88.75455,46.3127
KNSTRN,309.6659,440.1868,332.7183,1100.455,592.0304,141.3132,349.8489,309.7471,1576.1024,480.7056,1576.1024,563.27736,395.01785,141.3132
PYGO2,1494.0334,1678.8409,2343.1734,2824.2912,1231.0247,1840.04,2813.8973,1986.9281,4789.5103,2323.7045,4789.5103,2332.54438,2155.3163,1231.0247
ZNF479,0,0,0.615,0.35,0,0,0,0,22.0331,0,22.0331,2.29981,0,0
FDXACB1,60.8592,93.402,68.2657,44.8337,36.0531,90.8442,39.8792,63.0861,100.3731,43.2679,100.3731,64.08642,61.97265,36.0531
ZNF300,49.5227,83.3433,510.4551,295.4148,117.6471,235.7199,618.7311,51.1509,676.1719,108.4895,676.1719,274.66463,176.6835,49.5227
INTS4,394.9881,554.6641,496.31,380.119,440.7021,219.6885,642.2659,581.8471,379.9489,349.1114,642.2659,443.96451,417.8451,219.6885
UBTD2,449.284,1183.0918,520.2952,932.0966,499.0512,679.2532,706.3444,579.7101,798.5781,667.2547,1183.0918,701.49593,673.25395,449.284
MOB1B,720.7637,951.7423,549.2005,914.5957,731.0247,830.0665,540.7855,531.9693,587.0602,376.6262,951.7423,673.38346,653.91195,376.6262
UBE2Q2,368.7351,740.0311,453.8745,529.5765,822.1063,682.222,592.7492,649.048,677.6408,641.6759,822.1063,615.76594,645.36195,368.7351
EGLN3,1974.9403,4405.2209,1551.6605,128.8064,1097.2486,2386.2926,3238.0665,1342.9952,341.7581,497.9052,4405.2209,1696.48943,1447.32785,128.8064
TUBA3E,0,0,1.23,1.4001,0.4744,0.5938,0,0,861.2501,319.7354,861.2501,118.46838,0.5341,0
IL17F,0,0,0,0,0,0.5938,0,0,0.4896,0,0.5938,0.10834,0,0
C12orf57,1786.9928,1273.6199,993.2349,907.5954,1365.7495,853.2228,1454.3807,1498.7212,1042.4113,1958.9857,1958.9857,1313.49142,1319.6847,853.2228
SDSL,557.8759,293.6175,634.6863,163.8082,212.5237,184.6571,345.6193,315.4305,103.3108,164.4983,634.6863,297.60276,253.0706,103.3108
UHRF2,576.969,644.2342,479.7048,1311.8656,994.3074,801.5663,462.8399,527.4226,753.043,707.387,1311.8656,725.93398,675.8106,462.8399
