Gene,TCGA-B8-4143-01A-01R-1188-07,TCGA-KN-8428-01A-11R-2315-07,TCGA-KN-8428-11A-01R-2315-07,TCGA-B0-5098-01A-01R-1420-07,TCGA-UZ-A9PS-01A-11R-A42S-07,TCGA-UZ-A9PS-05A-11R-A42S-07,TCGA-P4-A5EB-01A-11R-A28H-07,TCGA-SX-A71S-01A-11R-A33Z-07,TCGA-HE-7130-01A-11R-1965-07,TCGA-A3-A8OV-01A-11R-A37O-07,TCGA-B9-A44B-01A-11R-A24Z-07,TCGA-IA-A83S-01A-11R-A355-07,MAX,AVG,MED,MIN
CSF1,1287.8412,477.3414,511.4477,519.7413,169.3062,448.776,159.486,520.8038,180.8564,467.0931,834.3596,246.7419,1287.8412,485.3162167,472.21725,159.486
CSF1R,2565.2605,275.5287,485.3822,151.4636,378.9593,1314.3056,491.3076,1249.1745,402.0151,1856.229,441.5025,1212.3157,2565.2605,901.9536917,488.3449,151.4636
CTLA4,188.5856,14.1994,8.1014,10.8918,3.0166,11.1382,0,9.0575,15.1134,6.5055,5.5419,11.41,188.5856,23.63010833,9.97465,0
CTPS1,383.1266,1107.2508,301.1624,634.7856,443.816,1016.8233,1047.997,380.4132,927.4559,198.6339,1048.0296,472.09,1107.2508,663.4653583,553.4378,198.6339
CYP4A11,16.8734,0,1534.6953,25.5276,0.3771,417.2178,200.6803,0.7548,2.0151,7329.936,1363.9163,370.826,7329.936,938.5683083,113.10395,0
EFNA3,135.0769,53.1722,26.4178,268.921,57.3643,20.8841,17.0068,23.021,492.1914,272.7963,255.8251,44.1711,492.1914,138.904,55.26825,17.0068
CELSR2,495.2854,1877.6435,2240.9299,849.5575,1190.7994,953.7069,1303.099,7238.4187,4107.3048,1640.6809,1895.3202,1339.9654,7238.4187,2094.392633,1490.32315,495.2854
ACSL3,653.598,2023.8671,1873.547,1648.7406,839.7436,2191.9016,1478.836,1222.0021,3589.4207,888.6479,496.9212,1357.0805,3589.4207,1522.025525,1417.95825,496.9212
FGFR1,2357.8164,4658.006,2033.4625,3778.4207,1739.0649,439.9582,1834.845,2237.947,186.9018,1543.5325,5214.2857,1568.8791,5214.2857,2299.42665,1934.15375,186.9018
FGFR3,238.2134,3.0211,895.3857,86.113,508.6727,915.1874,430.4611,1152.1842,25068.0101,753.3341,1600.9852,508.4595,25068.0101,2680.002292,631.0034,3.0211
FKBP1A,6477.6923,4248.5347,3683.7584,5388.373,5688.6425,2833.3032,3660.6463,1656.4129,6458.262,3560.7286,5673.75,4504.8225,6477.6923,4486.243867,4376.6786,1656.4129
FOXC1,195.5335,246.5257,1555.8295,65.0102,1259.4268,399.1182,1469.0098,5630.3425,458.9421,69.8254,253.0788,964.8607,5630.3425,1047.291933,429.03015,65.0102
FLT1,7623.8213,784.8943,2205.0018,572.8387,226.9985,1706.4625,295.5404,160.0151,2129.9748,7320.3947,1418.7192,233.9056,7623.8213,2056.547242,1101.80675,160.0151
FLT3,28.7841,3.0211,26.77,6.467,100.6787,34.3427,523.0537,1.5096,4.0302,18.649,161.33,12.8363,523.0537,76.78936667,22.7095,1.5096
