Gene,TCGA-B8-4143-01A-01R-1188-07,TCGA-KN-8428-01A-11R-2315-07,TCGA-KN-8428-11A-01R-2315-07,TCGA-B0-5098-01A-01R-1420-07,TCGA-UZ-A9PS-01A-11R-A42S-07,TCGA-UZ-A9PS-05A-11R-A42S-07,TCGA-P4-A5EB-01A-11R-A28H-07,TCGA-SX-A71S-01A-11R-A33Z-07,TCGA-HE-7130-01A-11R-1965-07,TCGA-A3-A8OV-01A-11R-A37O-07,TCGA-B9-A44B-01A-11R-A24Z-07,TCGA-IA-A83S-01A-11R-A355-07,MAX,AVG,MED,MIN
BCCIP,900.1588,501.3867,1227.0553,1224.6018,1087.5339,1144.2766,918.5525,850.1481,481.6675,1260.3578,612.7032,738.5713,1260.3578,912.251125,909.35565,481.6675
OLFML3,1151.861,380.3625,610.4262,488.7679,53.5445,277.0623,129.6296,483.0644,113.8539,373.848,125,226.7743,1151.861,367.84955,325.45515,53.5445
ADPRM,313.6476,76.435,124.6918,166.7801,118.4012,74.7186,94.4822,143.0324,32.2418,155.264,44.335,112.674,313.6476,121.391975,115.5376,32.2418
ZNF398,251.1166,424.7734,305.3892,164.0572,149.6983,206.9846,208.2389,471.7426,1361.2091,347.8261,105.2956,183.2736,1361.2091,348.3004333,229.67775,105.2956
EBF4,143.4243,160.1208,212.0465,232.4711,48.2655,28.3095,74.8299,583.4513,190.932,246.7744,204.4335,110.5347,583.4513,186.2994583,175.5264,28.3095
GUF1,508.6849,914.5015,606.9038,290.6739,771.1161,1012.1824,634.5427,483.0644,571.2846,634.5007,506.7734,634.6829,1012.1824,630.7426083,620.70225,290.6739
SCOC,580.1489,1406.9486,2384.9947,766.1675,1733.4087,2232.7416,1860.5442,1542.4097,724.4332,1262.4959,1432.266,2063.0761,2384.9947,1499.136258,1487.33785,580.1489
OXCT2,50.6203,0.6042,2.1134,6.1266,16.9683,4.6409,28.3447,5.2835,7.5567,16.9142,8.0049,59.1895,59.1895,17.19726667,7.7808,0.6042
GFRA4,0,0,0.7045,0.3404,0,1.3923,0,0,0,0,0,0,1.3923,0.2031,0,0
RNF25,550.3722,167.3716,432.5467,471.0688,269.9849,488.2237,622.0711,486.8384,216.1209,425.0244,789.4089,363.6947,789.4089,440.2271917,451.80775,167.3716
ETNPPL,0.4963,0,72.913,2.7229,13.1976,192.1337,170.446,0.3774,39.2947,0,96.6749,14.2625,192.1337,50.20991667,13.73005,0
C12orf43,294.7891,187.9154,228.6016,348.1961,343.1373,171.7137,334.0892,264.5533,164.2317,275.3985,230.9113,297.3739,348.1961,261.7425917,269.9759,164.2317
MRPL14,1015.8809,585.1964,622.05,762.083,467.5716,861.3528,678.7604,415.1335,407.5567,706.9283,740.1478,921.3599,1015.8809,682.001775,692.84435,407.5567
WNK2,20.3474,4.8338,89.8979,68.7509,192.5377,12.5351,28.7302,859.7604,116.4181,0.4337,8.0049,100.3013,859.7604,125.2126167,48.74055,0.4337
DLK2,5.9553,0,1.4089,14.2954,0,0.9282,0.3779,0.7548,0,31.66,1.8473,0,31.66,4.768983333,0.8415,0
SAP30L,853.598,1016.6163,1337.0905,666.7801,675.7164,1141.1997,904.384,1295.9713,1350.1259,1035.238,477.2167,512.0251,1350.1259,938.8301667,960.50015,477.2167
FBXO31,772.7047,342.9003,582.2473,561.6065,696.8326,285.4159,479.5918,439.6641,493.7028,533.449,1083.7438,529.1401,1083.7438,566.7499083,531.29455,285.4159
TTC26,76.4268,72.5076,151.1095,208.305,190.7994,40.84,229.0249,277.0073,94.7103,160.0347,144.7044,142.6254,277.0073,149.0079417,147.90695,40.84
C6orf62,4667.1464,1842.4441,2411.0673,3810.6637,2799.9585,3448.3536,2738.3333,2576.7563,1365.8992,3568.9342,2967.7278,3715.4053,4667.1464,2992.724142,2883.84315,1365.8992
PCGF6,128.536,75.2266,143.7126,368.6181,98.7934,83.5364,83.5223,150.2028,94.7103,139.2172,60.9606,121.9447,368.6181,129.08175,110.36905,60.9606
SYT3,0.9926,1.5106,27.8267,134.1048,44.1176,1.3923,1.8896,8.6801,6.5491,0,80.0493,5.705,134.1048,26.06814167,6.12705,0
CMSS1,325.5583,629.9094,260.3029,645.6773,433.2579,100.2436,284.5805,162.6569,200.5038,160.0347,112.069,508.4595,645.6773,318.6044833,272.4417,100.2436
TRIM55,19.8511,134.4411,224.727,6.1266,164.0271,14.8509,215.7974,203.4154,0,682.6412,32.6355,175.4292,682.6412,156.161875,149.2341,0
AIFM2,511.1663,454.3807,533.9908,457.1137,27.9035,157.7909,1017.3847,250.9671,435.2645,350.862,41.2562,857.1785,1017.3847,424.6049083,444.8226,27.9035
TMEM241,84.3672,115.71,98.274,244.3839,118.0241,45.4809,88.0574,108.6895,173.2997,113.1953,123.1527,86.2884,244.3839,116.576925,110.9424,45.4809
PSKH2,0,5.136,8.4537,0,0,0,0,0,0,0,0,0,8.4537,1.132475,0,0
NAF1,121.5881,154.0785,172.596,139.2103,116.8929,89.5696,109.2215,201.9058,143.5768,132.7117,44.335,96.2721,201.9058,126.8298583,127.1499,44.335
KLHL32,21.8362,9.9698,77.1398,22.8046,45.6259,12.9945,54.7997,38.4942,4.534,121.4355,49.2611,36.3695,121.4355,41.27206667,37.43185,4.534
MRFAP1L1,932.5062,1034.4411,1294.4699,780.4629,978.5068,1290.1729,1280.0454,1276.7242,1004.0302,1197.0075,1269.0887,1004.0827,1294.4699,1111.794875,1115.7243,780.4629
DIS3L,518.1141,2109.3656,731.2434,524.1661,457.3906,444.5991,616.0242,623.455,621.1587,540.3882,190.2709,314.489,2109.3656,640.8887417,532.27715,190.2709
HSPB6,99.2556,146.2236,646.3544,168.1416,39.9698,30.1659,21.9199,41.5134,36.272,101.0517,301.1084,173.2898,646.3544,150.4388417,100.15365,21.9199
TCHHL1,0,0,0,0,0,0,0,0.3774,0,0,0,0,0.3774,0.03145,0,0
SLX4IP,38.7097,45.6193,13.7372,36.4193,49.0196,21.3482,4.9131,30.5689,54.4081,10.4088,6.1576,4.2788,54.4081,26.29905,25.95855,4.2788
CST9,0,0,4.5791,0,0,0,0,0,0.5038,0,0,0.7131,4.5791,0.483,0,0
FBLN7,119.603,740.4834,64.4593,11.9129,242.0814,65.4368,144.3689,409.4726,14.6096,163.5043,60.9606,198.2493,740.4834,186.2618417,131.98595,11.9129
WDSUB1,282.8784,108.7613,414.5826,232.8114,253.7707,785.706,298.1859,267.5724,131.4861,425.4581,111.4532,226.0612,785.706,294.8939417,260.67155,108.7613
ADAD2,0,0.3021,7.6189,1.0211,1.5083,1.3923,0.7559,1.0378,18.5491,0.4337,7.383,0.7131,18.5491,3.392941667,1.02945,0
TDRD5,0.9926,0,65.1638,154.8673,6.4103,25.0609,0,10.9444,53.9043,0,3.6946,2.8525,154.8673,26.99089167,5.05245,0
CDC20B,1.9851,226.284,26.4178,3.744,0.3771,328.1123,1.8896,0,0,1.3011,7.3892,0.7131,328.1123,49.85110833,1.93735,0
ZNF596,81.3896,44.713,92.9905,82.7093,64.1026,113.2382,50.2646,133.5975,27.7078,178.6837,107.1429,70.5996,178.6837,87.26160833,82.04945,27.7078
OLFML2A,3267.4938,630.2115,599.5069,2964.6018,92.006,223.6918,47.2411,1266.1572,290.6801,1557.4108,426.1084,67.0339,3267.4938,952.6786083,512.80765,47.2411
KLHDC8B,488.3375,483.6858,608.665,232.4711,586.727,646.0146,541.9501,483.0644,607.0529,367.7762,1208.7438,954.8769,1208.7438,600.7804417,564.33855,232.4711
CENPV,19.8511,3.6254,140.5424,312.4575,72.0211,83.5364,126.2283,259.6471,74.5592,289.2768,115.1478,129.076,312.4575,135.497425,120.68805,3.6254
SLC44A5,14.3921,0.3021,8.4537,71.1368,0.7541,1.8564,116.78,184.5457,1456.927,2.1685,19.0887,1.4263,1456.927,156.48595,11.4229,0.3021
SPATS1,0,6.3444,0,0,1.1802,0,0,0,0,0,0,0,6.3444,0.62705,0,0
SP8,0,0,0.3522,2.3826,0,0,0.3779,0,0,0,6.7734,0,6.7734,0.823841667,0,0
ZBTB38,4523.5732,2631.1178,1915.111,1055.8203,4132.73,2526.0471,1634.1648,1476.3657,1353.6524,1180.9606,1353.4483,1288.6203,4523.5732,2089.300958,1555.26525,1055.8203
C2orf72,3.9702,28.7009,88.0592,212.049,35.822,43.1605,3.0234,68.6857,5.5416,644.0421,44.9507,15.6888,644.0421,99.47450833,39.49125,3.0234
TTC9C,671.9603,468.2779,237.0553,531.6542,257.5415,261.2832,293.2729,139.2584,250.8816,321.3705,154.5567,202.528,671.9603,315.803375,259.41235,139.2584
RCOR2,11.9107,165.2568,14.7939,165.4187,11.3122,1.3923,5.291,7.1705,109.8237,13.4446,0,4.9919,165.4187,42.56719167,11.61145,0
CYP4A11,0,0,0.7045,0,0,5.105,0,0,3.0227,8.2403,8.6207,0,8.6207,2.1411,0,0
ZFP41,241.2308,469.8308,259.0525,288.5058,240.1207,320.4595,420.873,428.0743,769.3652,467.1322,649.1318,150.8406,769.3652,392.0514333,370.66625,150.8406
ANO9,491.3151,358.006,209.9331,354.663,65.6109,497.5055,257.7475,370.601,557.6826,189.0925,1304.803,294.5214,1304.803,412.6234667,356.3345,65.6109
TREML1,1.4888,0.9063,1.0567,1.0211,1.8854,7.4255,1.5117,1.887,0,4.337,3.0788,9.9838,9.9838,2.881841667,1.69855,0
PRAMEF10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2orf48,25.8065,0.6042,0,16.3376,1.5083,3.7127,0.3779,0.7548,2.5189,2.1685,27.7094,1.4263,27.7094,6.910425,1.8384,0
LCE1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP10-9,0,0,0,0,0,0,0,0,0,0.4337,0,0,0.4337,0.036141667,0,0
VHLL,1.4888,0,0,0,0,0.9282,0,0,0.5038,0,0,0,1.4888,0.2434,0,0
ANKRD65,23.3251,13.2931,149.7006,9.8707,0.3771,1.3923,9.4482,108.3121,3131.9899,51.6101,3.6946,50.632,3131.9899,296.13715,18.3091,0.3771
C16orf90,0,0,0.3522,0.6807,0.3771,0,0.7559,0,1.0076,0,1.2315,0,1.2315,0.367083333,0.1761,0
SPATA31A3,0,0,0,0.3404,0,0.4641,0,0,0,0,0,0,0.4641,0.067041667,0,0
DNLZ,99.7519,168.2779,147.5872,75.2212,67.1192,104.8846,75.9637,81.1397,121.9144,111.4605,62.8079,152.6092,168.2779,105.7281167,102.31825,62.8079
SHISA9,1095.2854,477.9456,166.608,525.5276,299.7738,412.1128,411.1867,36.2298,1.0076,206.8741,310.3448,74.1652,1095.2854,334.7551167,305.0593,1.0076
