Gene,TCGA-DK-A6AW-01A-11R-A30C-07,TCGA-YC-A89H-01A-11R-A36F-07,TCGA-MV-A51V-01A-11R-A26T-07,TCGA-DK-A1AC-01A-11R-A13Y-07,TCGA-DK-A3WW-01A-22R-A23N-07,TCGA-DK-A6B6-01A-11R-A30C-07,TCGA-ZF-A9RC-01A-11R-A38B-07,TCGA-SY-A9G5-01A-11R-A38B-07,TCGA-XF-AAMG-01A-11R-A42T-07,TCGA-FD-A6TC-01A-21R-A33J-07,MAX,AVG,MED,MIN
FLG,1.79,4100.8454,0.615,1.7501,0.9488,1.1875,8.5438,0,13.876,6.9636,4100.8454,413.65202,1.77005,0
FLT1,3764.9165,478.9846,2193.7269,1014.0007,737.666,267.7825,374.0181,325.6607,1999.6279,687.1003,3764.9165,1184.34842,712.38315,267.7825
FLT3,1.1933,0.479,0.615,4.9002,1.4231,5.9375,0,4.5467,1.4689,1.323,5.9375,2.18867,1.37305,0
FLT4,604.4153,33.0499,388.6839,118.6559,53.1309,26.7189,90.0302,153.4527,559.1516,112.0176,604.4153,213.93069,115.33675,26.7189
FSHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GJB1,2.3866,1.9159,2308.1181,2.1001,0,21.3751,3.0211,0.5683,56.3069,0,2308.1181,239.57921,2.24335,0
GRM3,17.8998,0.479,52.8905,905.4953,0.9488,20.7813,1.8127,0.5683,231.1029,2.2051,905.4953,123.41837,10.05245,0.479
FOXA2,1.1933,9.5797,0,363.3182,0,2.375,22.3565,0,1.4689,0,363.3182,40.02916,1.3311,0
JAK1,2224.3437,1094.0007,4194.9569,1730.1365,3092.9791,2570.9498,2921.4502,2758.7383,2075.5197,3072.9879,4194.9569,2573.60628,2664.84405,1094.0007
JAK2,268.4964,164.2917,171.5867,498.7749,428.3681,338.4391,111.1782,610.969,195.3603,69.6803,610.969,285.71447,231.92835,69.6803
KDR,617.5418,111.6034,990.1599,331.8166,152.7514,185.8446,133.5347,206.3086,691.3503,284.8953,990.1599,370.58066,245.60195,111.6034
KIT,34.6062,24.4282,30.7503,25.2013,21.3472,55.219,352.2659,109.1219,886.7106,64.3881,886.7106,160.40387,44.9126,21.3472
LCP1,244.0334,4324.7515,445.8795,3888.3444,11300.2846,2461.6992,1389.7281,3889.7414,1409.6299,410.5843,11300.2846,2976.46763,1935.66455,244.0334
LIMK1,797.136,918.2134,1379.4588,780.189,939.2789,853.2228,2235.6495,1812.4467,1877.7113,964.0573,2235.6495,1255.73637,951.6681,780.189
MAGEA8,0,0,0,0,7.1157,4.1563,0,0.5683,435.2765,2.2051,435.2765,44.93219,0.28415,0
MBP,853.222,370.2551,349.3235,451.8726,706.8311,1607.8827,235.6495,199.4885,355.4676,243.4399,1607.8827,537.34325,362.86135,199.4885
MEP1B,0.5967,0,0,0,0,0,0,0,0.4896,0,0.5967,0.10863,0,0
MET,2105.0119,850.6766,971.7097,595.3798,4277.0398,1117.4428,450.7553,3371.9807,611.5414,2361.6318,4277.0398,1671.31698,1044.57625,450.7553
MSMB,0,0.479,132.8413,0,0,104.5005,18.7311,1.1367,0,23.3738,132.8413,28.10624,0.80785,0
MYBL1,32.8162,83.8223,115.6212,220.511,59.2979,20.7813,48.9426,28.9855,375.5423,65.7111,375.5423,105.20314,62.5045,20.7813
MYCN,0.5967,122.62,52.2755,4328.3164,1.4231,2428.4491,885.1964,3.9784,609.0933,529.6582,4328.3164,896.16071,326.1391,0.5967
NTRK1,0.5967,3.8319,2.46,3.8502,9.4877,4.75,7.2508,14.2086,3.4274,6.6152,14.2086,5.64785,4.3001,0.5967
NTRK3,13.1265,0,12.3001,2.1001,0.4744,0.5938,2.4169,3.9784,0.4896,0.882,13.1265,3.63618,1.49105,0
