Gene,TCGA-DK-A6AW-01A-11R-A30C-07,TCGA-YC-A89H-01A-11R-A36F-07,TCGA-MV-A51V-01A-11R-A26T-07,TCGA-DK-A1AC-01A-11R-A13Y-07,TCGA-DK-A3WW-01A-22R-A23N-07,TCGA-DK-A6B6-01A-11R-A30C-07,TCGA-ZF-A9RC-01A-11R-A38B-07,TCGA-SY-A9G5-01A-11R-A38B-07,TCGA-XF-AAMG-01A-11R-A42T-07,TCGA-FD-A6TC-01A-21R-A33J-07,MAX,AVG,MED,MIN
OR4D6,0,0,0,14.3507,0,0,0,0,0,0,14.3507,1.43507,0,0
ATOH7,0,0.958,16.6052,2.8001,1.4231,2.9688,1.2085,0.5683,36.7219,4.4101,36.7219,6.7664,2.1116,0
GPC2,11.9332,71.3687,44.8954,403.2202,13.2827,36.8127,331.1178,47.7408,1527.1399,140.6836,1527.1399,262.8195,59.55475,11.9332
SLC17A8,1.79,0,0,0,0,0,4.8338,0.5683,371.1356,0,371.1356,37.83277,0,0
TBC1D28,0,0,0,0,0,0,0,0,0.4896,0,0.4896,0.04896,0,0
OR4C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10orf67,19.0931,0,11.6851,1.7501,0.9488,0,13.2931,23.8704,17.6265,30.871,30.871,11.91381,12.4891,0
TTLL6,0,0,113.7761,6.3003,4.2694,4.75,1.2085,5.6834,6.3651,2.2051,113.7761,14.45579,4.5097,0
KLK9,0,18.2014,0,0,0.4744,0,0.6042,0,0,0,18.2014,1.928,0,0
FMN1,0.5967,0.958,0.615,12.6006,4.7438,0.5938,0,10.7985,5.3859,1.7641,12.6006,3.80564,1.36105,0
VSTM2B,0,0,0,0,0,0,3.6254,0,440.1727,0,440.1727,44.37981,0,0
IGFBPL1,4.1766,5.7478,36.2854,2.1001,0,0.5938,1.8127,2.2734,129.7506,6.6152,129.7506,18.93556,3.225,0
LCE1F,0,82.3853,0,0,0,0,0,0,0,0,82.3853,8.23853,0,0
TEX38,4.7733,1.437,0.615,0,0,1.1875,0.6042,1.1367,10.7717,1.7641,10.7717,2.22895,1.1621,0
NRROS,49.5227,68.4948,75.0308,74.2037,30.8349,48.094,45.3172,76.7263,179.2027,43.2194,179.2027,69.06465,59.00875,30.8349
LRRC10,0,0,0,0,0,0,644.1088,0,0,0,644.1088,64.41088,0,0
KRTAP5-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC103,18.4964,62.747,111.9311,81.5541,28.463,40.9689,108.7613,145.4959,80.7881,53.8037,145.4959,73.30095,71.76755,18.4964
FLG2,0,288.8277,0,0,0,0,0.6042,0,0.9792,0,288.8277,29.04111,0,0
MAP3K15,0,0.4886,0.6335,0,0,0,0,0,97.0779,0.4587,97.0779,9.86587,0,0
PAGE2B,0,0,1.23,0.35,0,0,0.6042,0,0.9792,325.9096,325.9096,32.9073,0.175,0
OR52N2,0,0,229.3973,6.6503,0,1.7813,0,0,3.4274,5.2922,229.3973,24.65485,0.89065,0
OR56A3,0,0,1.23,0,0,0,0,0,129.7506,0,129.7506,13.09806,0,0
OR11L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCSER1,108.5919,6.2268,142.0664,306.9653,10.4364,90.2504,10.8761,33.5323,78.8296,154.355,306.9653,94.21302,84.54,6.2268
LRRC52,0,0,0,0,0,0,0,0,0.4896,0.441,0.4896,0.09306,0,0
PPIAL4D,1.1933,169.0815,0,2.1001,2.8463,2.9688,0.6042,0,1.4689,0.882,169.0815,18.11451,1.3311,0
KIAA0895L,598.1862,752.5662,658.6285,247.8124,287.9507,374.1296,2241.3897,717.2947,965.5402,1205.5436,2241.3897,804.90418,687.9616,247.8124
GOLGA6L6,1.79,0,0,0,231.9734,0,0,0,0,0,231.9734,23.37634,0,0
TSPY4,0,0,0.615,0,0,0,0,0,0,0,0.615,0.0615,0,0
ZNF679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
